#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes
,KWT-1,6/20/2018,black spiral p14,12.7,19.05,5,7.5,,,XST,,,,,extracted big rock
,KWT-1,6/20/2018,black spiral p14,19.05,30.48,7.5,12,,,clay,moist,"M/C-VC, C/F",dark brown,,
,KWT-1,6/20/2018,black spiral p14,30.48,44.45,12,17.5,,,silty clay,wet,"C/C, F/F",brown,,
,KWT-1,6/20/2018,black spiral p14,44.45,71.12,17.5,28,,,sandy clay loam,wet-saturated,F/F-VF,tan brown,,"mottled at bottom, decomposed pebbles"
,KWT-1,6/20/2018,black spiral p14,71.12,91.44,28,36,,,"sandy clay loam, VGR",saturated,"F/C, F/F",tan pink,,decomposed rock was pink; pebbles to 30 mm
,KWT-1,6/20/2018,black spiral p14,91.44,104.14,36,41,,,GR,saturated,F/F-VF,"tan, mottled",,"decomposed rock was red,orange and gray"
,,,,,,,,,,,,,,,
,E4S,6/20/2018,black spiral p16,58.42,83.82,23,33,,few fibers,clay,saturated,F/F-VF,tan to gray-tan,,"angular gravels and decomposed pebbles, mottling"
,E4S,6/20/2018,black spiral p16,83.82,85.09,33,33.5,,,GR,,,,,"gravels stopped auger, bottom of hole"
,,,,,,,,,,,,,,,
11,E1N,6/20/2018,black spiral p16,0,5.08,0,2,,fibrous,HO,dry-moist,M/C-F,dark brown,,
,E1N,6/20/2018,black spiral p16,5.08,15.24,2,6,,,sandy clay,moist,M/C-F,dark brown,,
,E1N,6/20/2018,black spiral p16,15.24,33.02,6,13,,grassy,sandy clay,moist,M/C-F,dark brown,,
,E1N,6/20/2018,black spiral p16,33.02,58.42,13,23,,,"sandy clay loam, VGR",saturated,"C/F-VF, F/C",dark brown,,
,E1N,6/20/2018,black spiral p16,58.42,60.96,23,24,,"fibrous, HO, HPM",silty clay,saturated,M/F-VF,dark brown,,
,E1N,6/20/2018,black spiral p16,60.96,63.5,24,25,,,GR,,,,,22 mm gravels
