#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,field_well_id,meadow_id,plant_type,hydrogeo_zone,texture,sub-class,soil texture code,gravel size,gravel amount
13.0,"KHF-1, skip",6/30/18,black spiral p17,,,0.0,5.0,,"HO, grassy, HPM",clay,moist,"M/C-VF, fibrous",dark brown,,fibrous roots throughout,"KHF-1, skip",Kiln,Mixed Herbaceous,Fan,clay,,C,,0.0
,"KHF-1, skip",6/30/18,black spiral p17,,,5.0,9.5,,,clay,moist,"M/F-VF, F/C-M",dark brown,,,"KHF-1, skip",Kiln,Mixed Herbaceous,Fan,clay,,C,,0.0
,"KHF-1, skip",6/30/18,black spiral p17,,,9.5,15.0,,,clay,moist,"C/F-VF, F/C-M",brown,,"hit rock > 120 mm; failed attempt, not the ultimate well location","KHF-1, skip",Kiln,Mixed Herbaceous,Fan,clay,,C,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
14.0,KHF-1,6/30/18,black spiral p19,0.0,5.0,0.0,2.0,,HO,HO,dry,"M/M-VF, F/C",brown,,crumbly,KHF-1,Kiln,Mixed Herbaceous,Fan,ho,,,,0.0
,KHF-1,6/30/18,black spiral p19,5.0,15.0,2.0,6.0,,,"silty clay, FGR",dry,C/M-VF,brown,,,KHF-1,Kiln,Mixed Herbaceous,Fan,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)"
,KHF-1,6/30/18,black spiral p19,15.0,36.0,6.0,14.0,,,clay,moist,F/M-F,light brown,,,KHF-1,Kiln,Mixed Herbaceous,Fan,clay,,C,,0.0
,KHF-1,6/30/18,black spiral p19,36.0,57.0,14.0,22.5,,,"clay loam, FGR, MGR",wet,C/F-VF,tan,,,KHF-1,Kiln,Mixed Herbaceous,Fan,clay loam,"FGR, MGR",CL,"(2, 5)","(0.15, 0.35)"
,KHF-1,6/30/18,black spiral p19,57.0,71.0,22.5,28.0,,,"sandy clay, FGR",moist,F/C,tan and orange,,,KHF-1,Kiln,Mixed Herbaceous,Fan,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KHF-1,6/30/18,black spiral p19,71.0,86.0,28.0,34.0,,,sandy clay,saturated,"F/VF, F/fibrous",tan and orange,,some chunks of soil dry inside,KHF-1,Kiln,Mixed Herbaceous,Fan,sandy clay,,SC,,0.0
,KHF-1,6/30/18,black spiral p19,86.0,89.0,34.0,35.0,,,GR,,,,,hit big rock at bottom > 120 mm,KHF-1,Kiln,Mixed Herbaceous,Fan,gr,,,,0.0
,KHF-1,6/29/21,yellow p55,89.0,100.0,,,,,"sandy clay, FGR",wet non-satiated,F/VF,7.5 YR 3/3,,"gravel sub-rounded; deepened well, prior depth 84 cm",KHF-1,Kiln,Mixed Herbaceous,Fan,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KHF-1,6/29/21,yellow p55,100.0,111.0,,,,,"sandy clay, VFGR",wet non-satiated,,7.5 YR 3/3,,gravel sub-rounded,KHF-1,Kiln,Mixed Herbaceous,Fan,sandy clay,VFGR,SC,,0.0
,KHF-1,6/29/21,yellow p55,111.0,140.0,,,,,"sandy clay, VFGR",wet non-satiated,F/VF-F,"7.5 YR, 3/4",,gravel subangular,KHF-1,Kiln,Mixed Herbaceous,Fan,sandy clay,VFGR,SC,,0.0
