#,well_id,date,source,start_depth_cm,stop_depth_cm,start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,texture,sub-class,soil_texture_code,gravel size,gravel amount,gravel_amount_percent
,EET-1,5/31/2018,black spiral,64.77,76.2,25.5,30,,,"loam, FGR",,F/F,brown-tan,,,loam,FGR,L,"(2, 5)","(0.15, 0.35)",0.35
,EET-1,5/31/2018,black spiral,76.2,88.9,30,35,,,"loam, GR",,C/F-M,"brown-tan, mottled",,decomposing gravel,loam,GR,L,"(5, 20)","(0.15, 0.35)",0.35
,EET-1,5/31/2018,black spiral,88.9,95.25,35,37.5,,fibrous,sandy clay loam,,,"brown-tan, mottled",,decomposing gravel,sandy clay loam,,SCL,,0,0
,EET-1,5/31/2018,black spiral,95.25,99.06,37.5,39,,fibrous,sandy clay loam,,C/VF,"brown-tan, mottled, colorful",,,sandy clay loam,,SCL,,0,0
,,,,,,,,,,,,,,,,,,,,,
6,EWT-1,5/31/2018,black spiral p8,0,5.08,0,2,,"grassy, fibrous roots","HO, no mineral sediment",moist,M/VF-F,dark brown,,,ho,no mineral sediment,,,0,0
,EWT-1,5/31/2018,black spiral p8,5.08,10.16,2,4,,,"clay, HO",moist,M/VF-F,dark brown,,crumbly,clay,HO,C,,0,0
,EWT-1,5/31/2018,black spiral p8,10.16,30.48,4,12,,,"clay, HO, GR",moist,"M/F, F/C",dark brown,,"subangular GR, 6-12 mm",clay,"HO, GR",C,"(5, 20)","(0.15, 0.35)",0.35
,EWT-1,5/31/2018,black spiral p8,30.48,45.72,12,18,,,"clay loam, GR",saturated,"M/F, C/VF","brown, reddish",,"gritty, subangular gravel, 6-20 mm",clay loam,GR,CL,"(5, 20)","(0.15, 0.35)",0.35
,EWT-1,5/31/2018,black spiral p8,45.72,57.785,18,22.75,,,"sandy clay to clay, GR",saturated,F/F,"brown, reddish",,"subangular gravel, 6-30 mm",sandy clay ,GR,SC,"(5, 20)","(0.15, 0.35)",0.35
,EWT-1,5/31/2018,black spiral p8,57.785,69.85,22.75,27.5,,,"sandy clay to clay, GR",saturated,F/F,"brown, reddish",,"subangular gravel, 6-30 mm", clay,GR,C,"(5, 20)","(0.15, 0.35)",0.35
,EWT-1,5/31/2018,black spiral p8,69.85,80.01,27.5,31.5,,,"clay loam, GR",saturated,"C/M, F/C",brown,,,clay loam,GR,CL,"(5, 20)","(0.15, 0.35)",0.35
,EWT-1,5/31/2018,black spiral p8,80.01,83.82,31.5,33,,,clay,saturated,F/F,brown,,,clay,,C,,0,0
