#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,field_well_id,well_field_id,rename_reason,rename_date,meadow_id,plant_type,hydrogeo_zone,texture,sub-class,soil texture code,gravel size,gravel amount
,EWR-1,5/31/18,black spiral,27.94,40.64,11,16,,,clay,saturated,,,,,EWR-1,,,,East,Willow,Riparian,clay,,C,,0
4,EEF-1,5/31/18,black spiral,0,10.16,0,4,,"grassy, fibrous","HO, GS, MPT",sturated,M/VF-M,dark black brown,,,EEF-1,,,,East,Sedge,Fan,ho,"GS, MPT",HO,,0
,EEF-1,5/31/18,black spiral,10.16,22.86,4,9,,,clay,saturated,M/VF-M,dark brown,,,EEF-1,,,,East,Sedge,Fan,clay,,C,,0
,EEF-1,5/31/18,black spiral,22.86,40.64,9,16,,,"clay silt, GR",saturated,"C/F, M/VF","dark brown, grayish blue",,3mm pebbles,EEF-1,,,,East,Sedge,Fan,clay silt,GR,SIC,"(5, 20)","(0.15, 0.35)"
,EEF-1,5/31/18,black spiral,40.64,55.88,16,22,,,"sandy clay, VGR",saturated,C/F,mottled tan,,"angular gravel, 5-12 mm",EEF-1,,,,East,Sedge,Fan,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,EEF-1,5/31/18,black spiral,55.88,71.12,22,28,,,"clay loam, GR",saturated,"C/VF, F, M-F",mottled tan,,whole and decomposing gravel,EEF-1,,,,East,Sedge,Fan,clay loam,GR,CL,"(5, 20)","(0.15, 0.35)"
,EEF-1,5/31/18,black spiral,71.12,96.52,28,38,,,"clay loam, GR",saturated,F/VF-F,mottled tan,,"few fiber chunks, whole and decomposing gravel",EEF-1,,,,East,Sedge,Fan,clay loam,GR,CL,"(5, 20)","(0.15, 0.35)"
5,EET-1,5/31/18,black spiral,0,10.16,0,4,Oi,,HO,moist,M/VF-F,dark black brown,,humic (incompletely decomposed and porous),EET-1,,,,East,Sedge,Terrace,ho,,HO,,0
,EET-1,5/31/18,black spiral,10.16,25.4,4,10,,,clay,moist,C/F-M,dark brown,,"small bits of broken, subangular gravel",EET-1,,,,East,Sedge,Terrace,clay,,C,,0
,EET-1,5/31/18,black spiral,25.4,45.72,10,18,,,"sandy clay, GR",saturated,F/VF-F,brown-tan,,"subangular gravel, large sand to 8 mm",EET-1,,,,East,Sedge,Terrace,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,EET-1,5/31/18,black spiral,45.72,64.77,18,25.5,,,"sandy clay loam, VGR",saturated,F/VF-F,brown-tan,,,EET-1,,,,East,Sedge,Terrace,sandy clay loam,VGR,SCL,"(5, 20)","(0.35, 0.6)"
,EET-1,5/31/18,black spiral,64.77,76.2,25.5,30,,,"loam, FGR",,F/F,brown-tan,,,EET-1,,,,East,Sedge,Terrace,loam,FGR,L,"(2, 5)","(0.15, 0.35)"
,EET-1,5/31/18,black spiral,76.2,88.9,30,35,,,"loam, GR",,C/F-M,"brown-tan, mottled",,decomposing gravel,EET-1,,,,East,Sedge,Terrace,loam,GR,L,"(5, 20)","(0.15, 0.35)"
,EET-1,5/31/18,black spiral,88.9,95.25,35,37.5,,fibrous,sandy clay loam,,,"brown-tan, mottled",,decomposing gravel,EET-1,,,,East,Sedge,Terrace,sandy clay loam,,SCL,,0
,EET-1,5/31/18,black spiral,95.25,99.06,37.5,39,,fibrous,sandy clay loam,,C/VF,"brown-tan, mottled, colorful",,,EET-1,,,,East,Sedge,Terrace,sandy clay loam,,SCL,,0
6,EWF-1,5/31/18,black spiral p8,0,5.08,0,2,,"grassy, fibrous roots","HO, GS, no mineral sediment",moist,M/VF-F,dark brown,,,EWT-1,EWT-1,HGMZ observations and classification changed,5/25/25,East,Willow,Fan,ho,"GS, no mineral sediment",HO,,0
,EWF-1,5/31/18,black spiral p8,5.08,10.16,2,4,,,"clay, HO",moist,M/VF-F,dark brown,,crumbly,EWT-1,EWT-1,HGMZ observations and classification changed,5/25/25,East,Willow,Fan,clay,HO,C,,0
,EWF-1,5/31/18,black spiral p8,10.16,30.48,4,12,,,"clay, HO, GR",moist,"M/F, F/C",dark brown,,"subangular GR, 6-12 mm",EWT-1,EWT-1,HGMZ observations and classification changed,5/25/25,East,Willow,Fan,clay,"HO, GR",C,"(5, 20)","(0.15, 0.35)"
,EWF-1,5/31/18,black spiral p8,30.48,45.72,12,18,,,"clay loam, GR",saturated,"M/F, C/VF","brown, reddish",,"gritty, subangular gravel, 6-20 mm",EWT-1,EWT-1,HGMZ observations and classification changed,5/25/25,East,Willow,Fan,clay loam,GR,CL,"(5, 20)","(0.15, 0.35)"
,EWF-1,5/31/18,black spiral p8,45.72,69.85,18,27.5,,,"sandy clay, GR",saturated,F/F,"brown, reddish",,"subangular gravel, 6-30 mm",EWT-1,EWT-1,HGMZ observations and classification changed,5/25/25,East,Willow,Fan,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,EWF-1,5/31/18,black spiral p8,69.85,80.01,27.5,31.5,,,"clay loam, GR",saturated,"C/M, F/C",brown,,,EWT-1,EWT-1,HGMZ observations and classification changed,5/25/25,East,Willow,Fan,clay loam,GR,CL,"(5, 20)","(0.15, 0.35)"
,EWF-1,5/31/18,black spiral p8,80.01,83.82,31.5,33,,,clay,saturated,F/F,brown,,,EWT-1,EWT-1,HGMZ observations and classification changed,5/25/25,East,Willow,Fan,clay,,C,,0
,EWF-1,5/31/18,black spiral p8,83.82,91.44,33,36,,,clay,saturated,F/VF,light brown,,"some grit, red-orange oxide",EWT-1,EWT-1,HGMZ observations and classification changed,5/25/25,East,Willow,Fan,clay,,C,,0
,EWF-1,5/31/18,black spiral p8,91.44,97.79,36,38.5,,,clay loam,saturated,F/F,"light brown, mottled",,"white-red mottling, red-orange oxide",EWT-1,EWT-1,HGMZ observations and classification changed,5/25/25,East,Willow,Fan,clay loam,,CL,,0
,EWF-1,5/31/18,black spiral p8,97.79,109.22,38.5,43,,,clay loam,saturated,,light brown,,"backfill with sand to 39"" depth",EWT-1,EWT-1,HGMZ observations and classification changed,5/25/25,East,Willow,Fan,clay loam,,CL,,0
8,KER-1,6/18/18,black spiral p14,0,5.08,0,2,,HO,"silty clay, HO",very moist,"M/VF-F, C/C",dark brown,,,KER-1,,,,Kiln,Sedge,Riparian,silty clay,HO,SIC,,0
,KER-1,6/18/18,black spiral p14,5.08,35.56,2,14,,HPM,clay,moist,M/C,dark brown,,"at 14"" found charcoal",KER-1,,,,Kiln,Sedge,Riparian,clay,,C,,0
,KER-1,6/18/18,black spiral p14,35.56,52.07,14,20.5,,,clay loam,saturated,"C/C, C/F-M/VF",dark brown,,,KER-1,,,,Kiln,Sedge,Riparian,clay loam,,CL,,0
,KER-1,6/18/18,black spiral p14,52.07,63.5,20.5,25,,fibers,clay loam,saturated,"F/C, C/F-VF",dark brown,,"interlayered with sandy clay loam, charcoal ",KER-1,,,,Kiln,Sedge,Riparian,clay loam,,CL,,0
,KER-1,6/18/18,black spiral p14,63.5,71.12,25,28,,,"clay, VGR",saturated,VF/F-VF,brown,,coarse sand; pebbles to 12 mm rounded,KER-1,,,,Kiln,Sedge,Riparian,clay,VGR,C,"(5, 20)","(0.35, 0.6)"
,KER-1,6/18/18,black spiral p14,71.12,81.28,28,32,,fibers midway,"sandy loam, GR",saturated,"C/F, C/C",brown gray,,"roots especialy midway; pebbles to 22 mm, rounded",KER-1,,,,Kiln,Sedge,Riparian,sandy loam,GR,SL,"(5, 20)","(0.15, 0.35)"
,KER-1,6/18/18,black spiral p14,81.28,83.82,32,33,,,GR,saturated,"C/C, C/F-M/VF",brown gray,,"bottom of hole, pebbles and gravel",KER-1,,,,Kiln,Sedge,Riparian,gr,,GR,,0
9,KWF-2,6/20/18,black spiral p14,0,13,0,5,Oi,fibrous,"clay, HO",moist,M/C-F,dark brown,,humic,KWT-1,KWT-1,HGMZ observations and classification changed,5/25/25,Kiln,Willow,Fan,clay,HO,C,,0
,KWF-2,6/20/18,black spiral p14,13,19,5,7.5,,,XST,,,,,extracted big rock,KWT-1,KWT-1,HGMZ observations and classification changed,5/25/25,Kiln,Willow,Fan,xst,,GR,,0
,KWF-2,6/20/18,black spiral p14,19,30,7.5,12,,,clay,moist,"M/C-VC, C/F",dark brown,,,KWT-1,KWT-1,HGMZ observations and classification changed,5/25/25,Kiln,Willow,Fan,clay,,C,,0
,KWF-2,6/20/18,black spiral p14,30,44,12,17.5,,,silty clay,wet,"C/C, F/F",brown,,,KWT-1,KWT-1,HGMZ observations and classification changed,5/25/25,Kiln,Willow,Fan,silty clay,,SIC,,0
,KWF-2,6/20/18,black spiral p14,44,71,17.5,28,,,sandy clay loam,wet-saturated,F/F-VF,tan brown,,"mottled at bottom, decomposed pebbles",KWT-1,KWT-1,HGMZ observations and classification changed,5/25/25,Kiln,Willow,Fan,sandy clay loam,,SCL,,0
,KWF-2,6/20/18,black spiral p14,71,91,28,36,,,"sandy clay loam, VGR",saturated,"F/C, F/F",tan pink,,decomposed rock was pink; pebbles to 30 mm,KWT-1,KWT-1,HGMZ observations and classification changed,5/25/25,Kiln,Willow,Fan,sandy clay loam,VGR,SCL,"(5, 20)","(0.35, 0.6)"
,KWF-2,6/20/18,black spiral p14,91,104,36,41,,,GR,saturated,F/F-VF,"tan, mottled",,"decomposed rock was red,orange and gray",KWT-1,KWT-1,HGMZ observations and classification changed,5/25/25,Kiln,Willow,Fan,gr,,GR,,0
,KWF-2,6/29/21,yellow p55,104,113,,,,,loam,wet non-satiated,,"7.5 YR, 3/3",,,KWT-1,KWT-1,HGMZ observations and classification changed,5/25/25,Kiln,Willow,Fan,loam,,L,,0
,KWF-2,6/29/21,yellow p55,113,121,,,,,sandy clay loam,wet non-satiated,,"7.5 YR, 3/4",,,KWT-1,KWT-1,HGMZ observations and classification changed,5/25/25,Kiln,Willow,Fan,sandy clay loam,,SCL,,0
,KWF-2,6/29/21,yellow p55,121,125,,,,,sandy clay loam,wet non-satiated,,"7.5 YR, 3/4; rose and orange-red mottled pebbles, 2-4 mm",,,KWT-1,KWT-1,HGMZ observations and classification changed,5/25/25,Kiln,Willow,Fan,sandy clay loam,,SCL,,0
,KWF-2,6/29/21,yellow p55,125,131,,,,,sandy clay loam,wet non-satiated,,"10 YR 3/4; rose and orange-red mottled pebbles, 2-8 mm",,rock 4.5 cm,KWT-1,KWT-1,HGMZ observations and classification changed,5/25/25,Kiln,Willow,Fan,sandy clay loam,,SCL,,0
,KWF-2,6/29/21,yellow p55,131,136,,,,,sandy clay loam,wet,,"10 YR 3/4; rose, red-orange and blue mottled pebbles",,,KWT-1,KWT-1,HGMZ observations and classification changed,5/25/25,Kiln,Willow,Fan,sandy clay loam,,SCL,,0
,KWF-2,6/29/21,yellow p55,136,147,,,,,"sandy clay, VGR",wet,,"10 YR 4/4; rose, red-orange and blue mottled pebbles",,"rock 5 cm, subangular",KWT-1,KWT-1,HGMZ observations and classification changed,5/25/25,Kiln,Willow,Fan,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
10,KHT-XE4S,6/20/18,black spiral p16,0,5.08,0,2,,HO,"silty clay,  HO",moist,M/C-F,dark brown,,,E4S,E4S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,silty clay,HO,SIC,,0
,KHT-XE4S,6/20/18,black spiral p16,5.08,10.16,2,4,,,silty clay,moist,M/F,dark brown,,,E4S,E4S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,silty clay,,SIC,,0
,KHT-XE4S,6/20/18,black spiral p16,10.16,27.94,4,11,,,clay,moist,"F/C, C/F",dark brown,,,E4S,E4S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,clay,,C,,0
,KHT-XE4S,6/20/18,black spiral p16,27.94,40.64,11,16,,,clay,moist,"F/C-F, C/VF",dark brown,,water in hole,E4S,E4S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,clay,,C,,0
,KHT-XE4S,6/20/18,black spiral p16,40.64,50.8,16,20,,,"sandy clay, FGR",saturated,F/F,brown,,small pebbles,E4S,E4S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KHT-XE4S,6/20/18,black spiral p16,50.8,58.42,20,23,,,clay,saturated,F/F,tan; mottled orange,,"slight grit, few gravels ~16 mm",E4S,E4S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,clay,,C,,0
,KHT-XE4S,6/20/18,black spiral p16,58.42,83.82,23,33,,few fibers,clay,saturated,F/F-VF,tan to gray-tan,,"angular gravels and decomposed pebbles, mottling",E4S,E4S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,clay,,C,,0
,KHT-XE4S,6/20/18,black spiral p16,83.82,85.09,33,33.5,,,XGR,,,,,"gravels stopped auger, bottom of hole",E4S,E4S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,xgr,,GR,,0
11,KWR-XE1N,6/20/18,black spiral p16,0,5.08,0,2,,fibrous,HO,dry-moist,M/C-F,dark brown,,,E1N,E1N,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Riparian,ho,,HO,,0
,KWR-XE1N,6/20/18,black spiral p16,5.08,15.24,2,6,,,sandy clay,moist,M/C-F,dark brown,,,E1N,E1N,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Riparian,sandy clay,,SC,,0
,KWR-XE1N,6/20/18,black spiral p16,15.24,33.02,6,13,,grassy,sandy clay,moist,M/C-F,dark brown,,,E1N,E1N,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Riparian,sandy clay,,SC,,0
,KWR-XE1N,6/20/18,black spiral p16,33.02,58.42,13,23,,,"sandy clay loam, VGR",saturated,"C/F-VF, F/C",dark brown,,,E1N,E1N,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Riparian,sandy clay loam,VGR,SCL,"(5, 20)","(0.35, 0.6)"
,KWR-XE1N,6/20/18,black spiral p16,58.42,60.96,23,24,,"fibrous, HO, HPM",silty clay,saturated,M/F-VF,dark brown,,,E1N,E1N,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Riparian,silty clay,,SIC,,0
,KWR-XE1N,6/20/18,black spiral p16,60.96,63.5,24,25,,,GR,,,,,22 mm gravels,E1N,E1N,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Riparian,gr,,GR,,0
,KWR-XE1N,6/20/18,black spiral p16,63.5,73.66,25,29,,,GR,,,,,"60 mm gravels, rounded to sub-angular",E1N,E1N,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Riparian,gr,,GR,,0
12,KWR-1,6/20/18,black spiral p17,0,10.16,0,4,,fibrous,clay loam,wet,"M/F-VF, C/C",dark brown,,,KWR-1,,,,Kiln,Willow,Riparian,clay loam,,CL,,0
,KWR-1,6/20/18,black spiral p17,10.16,25.4,4,10,,,clay loam,wet,"M/C, M/F-F/F",dark brown,,,KWR-1,,,,Kiln,Willow,Riparian,clay loam,,CL,,0
,KWR-1,6/20/18,black spiral p17,25.4,63.5,10,25,,,clay loam,saturated,"C/C, F/VC",brown,,,KWR-1,,,,Kiln,Willow,Riparian,clay loam,,CL,,0
,KWR-1,6/20/18,black spiral p17,63.5,81.28,25,32,,,"sandy clay loam, GR",saturated,C/F-VF,brown,,"mostly pebbles, a few gravels > 11 mm",KWR-1,,,,Kiln,Willow,Riparian,sandy clay loam,GR,SCL,"(5, 20)","(0.15, 0.35)"
,KWR-1,6/20/18,black spiral p17,81.28,83.82,32,33,,,GR,saturated,,,,bottom of well,KWR-1,,,,Kiln,Willow,Riparian,gr,,GR,,0
14,KHF-1,6/30/18,black spiral p19,0,5,0,2,,HO,HO,dry,"M/M-VF, F/C",brown,,crumbly,KHF-1,,,,Kiln,Mixed Herbaceous,Fan,ho,,HO,,0
,KHF-1,6/30/18,black spiral p19,5,15,2,6,,,"silty clay, FGR",dry,C/M-VF,brown,,,KHF-1,,,,Kiln,Mixed Herbaceous,Fan,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)"
,KHF-1,6/30/18,black spiral p19,15,36,6,14,,,clay,moist,F/M-F,light brown,,,KHF-1,,,,Kiln,Mixed Herbaceous,Fan,clay,,C,,0
,KHF-1,6/30/18,black spiral p19,36,57,14,22.5,,,"clay loam, FGR, MGR",wet,C/F-VF,tan,,,KHF-1,,,,Kiln,Mixed Herbaceous,Fan,clay loam,"FGR, MGR",CL,"(2, 5)","(0.15, 0.35)"
,KHF-1,6/30/18,black spiral p19,57,71,22.5,28,,,"sandy clay, FGR",moist,F/C,tan and orange,,,KHF-1,,,,Kiln,Mixed Herbaceous,Fan,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KHF-1,6/30/18,black spiral p19,71,86,28,34,,,sandy clay,saturated,"F/VF, F/fibrous",tan and orange,,some chunks of soil dry inside,KHF-1,,,,Kiln,Mixed Herbaceous,Fan,sandy clay,,SC,,0
,KHF-1,6/30/18,black spiral p19,86,89,34,35,,,GR,,,,,hit big rock at bottom > 120 mm,KHF-1,,,,Kiln,Mixed Herbaceous,Fan,gr,,GR,,0
,KHF-1,6/29/21,yellow p55,89,100,,,,,"sandy clay, FGR",wet non-satiated,F/VF,7.5 YR 3/3,,"gravel sub-rounded; deepened well, prior depth 84 cm",KHF-1,,,,Kiln,Mixed Herbaceous,Fan,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KHF-1,6/29/21,yellow p55,100,111,,,,,"sandy clay, VFGR",wet non-satiated,,7.5 YR 3/3,,gravel sub-rounded,KHF-1,,,,Kiln,Mixed Herbaceous,Fan,sandy clay,VFGR,SC,,0
,KHF-1,6/29/21,yellow p55,111,140,,,,,"sandy clay, VFGR",wet non-satiated,F/VF-F,"7.5 YR, 3/4",,gravel subangular,KHF-1,,,,Kiln,Mixed Herbaceous,Fan,sandy clay,VFGR,SC,,0
,KHF-1,6/29/21,yellow p55,140,149,,,,,"clay, XCGR",wet non-satiated,F/VF,"7.5 YR, 3/4",,gravel subangular,KHF-1,,,,Kiln,Mixed Herbaceous,Fan,clay,XCGR,C,,0
,KHF-1,6/29/21,yellow p55,149,167,,,,,"clay, XCGR",saturated,F/VF,"10 YR, 3/6",,"a few 50-60 mm gravels, subangular",KHF-1,,,,Kiln,Mixed Herbaceous,Fan,clay,XCGR,C,,0
15,KEF-1,6/30/18,black spiral p19,0,5.08,0,2,,"HO, grassy, fibrous",HO,moist,M/C-F,dark brown,,,KEF-1,,,,Kiln,Sedge,Fan,ho,,HO,,0
,KEF-1,6/30/18,black spiral p19,5.08,27.94,2,11,,,clay,saturated,C/C-F,dark brown,,,KEF-1,,,,Kiln,Sedge,Fan,clay,,C,,0
,KEF-1,6/30/18,black spiral p19,27.94,38.1,11,15,,fibrous,"clay, ST",saturated,"F/C, C/F-VF",gray brown,,hit two large stones (ST),KEF-1,,,,Kiln,Sedge,Fan,clay,ST,C,,0
,KEF-1,6/30/18,black spiral p19,38.1,66.04,15,26,,fibrous,"sandy clay, FGR",saturated,M/F-VF,dark gray,,gravels subangular,KEF-1,,,,Kiln,Sedge,Fan,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KEF-1,6/30/18,black spiral p19,66.04,81.28,26,32,,,"sandy clay loam, FGR, CGR",saturated,"F/VF, F/fibrous","gray and tan, mottled orange",,gravels subangular,KEF-1,,,,Kiln,Sedge,Fan,sandy clay loam,"FGR, CGR",SCL,"(2, 5)","(0.15, 0.35)"
16,KWF-1,6/30/18,black spiral p19,0,20.32,0,8,,"HO, grassy","clay, HO, GS",moist,M/C-F,dark brown,,,KWF-1,,,,Kiln,Willow,Fan,clay,"HO, GS",C,,0
,KWF-1,6/30/18,black spiral p19,20.32,38.1,8,15,,,"sandy clay, FGR",wet,"C/C-F, M/VF",dark brown,,,KWF-1,,,,Kiln,Willow,Fan,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KWF-1,6/30/18,black spiral p19,38.1,67.31,15,26.5,,,"sandy clay loam, FGR, CGR",wet-saturated,C/F-VF,red brown,,,KWF-1,,,,Kiln,Willow,Fan,sandy clay loam,"FGR, CGR",SCL,"(2, 5)","(0.15, 0.35)"
,KWF-1,6/30/18,black spiral p19,67.31,83.82,26.5,33,,,"sandy clay, FGR",saturated,,tan,,,KWF-1,,,,Kiln,Willow,Fan,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KWF-1,6/30/18,black spiral p19,83.82,88.9,33,35,,,"sandy clay, VGR (M-F)",,,tan,,,KWF-1,,,,Kiln,Willow,Fan,sandy clay,VGR (M-F),SC,,0
,KWF-1,6/30/18,black spiral p19,88.9,91.44,35,36,,,GR,,,,,"loose gravel; bottom of well at 35""",KWF-1,,,,Kiln,Willow,Fan,gr,,GR,,0
17,KHR-1,7/4/19,orange p70,0,4,,,,HO,HO,moist,"C/VF, F/M, M/F","7.5 YR, 2.5/1; mottled yellow",,,KHR-1,,,,Kiln,Mixed Herbaceous,Riparian,ho,,HO,,0
,KHR-1,7/4/19,orange p70,4,32,,,,,silty clay,moist,"C/VF, M/F, VF/C","7.5 YR, 2.5/1; mottled yellow",,,KHR-1,,,,Kiln,Mixed Herbaceous,Riparian,silty clay,,SIC,,0
,KHR-1,7/4/19,orange p70,32,42,,,,,sandy clay,moist,"VF/M-C, F/C, M/F","7.5 YR, 3/2; mottled red-orange",,,KHR-1,,,,Kiln,Mixed Herbaceous,Riparian,sandy clay,,SC,,0
,KHR-1,7/4/19,orange p70,42,50,,,,,silty clay,saturated,"VF/F, F/F","7.5 YR, 3/2; mottled red-orange",,,KHR-1,,,,Kiln,Mixed Herbaceous,Riparian,silty clay,,SIC,,0
,KHR-1,7/4/19,orange p70,50,74,,,,,sandy clay,saturated,"VF/F, F/F","10 YR, 4/2; mottled yellow",,,KHR-1,,,,Kiln,Mixed Herbaceous,Riparian,sandy clay,,SC,,0
,KHR-1,7/4/19,orange p70,74,95,,,,,sandy clay,saturated,M/VF,"10 YR, 4/3; mottled orange",,FGR < 15%,KHR-1,,,,Kiln,Mixed Herbaceous,Riparian,sandy clay,,SC,,0
,KHR-1,7/4/19,orange p70,95,102,,,,"fibrous, mycelium?","sandy clay, GR",wet,"VF/M, F/C","10 YR, 4/4; gley, mottled",,"subangular gravels, photo of possible mycelium",KHR-1,,,,Kiln,Mixed Herbaceous,Riparian,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,KHR-1,7/4/19,orange p70,102,104,,,,,"FGR, CGR",saturated,VF/F,"10 YR, 4/4",,subangular gravels with coarse sand,KHR-1,,,,Kiln,Mixed Herbaceous,Riparian,fgr,CGR,GR,"(20, 76)","(0.15, 0.35)"
18,KET-1,7/5/19,orange p70,0,12,,,O,,HO,saturated,"M/C, VF-F/M","5 YR, 2.5/1",,,KET-1,,,,Kiln,Sedge,Terrace,ho,,HO,,0
,KET-1,7/5/19,orange p70,12,20,,,A,,silty clay,saturated,"M/F, VF-F/M","7.5 YR, 2.5/1",,gradual transition to A,KET-1,,,,Kiln,Sedge,Terrace,silty clay,,SIC,,0
,KET-1,7/5/19,orange p70,20,42,,,,"fibers with redox, 1 mm buffer","sandy clay, FGR",saturated,VF/M,"7.5 YR, 3/2",,,KET-1,,,,Kiln,Sedge,Terrace,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KET-1,7/5/19,orange p70,42,59,,,,,sandy clay,saturated,"F/C, VF-F/M","7.5 YR, 4/1",,,KET-1,,,,Kiln,Sedge,Terrace,sandy clay,,SC,,0
,KET-1,7/5/19,orange p70,59,80,,,,fibers with redox,"sandy clay, FGR",wet,F-VF/M,"10 YR, 4/2",,,KET-1,,,,Kiln,Sedge,Terrace,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KET-1,7/5/19,orange p70,80,84,,,,,GR,wet,,,,"subangular gravels, medium to coarse",KET-1,,,,Kiln,Sedge,Terrace,gr,,GR,,0
