well_id,timestamp,welltop_to_water_cm,water_level_1_cm,water_level_2_cm,water_binary,logger?,soil moisture,notes
EWF-XA2S,44382.32569,,,,0,FALSE,,no water; dry on 07/03 at 12pm; 0 mm of mud at bottom
EHF-XA3S,44382.32639,,,,0,FALSE,,no water; dry on 07/03 at 12pm; 1 mm of mud at bottom
EHT-XA5S,44382.32986,,,,0,FALSE,soil moist-dry,no water; augered to 122 cm below ground and still no water
EET-2,44382.33125,149.4536,149.352,149.352,1,FALSE,soil moist-dry,mud
EWT-1,44382.33264,152.4,152.4,152.4,1,FALSE,soil moist-dry,hot bottom but clear water reading on meter
EHT-XB5S,44382.3375,143.1544,143.256,143.256,1,FALSE,,Fan? Cobble- to boulder-sized rocks at surface
EFT-XB6S,44382.33958,119.888,119.7864,120.0912,1,FALSE,,"locally MH, tree within 2 meters"
EFF-XB7S,44382.34097,104.2416,104.2416,104.2416,1,FALSE,,"locally MH, tree within 2 meters"
EEF-1,44382.34514,135.7376,135.636,135.636,1,TRUE,,carex and juncus
EET-1,44382.35,,,,0,TRUE,,"no water; new phenocam spot, EHW present."
EHT-XC5S,44382.34861,146.1008,145.9992,145.9992,1,FALSE,,EHT?
EET-XB4S,44382.35625,145.3896,145.3896,145.3896,1,FALSE,,"EER? sedge or MH? downslope of terrace, out of pine canopy, >5m from tree"
EFR-XB3S,44382.35972,,,,0,TRUE,,no water; Forest <2 m from pine
EFR-XB2S,44382.36042,,,,0,FALSE,,no water; Forest 2.7m from tree
EFR-XB1S,44382.36181,140.4112,140.208,140.5128,1,FALSE,,Forest <2m from pine
EHR-XB1N,44382.36389,147.828,147.828,147.828,1,FALSE,,"MH, 4m from pine base and 3m from canopy"
EFR-XB2N,44382.36528,63.1952,63.0936,63.0936,1,TRUE,,clearly MH
EFR-XB3N,44382.36736,85.9536,85.9536,85.9536,1,TRUE,,"clearly W, at canopy edge"
EWR-XB4N,44382.36806,83.2104,82.9056,83.2104,1,TRUE,,clearly W
LHT-1,44381.37708,131.064,131.064,131.064,1,FALSE,,
LET-1,44381.37847,112.776,112.776,112.776,1,FALSE,,
LWT-1,44381.38264,112.268,112.1664,112.1664,1,FALSE,,
EHT-XA5S,44393.35764,,,,0,FALSE,,new well
EWT-1,44393.36111,134.0104,134.112,134.112,1,FALSE,,"new well, no well casing yet so top to ground = 0"
EET-2,44393.36458,,,,0,FALSE,,new well
KHT-XD6N,44397.28333,218.44,218.5416,218.5416,1,FALSE,,
KER-XD5N,44397.28611,120.396,120.0912,120.396,1,TRUE,,
KHR-1,44397.28681,144.78,144.78,144.78,1,TRUE,,
KHR-XD1N,44397.28819,127.8128,128.016,127.7112,1,TRUE,,
KER-1,44397.28958,147.7264,147.828,147.828,1,FALSE,mud,
KWR-XE1N,44397.29444,147.7264,147.828,147.828,1,FALSE,,
KFR-XE1S,44397.29514,130.048,130.1496,130.1496,1,FALSE,dry,
KFR-XE2S,44397.29583,63.7032,63.7032,63.7032,1,FALSE,,
KER-XE3S,44397.29722,-6.3,-4.2,-6.9,1,FALSE,ponded water,in centimeters? not noted
KHT-XE4S,44397.29792,141.732,141.732,141.732,1,FALSE,dry,mud at bottom
KHT-XE5S,44397.29931,99.6696,99.6696,99.6696,1,FALSE,dry,
KHT-XE6S,44397.30069,112.6744,112.4712,112.776,1,TRUE,dry,
KET-1,44397.30347,66.4464,66.4464,66.4464,1,FALSE,dry,
KHF-XE7S,44397.30208,,,,0,FALSE,dry,no water
KFF-XE8S,44397.30625,142.6464,142.6464,142.6464,1,FALSE,dry,mud near bottom
KWT-1,44397.30903,143.5608,143.5608,143.5608,1,FALSE,dry,mud close to bottom
KFF-XD6S,44397.31667,,,,0,TRUE,dry,no water
KHR-XD1S,44397.31875,127.7112,127.7112,127.7112,1,TRUE,dry,
KEF-1,44397.32569,54.5592,54.5592,54.5592,1,TRUE,dry,
KHF-1,44397.32639,110.0328,110.0328,110.0328,1,TRUE,dry,
KWF-1,44397.32847,144.78,144.78,144.78,1,FALSE,dry,
KWR-1,44397.33056,103.632,103.632,103.632,1,FALSE,dry,
EHR-1,44397.34444,118.364,118.2624,118.2624,1,FALSE,dry,
EER-1,44397.34583,124.968,124.968,124.968,1,FALSE,dry,
EWR-1,44397.34653,116.5352,116.4336,116.4336,1,FALSE,dry,
EFF-XA1N,44397.35139,148.844,148.7424,148.7424,1,FALSE,dry,
EFF-XA2N,44397.35069,78.6384,78.6384,78.6384,1,FALSE,dry,
EWF-XA2S,44397.35278,,,,0,FALSE,dry,"no water, mud"
EHT-XA5S,44397.35417,,,,0,FALSE,dry,no water
EET-2,44397.35486,,,,0,FALSE,dry,no water
EWT-1,44397.35556,197.9168,197.8152,197.8152,1,FALSE,dry,no cap
EHT-XB5S,44397.35833,,,,0,FALSE,dry,no water
EFT-XB6S,44397.35972,149.9616,149.9616,149.9616,1,FALSE,dry,
EFF-XB7S,44397.36111,128.9304,128.9304,128.9304,1,FALSE,soil wet not saturated,
EEF-1,44397.3625,138.684,138.684,138.684,1,TRUE,dry,
EET-1,44397.36458,148.7424,148.7424,148.7424,1,TRUE,dry,some mud at bottom
EHT-XC5S,44397.36597,149.6568,149.6568,149.6568,1,TRUE,dry,near bottom
EET-XB4S,44397.36875,155.448,155.448,155.448,1,FALSE,dry,mud
EFR-XB3S,44397.36875,,,,0,TRUE,dry,no water no mud
EFR-XB2S,44397.37014,154.2288,154.2288,154.2288,1,FALSE,dry,at bottom water present
EFR-XB1S,44397.37083,141.1224,141.1224,141.1224,1,FALSE,dry,
EHR-XB1N,44397.37153,154.432,152.4,155.448,1,TRUE,dry,
EFR-XB2N,44397.37153,67.3608,67.3608,67.3608,1,TRUE,dry,
EFR-XB3N,44397.37222,116.6368,116.4336,116.7384,1,TRUE,dry,
EWR-XB4N,44397.37292,88.392,88.392,88.392,1,TRUE,dry,
LHT-1,44397.39236,139.8016,139.5984,139.9032,1,FALSE,dry,mud
LET-1,44397.39375,143.256,143.256,143.256,1,FALSE,dry,
LWT-1,44397.39444,119.1768,119.1768,119.1768,1,FALSE,dry,
KHT-XD6N,44414.32917,231.0384,231.0384,231.0384,1,FALSE,,
KER-XD5N,44414.27778,126.492,126.492,126.492,1,TRUE,,
KHR-1,44414.27917,145.1864,145.0848,145.0848,1,TRUE,,
KHR-XD1N,44414.28056,127.8128,128.016,127.7112,1,TRUE,,
KER-1,44414.28264,,,,0,FALSE,,no water
KWR-XE1N,44414.28681,140.5128,140.5128,140.5128,1,FALSE,,
KFR-XE1S,44414.28819,129.8448,129.8448,129.8448,1,FALSE,,
KFR-XE2S,44414.28889,72.136,70.104,73.152,1,FALSE,"saturated, not standing water",
KER-XE3S,44414.29097,-8,-7,-6,1,FALSE,,"7, 6, 11 cm deep"
KHT-XE4S,44414.29167,142.6464,142.6464,142.6464,1,FALSE,,at bottom
KHT-XE5S,44414.29375,125.8824,125.8824,125.8824,1,FALSE,,
KHT-XE6S,44414.29444,135.3312,135.3312,135.3312,1,TRUE,,
KHF-XE7S,44414.29583,,,,0,FALSE,,"no water, seems shallow"
KFF-XE8S,44414.29792,,,,0,FALSE,,no water
KET-1,44414.29514,79.8576,79.8576,79.8576,1,FALSE,,logger #4 installed at 7:24 a.m.
KWT-1,44414.29931,175.8696,175.8696,175.8696,1,FALSE,,"logger caked in mud at bottom, move logger to KET-1"
KHR-XD1S,44414.3125,128.016,128.016,128.016,1,FALSE,,
KEF-1,44414.31806,57.7088,57.6072,57.6072,1,TRUE,saturated,
KHF-1,44414.31736,150.876,150.876,150.876,1,TRUE,,
KWF-1,44414.31944,145.796,145.6944,145.6944,1,FALSE,,mud with sand
KWR-1,44414.32153,104.5464,104.5464,104.5464,1,FALSE,,
EHR-1,44414.33958,119.7864,119.7864,119.7864,1,FALSE,,
EER-1,44414.34097,126.6952,126.492,126.7968,1,FALSE,,
EWR-1,44414.34167,116.7384,116.7384,116.7384,1,FALSE,,
EFF-XA1N,44414.34722,150.5712,150.5712,150.5712,1,FALSE,,mud
EFF-XA2N,44414.34583,79.248,79.248,79.248,1,FALSE,,
EWF-XA2S,44414.34653,,,,0,FALSE,,no water
EWT-1,44414.35,207.264,207.264,207.264,1,FALSE,,
EFT-XB6S,44414.35347,,,,0,FALSE,,no water
EFF-XB7S,44414.35486,136.2456,136.2456,136.2456,1,FALSE,"not saturated, soil moist",
EEF-1,44414.35694,138.684,138.684,138.684,1,TRUE,,near bottom
EET-1,44414.35903,,,,0,TRUE,,no water
EHT-XC5S,44414.35972,,,,0,TRUE,,no water
EET-XB4S,44414.3625,,,,0,FALSE,,no water
EFR-XB2S,08/06/20218:44 AM,153.924,153.924,153.924,1,FALSE,,
EFR-XB1S,44414.36458,142.0368,142.0368,142.0368,1,FALSE,,
EHR-XB1N,44414.36528,151.1808,151.1808,151.1808,1,FALSE,,
EFR-XB2N,44414.36597,69.1896,69.1896,69.1896,1,FALSE,,
EFR-XB3N,44414.36667,118.0592,117.9576,117.9576,1,FALSE,,
EWR-XB4N,44414.36736,93.1672,92.964,93.2688,1,FALSE,,
LHT-1,44414.38889,138.9888,138.9888,138.9888,1,FALSE,,near bottom
LET-1,44414.39028,143.256,143.256,143.256,1,FALSE,,mud at bottom
LWT-1,44414.39236,124.3584,124.3584,124.3584,1,FALSE,,
KHT-XD6N,44430.48403,231.3432,231.3432,231.3432,1,FALSE,,mud at bottom
KER-XD5N,44430.48542,148.7424,148.7424,148.7424,1,FALSE,,"wet mud, near bottom"
KHR-1,44430.48611,145.6944,145.6944,145.6944,1,FALSE,,mud at bottom
KHR-XD1N,44430.48819,128.016,128.016,128.016,1,FALSE,,
KHR-XD1S,44430.48958,128.3208,128.3208,128.3208,1,FALSE,,
KWR-XE1N,44430.49375,140.9192,140.8176,140.8176,1,FALSE,,"thalweg depth is 11.5 cm, between KWR-XE1N to KFR-XE1S - depth is 12-18.5 cm"
KFR-XE1S,44430.49792,128.4224,128.3208,128.3208,1,FALSE,,
