well_id,timestamp,welltop_to_water_cm,water_level_1_cm,water_level_2_cm,water_level_3_cm,water_binary,logger?,meter_id,soil moisture,notes,vegetation,HGMZ,
EHT-XA5S,06/30/2018 08:47 AM,102.87,,,,TRUE,NaN,v1,,,,,
EHT-XA5S,06/30/2018 08:47 AM,102.87,,,,TRUE,NaN,v1,,,,,
EWT-1,06/30/2018 08:50 AM,145.415,,,,TRUE,NaN,v1,,,,,
EWT-1,06/30/2018 08:50 AM,146.3675,,,,TRUE,NaN,v1,,,,,
EWT-1,06/30/2018 08:50 AM,143.51,,,,TRUE,NaN,v1,,,,,
EEF-1,06/30/2018 08:55 AM,60.96,,,,TRUE,NaN,v1,,,,,
EEF-1,06/30/2018 08:55 AM,60.96,,,,TRUE,NaN,v1,,,,,
EEF-1,06/30/2018 08:55 AM,60.96,,,,TRUE,NaN,v1,,,,,
EET-1,06/30/2018 09:00 AM,142.24,,,,TRUE,NaN,v1,,,,,
EET-1,06/30/2018 09:00 AM,142.24,,,,TRUE,NaN,v1,,,,,
EET-1,06/30/2018 09:00 AM,142.5575,,,,TRUE,NaN,v1,,,,,
EHT-XB5S,06/30/2018 09:05 AM,109.22,,,,TRUE,NaN,v1,,,,,
EHT-XB5S,06/30/2018 09:05 AM,109.855,,,,TRUE,NaN,v1,,,,,
EHT-XB5S,06/30/2018 09:05 AM,109.855,,,,TRUE,NaN,v1,,,,,
EFR-XB1S,06/30/2018 09:10 AM,129.54,,,,TRUE,NaN,v1,,,,,
EFR-XB1S,06/30/2018 09:10 AM,130.4925,,,,TRUE,NaN,v1,,,,,
EFR-XB1S,06/30/2018 09:10 AM,133.985,,,,TRUE,NaN,v1,,,,,
KHT-XD6N,07/01/2018 06:22 AM,140.0175,,,,TRUE,NaN,v1,,,,,
KHT-XD6N,07/01/2018 06:22 AM,140.335,,,,TRUE,NaN,v1,,,,,
KHT-XD6N,07/01/2018 06:22 AM,140.335,,,,TRUE,NaN,v1,,,,,
KER-1,07/01/2018 06:30 AM,109.22,,,,TRUE,NaN,v1,,,,,
KER-1,07/01/2018 06:30 AM,109.22,,,,TRUE,NaN,v1,,,,,
KER-1,07/01/2018 06:30 AM,109.22,,,,TRUE,NaN,v1,,,,,
KHR-XD2N,07/01/2018 06:37 AM,124.7775,,,,TRUE,NaN,v1,,,,,
KHR-XD2N,07/01/2018 06:37 AM,125.095,,,,TRUE,NaN,v1,,,,,
KHR-XD2N,07/01/2018 06:37 AM,125.095,,,,TRUE,NaN,v1,,,,,
KFF-XD6S,07/01/2018 06:47 AM,133.35,,,,TRUE,NaN,v1,,,,,
KFF-XD6S,07/01/2018 06:47 AM,133.35,,,,TRUE,NaN,v1,,,,,
KFF-XD6S,07/01/2018 06:47 AM,133.35,,,,TRUE,NaN,v1,,,,,
KWT-1,07/01/2018 06:52 AM,134.3025,,,,TRUE,NaN,v1,,,,,
KWT-1,07/01/2018 06:52 AM,134.9375,,,,TRUE,NaN,v1,,,,,
KWT-1,07/01/2018 06:52 AM,134.9375,,,,TRUE,NaN,v1,,,,,
KFF-XE8S,07/01/2018 07:04 AM,123.19,,,,TRUE,NaN,v1,,,,,
KFF-XE8S,07/01/2018 07:04 AM,122.555,,,,TRUE,NaN,v1,,,,,
KFF-XE8S,07/01/2018 07:04 AM,122.2375,,,,TRUE,NaN,v1,,,,,
KHT-XE6S,07/01/2018 07:10 AM,112.395,,,,TRUE,NaN,v1,,,,,
KHT-XE6S,07/01/2018 07:10 AM,112.395,,,,TRUE,NaN,v1,,,,,
KHT-XE6S,07/01/2018 07:10 AM,112.7125,,,,TRUE,NaN,v1,,,,,
KHT-XE5S,07/01/2018 07:30 AM,127,,,,TRUE,NaN,v1,,,,,
KHT-XE5S,07/01/2018 07:30 AM,127.635,,,,TRUE,NaN,v1,,,,,
KHT-XE5S,07/01/2018 07:30 AM,127,,,,TRUE,NaN,v1,,,,,
KHT-XE4S,07/01/2018 07:40 AM,120.015,,,,TRUE,NaN,v1,"no camera, but plant phenology notes in notebook",,,,
KHT-XE4S,07/01/2018 07:40 AM,120.3325,,,,TRUE,NaN,v1,,,,,
KHT-XE4S,07/01/2018 07:40 AM,119.6975,,,,TRUE,NaN,v1,,,,,
KFR-XE2S,07/01/2018 07:45 AM,61.2775,,,,TRUE,NaN,v1,,,,,
KFR-XE2S,07/01/2018 07:45 AM,61.9125,,,,TRUE,NaN,v1,,,,,
KFR-XE2S,07/01/2018 07:45 AM,62.23,,,,TRUE,NaN,v1,,,,,
KFR-XE1S,07/01/2018 07:50 AM,115.8875,,,,TRUE,NaN,v1,,,,,
KFR-XE1S,07/01/2018 07:50 AM,115.8875,,,,TRUE,NaN,v1,,,,,
KFR-XE1S,07/01/2018 07:50 AM,115.8875,,,,TRUE,NaN,v1,,,,,
KWR-XE1N,07/01/2018 08:00 AM,126.6825,,,,TRUE,NaN,v1,,,,,
KWR-XE1N,07/01/2018 08:00 AM,127,,,,TRUE,NaN,v1,,,,,
KWR-XE1N,07/01/2018 08:00 AM,127.3175,,,,TRUE,NaN,v1,,,,,
KHR-XE2N,07/01/2018 08:04 AM,106.68,,,,TRUE,NaN,v1,,,,,
KHR-XE2N,07/01/2018 08:04 AM,106.68,,,,TRUE,NaN,v1,,,,,
KHR-XE2N,07/01/2018 08:04 AM,106.68,,,,TRUE,NaN,v1,,,,,
KEF-1,07/01/2018 08:14 AM,54.9275,,,,TRUE,NaN,v1,standing,standing water at ground surface about 1m away from well,,,
KEF-1,07/01/2018 08:14 AM,54.9275,,,,TRUE,NaN,v1,,,,,
KEF-1,07/01/2018 08:14 AM,55.245,,,,TRUE,NaN,v1,,,,,
KHF-1,07/01/2018 08:18 AM,128.5875,,,,TRUE,NaN,v1,,,,,
KHF-1,07/01/2018 08:18 AM,128.905,,,,TRUE,NaN,v1,,,,,
KHF-1,07/01/2018 08:18 AM,128.905,,,,TRUE,NaN,v1,,,,,
KWF-1,07/01/2018 08:25 AM,120.65,,,,TRUE,NaN,v1,,,S. geyerii,,
KWF-1,07/01/2018 08:25 AM,121.285,,,,TRUE,NaN,v1,,,,,
KWF-1,07/01/2018 08:25 AM,121.6025,,,,TRUE,NaN,v1,,,,,
KWR-1,07/01/2018 08:30 AM,93.98,,,,TRUE,NaN,v1,,,S. lemonii,,
KWR-1,07/01/2018 08:30 AM,93.6625,,,,TRUE,NaN,v1,,,,,
KWR-1,07/01/2018 08:30 AM,93.98,,,,TRUE,NaN,v1,,,,,
KHF-XD4S,07/01/2018 08:35 AM,,,,,FALSE,NaN,nw,,,,,
EHR-1,07/16/2018 07:52 AM,116.9,,,,TRUE,NaN,v2,,,,,
EHR-1,07/16/2018 07:52 AM,118,,,,TRUE,NaN,v2,,,,,
EHR-1,07/16/2018 07:52 AM,119.5,,,,TRUE,NaN,v2,,,,,
EER-1,07/16/2018 07:57 AM,117.5,,,,TRUE,NaN,v2,,,,,
EER-1,07/16/2018 07:57 AM,117.7,,,,TRUE,NaN,v2,,,,,
EER-1,07/16/2018 07:57 AM,117.9,,,,TRUE,NaN,v2,,,,,
EFR-XB2S,07/16/2018 07:57 AM,,,,,FALSE,NaN,nw,,,"mixed herbaceous, pine",riparian,
EFR-XB3S,07/16/2018 07:58 AM,,,,,FALSE,NaN,nw,,,"mixed herbaceous, pine",riparian,
EWR-1,07/16/2018 08:01 AM,106.7,,,,TRUE,NaN,v2,,,,,
EWR-1,07/16/2018 08:01 AM,106.8,,,,TRUE,NaN,v2,,,,,
EWR-1,07/16/2018 08:01 AM,107,,,,TRUE,NaN,v2,,,,,
EFF-XA2N,07/16/2018 08:10 AM,70.5,,,,TRUE,NaN,v2,,,forest,fan,
EFF-XA2N,07/16/2018 08:10 AM,71.5,,,,TRUE,NaN,v2,,,,,
EFF-XA2N,07/16/2018 08:10 AM,71.6,,,,TRUE,NaN,v2,,,,,
EWF-XA2S,07/16/2018 08:16 AM,143.3,,,,TRUE,NaN,v2,,,"willow, pine, mixed herbaceous",fan,
EWF-XA2S,07/16/2018 08:16 AM,144,,,,TRUE,NaN,v2,,,,,
EWF-XA2S,07/16/2018 08:16 AM,144.3,,,,TRUE,NaN,v2,,,,,
EHF-XA3S,07/16/2018 08:19 AM,114.4,,,,TRUE,NaN,v2,,,mixed herbaceous,,
EHF-XA3S,07/16/2018 08:19 AM,114.5,,,,TRUE,NaN,v2,,,,,
EHF-XA3S,07/16/2018 08:19 AM,114.4,,,,TRUE,NaN,v2,,,,,
EHT-XA5S,07/16/2018 08:25 AM,140,,,,TRUE,NaN,v2,,,mixed herbaceous,terrace,
EHT-XA5S,07/16/2018 08:25 AM,140.9,,,,TRUE,NaN,v2,,,,,
EHT-XA5S,07/16/2018 08:25 AM,140.4,,,,TRUE,NaN,v2,,,,,
EWT-1,07/16/2018 08:29 AM,147.7,,,,TRUE,NaN,v2,,tip of meter hit mud at bottom,S. lemonii,terrace,
EWT-1,07/16/2018 08:29 AM,147.8,,,,TRUE,NaN,v2,,,,,
EWT-1,07/16/2018 08:29 AM,148,,,,TRUE,NaN,v2,,,,,
EEF-1,07/16/2018 08:40 AM,72.5,,,,TRUE,NaN,v2,,,"sedge, juncus",,
EEF-1,07/16/2018 08:40 AM,72.5,,,,TRUE,NaN,v2,,,,,
EEF-1,07/16/2018 08:40 AM,72.5,,,,TRUE,NaN,v2,,,,,
EET-1,07/16/2018 08:47 AM,144.9,,,,TRUE,NaN,v2,,mud at bottom,,,
EET-1,07/16/2018 08:47 AM,144.9,,,,TRUE,NaN,v2,,,,,
EET-1,07/16/2018 08:47 AM,145,,,,TRUE,NaN,v2,,,,,
EHT-XB5S,07/16/2018 08:52 AM,129.5,,,,TRUE,NaN,v2,dry,grasshoppers in meadow; soil cracks 1-2 cm,mixed herbaceous,,
EHT-XB5S,07/16/2018 08:52 AM,129.6,,,,TRUE,NaN,v2,,,,,
EHT-XB5S,07/16/2018 08:52 AM,129.4,,,,TRUE,NaN,v2,,,,,
EFR-XB1S,07/16/2018 08:54 AM,133,,,,TRUE,NaN,v2,,,"mixed herbaceous, pine",riparian,
EFR-XB1S,07/16/2018 08:54 AM,133.4,,,,TRUE,NaN,v2,,,,,
EFR-XB1S,07/16/2018 08:54 AM,133.9,,,,TRUE,NaN,v2,,,,,
EET-XB4S,07/16/2018 09:11 AM,138.4,,,,TRUE,NaN,v2,,,sedge,terrace,
EET-XB4S,07/16/2018 09:11 AM,138.5,,,,TRUE,NaN,v2,,,,,
EET-XB4S,07/16/2018 09:11 AM,138.6,,,,TRUE,NaN,v2,,,,,
EHR-XB1N,07/16/2018 09:16 AM,137.4,,,,TRUE,NaN,v2,,,mixed herbaceous,riparian,
EHR-XB1N,07/16/2018 09:16 AM,137.4,,,,TRUE,NaN,v2,,,,,
EHR-XB1N,07/16/2018 09:16 AM,137.7,,,,TRUE,NaN,v2,,,,,
EFR-XB2N,07/16/2018 09:19 AM,57,,,,TRUE,NaN,v2,,,"mixed herbaceous, pine (small)",terrace,
EFR-XB2N,07/16/2018 09:19 AM,57,,,,TRUE,NaN,v2,,,,,
EFR-XB2N,07/16/2018 09:19 AM,57,,,,TRUE,NaN,v2,,,,,
EWR-XB3N,07/16/2018 09:21 AM,84.4,,,,TRUE,NaN,v2,,,willow,terrace,
EWR-XB3N,07/16/2018 09:21 AM,84.7,,,,TRUE,NaN,v2,,,,,
EWR-XB3N,07/16/2018 09:21 AM,85,,,,TRUE,NaN,v2,,,,,
EWR-XB4N,07/16/2018 09:24 AM,76.8,,,,TRUE,NaN,v2,,,"willow, mixed herbaceous",terrace,
EWR-XB4N,07/16/2018 09:24 AM,76.6,,,,TRUE,NaN,v2,,,,,
EWR-XB4N,07/16/2018 09:24 AM,76.5,,,,TRUE,NaN,v2,,,,,
KHT-XD6N,07/17/2018 07:29 AM,,,,,FALSE,NaN,nw,,,,,
KER-1,07/17/2018 07:35 AM,135.9,,,,TRUE,NaN,v2,,,,,
KER-1,07/17/2018 07:35 AM,136.4,,,,TRUE,NaN,v2,,,,,
KER-1,07/17/2018 07:35 AM,136.6,,,,TRUE,NaN,v2,,,,,
KHR-XD2N,07/17/2018 07:41 AM,128.6,,,,TRUE,NaN,v2,,,,,
KHR-XD2N,07/17/2018 07:41 AM,130,,,,TRUE,NaN,v2,,,,,
KHR-XD2N,07/17/2018 07:41 AM,130.2,,,,TRUE,NaN,v2,,,,,
KFF-XD6S,07/17/2018 07:45 AM,,,,,FALSE,NaN,nw,,,,,
KWT-1,07/17/2018 07:55 AM,,,,,FALSE,NaN,nw,,,,,
KFF-XE8S,07/17/2018 07:59 AM,,,,,FALSE,NaN,nw,,,,,
KHT-XE6S,07/17/2018 08:03 AM,,,,,FALSE,NaN,nw,,,,,
KHT-XE5S,07/17/2018 08:07 AM,145,,,,TRUE,NaN,v2,,,,,
KHT-XE5S,07/17/2018 08:07 AM,145.1,,,,TRUE,NaN,v2,,,,,
KHT-XE5S,07/17/2018 08:07 AM,145,,,,TRUE,NaN,v2,,,,,
