well_id,timestamp,welltop_to_water_cm,water_level_1_cm,water_level_2_cm,water_level_3_cm,water_binary,logger?,meter_id,soil moisture,notes,well_id
KHT-XE6S,6/6/21 6:52,81.3816,81.3816,81.3816,81.3816,TRUE,FALSE,solinst,,,KHT-XE6S
KET-1,6/6/21 6:50,53.6448,53.6448,53.6448,53.6448,TRUE,FALSE,solinst,,,KET-1
KFF-XE8S,6/6/21 6:55,44.196,44.196,44.196,44.196,TRUE,FALSE,solinst,,"well sheared at ground, needs replacement; reading from ground not top of well",KFF-XE8S
KWT-1,6/6/21 6:58,106.3752,106.3752,106.3752,106.3752,TRUE,FALSE,solinst,,,KWT-1
KFF-XD6S,6/6/21 7:04,83.82,83.82,83.82,83.82,TRUE,TRUE,solinst,,,KFF-XD6S
KHT-XD3S,6/6/21 7:07,131.6736,131.6736,131.6736,131.6736,TRUE,TRUE,solinst,,,KHT-XD3S
KHF-XD4S,6/6/21 7:06,137.16,137.16,137.16,137.16,TRUE,TRUE,solinst,,,KHF-XD4S
KHR-XD1S,6/6/21 7:08,125.1712,125.2728,125.2728,124.968,TRUE,,solinst,,,KHR-XD1S
KEF-1,6/6/21 7:15,53.1368,53.0352,53.0352,53.34,TRUE,TRUE,solinst,,,KEF-1
KHF-1,6/6/21 7:17,115.5192,115.2144,115.5192,115.824,TRUE,TRUE,solinst,,,KHF-1
KWF-1,6/6/21 7:19,80.4672,80.4672,80.4672,80.4672,TRUE,FALSE,solinst,,,KWF-1
KWR-1,6/6/21 7:21,,,,,FALSE,FALSE,solinst,,cap stuck shut,KWR-1
KER-XD5N,6/6/21 7:42,56.0832,56.388,56.388,55.4736,TRUE,TRUE,solinst,,,KER-XD5N
KHR-1,6/6/21 7:41,87.6808,87.7824,87.7824,87.4776,TRUE,FALSE,solinst,,,KHR-1
KHR-XD1N,6/6/21 7:38,129.032,128.016,128.016,131.064,TRUE,FALSE,solinst,,,KHR-XD1N
KHF-XE7S,6/6/21 6:53,80.772,80.772,80.772,80.772,TRUE,FALSE,solinst,,needs a black cap,KHF-XE7S
EHR-1,6/6/21 7:59,109.728,109.728,109.728,109.728,TRUE,FALSE,solinst,,,EHT-XA5S
EER-1,6/6/21 8:01,116.2304,116.1288,116.1288,116.4336,TRUE,FALSE,solinst,,,0
EWR-1,6/6/21 8:02,113.0808,113.0808,113.0808,113.0808,TRUE,FALSE,solinst,,,
EFF-XA1N,6/6/21 8:10,147.828,147.828,147.828,147.828,TRUE,FALSE,solinst,,,
EFF-XA2N,6/6/21 8:09,64.008,64.008,64.008,64.008,TRUE,FALSE,solinst,,,
