Time, Target, Sensor Body,source_file
07/11/2025 12:32,23.0105,33.0811,Data Log(37).txt
07/11/2025 12:32,23.2402,33.0613,Data Log(37).txt
07/11/2025 12:32,23.1805,33.0589,Data Log(37).txt
07/11/2025 12:34,22.8639,32.9502,Data Log(37).txt
07/11/2025 12:34,23.0805,32.9403,Data Log(37).txt
07/11/2025 12:34,23.0548,32.9365,Data Log(37).txt
07/11/2025 12:34,23.0372,32.9339,Data Log(37).txt
07/11/2025 12:35,23.0049,32.9308,Data Log(37).txt
07/11/2025 12:12,26.2523,33.3162,Data Log(38).txt
07/11/2025 12:12,25.9132,33.31,Data Log(38).txt
07/11/2025 12:12,25.7241,33.3061,Data Log(38).txt
07/11/2025 12:12,25.6712,33.3011,Data Log(38).txt
07/11/2025 12:12,25.7209,33.295,Data Log(38).txt
07/09/2025 17:03,22.2768,22.074,Data Log(39).txt
07/09/2025 17:03,22.2569,22.0717,Data Log(39).txt
07/09/2025 17:03,22.2784,22.0703,Data Log(39).txt
07/09/2025 17:03,22.2463,22.0692,Data Log(39).txt
07/09/2025 17:03,22.2609,22.0678,Data Log(39).txt
07/29/2025 13:13,34.66,32.3767,Data Log(4).txt
07/29/2025 13:13,34.7231,32.4177,Data Log(4).txt
07/29/2025 13:13,34.6767,32.4452,Data Log(4).txt
07/29/2025 13:14,57.4684,32.6632,Data Log(4).txt
07/29/2025 13:15,57.5516,32.6891,Data Log(4).txt
07/09/2025 16:59,22.5294,22.2562,Data Log(40).txt
07/09/2025 16:59,22.4607,22.2407,Data Log(40).txt
07/09/2025 17:00,22.4632,22.2362,Data Log(40).txt
07/09/2025 17:00,22.4424,22.2351,Data Log(40).txt
07/09/2025 17:00,22.4367,22.2348,Data Log(40).txt
07/09/2025 16:59,21.9232,22.2855,Data Log(41).txt
07/09/2025 16:59,22.0067,22.2833,Data Log(41).txt
07/09/2025 16:59,22.0847,22.2808,Data Log(41).txt
07/09/2025 16:59,22.15,22.2786,Data Log(41).txt
07/09/2025 16:59,22.2256,22.2771,Data Log(41).txt
07/29/2025 12:56,35.2764,29.4348,Data Log(5).txt
07/29/2025 12:56,35.9762,29.4545,Data Log(5).txt
07/29/2025 12:56,36.9011,29.4908,Data Log(5).txt
07/29/2025 12:57,37.7561,29.5411,Data Log(5).txt
07/29/2025 12:57,37.3137,29.6234,Data Log(5).txt
07/29/2025 12:57,36.3687,29.6674,Data Log(5).txt
07/29/2025 12:58,74.4905,29.8707,Data Log(5).txt
07/29/2025 12:59,75.4896,29.9665,Data Log(5).txt
07/29/2025 13:00,55.4137,30.2026,Data Log(5).txt
07/29/2025 13:01,58.1919,30.297,Data Log(5).txt
07/29/2025 13:01,58.8777,30.3853,Data Log(5).txt
07/29/2025 12:46,31.2278,30.2456,Data Log(6).txt
07/29/2025 12:46,30.1866,30.2505,Data Log(6).txt
07/29/2025 12:46,28.7514,30.253,Data Log(6).txt
07/29/2025 12:47,28.9905,30.2435,Data Log(6).txt
07/29/2025 12:48,56.4952,30.2367,Data Log(6).txt
07/29/2025 12:48,55.3973,30.2726,Data Log(6).txt
07/29/2025 12:40,-41.4391,30.4675,Data Log(7).txt
07/29/2025 12:41,-41.575,30.4884,Data Log(7).txt
07/29/2025 12:40,-41.4391,30.4675,Data Log(8).txt
07/29/2025 12:41,-41.575,30.4884,Data Log(8).txt
07/29/2025 12:38,26.8129,30.2748,Data Log(9).txt
07/29/2025 12:38,25.2263,30.3177,Data Log(9).txt
07/29/2025 12:38,25.1483,30.3436,Data Log(9).txt
07/29/2025 12:38,25.2122,30.4088,Data Log(9).txt
07/29/2025 13:59,32.4941,34.3373,Data Log.txt
07/29/2025 13:59,33.1806,34.3445,Data Log.txt
07/29/2025 14:00,33.3899,34.3122,Data Log.txt
07/29/2025 14:00,33.1887,34.2958,Data Log.txt
07/29/2025 14:01,46.8124,34.2064,Data Log.txt
07/29/2025 14:01,46.3389,34.2,Data Log.txt
