term,estimate,std.error,conf.low,conf.up,,Qmin,Qmax
x0.X.Y29,47.25525557,26.26424557,-4.221719834,98.73223098,,,
x0.X.Y30,7.832074474,23.08344149,-37.41063948,53.07478843,,,
x0.X.Y31,4.595746279,32.26101863,-58.63468835,67.8261809,,,
x0.X.Y32,54.77945477,30.5553136,-5.107859429,114.666769,,,
x0.X.Y33,-2.22330002,27.35491653,-55.83795123,51.39135118,,,
x0.X.Y34,23.95195919,15.70416273,-6.827634165,54.73155254,,,
x0.X.Y35,41.21398579,14.5460339,12.70428323,69.72368835,,,
x0.X.Y36,60.52716631,52.48979948,-42.35095022,163.4052828,,,
x0.X.Y37,32.9243968,72.41903591,-109.0143054,174.863099,,,
x0.X.Y38,38.80162251,81.61322102,-121.1573514,198.7605964,,,
x0.X.Y39,28.62873342,48.3656132,-66.16612655,123.4235934,,,
