term,estimate,std.error,conf.low,conf.up,,Rmin,Rmax
"Q.(X.Y21,X.Y21)",134.3884254,125.3966182,-111.3844301,380.1612809,,,
"Q.(X.Y22,X.Y22)",53.45511466,37.1004147,-19.26036196,126.1705913,,,
"Q.(X.Y23,X.Y23)",12.01996509,8.441073778,-4.524235507,28.56416568,,,
"Q.(X.Y24,X.Y24)",35.60738575,24.39341308,-12.20282534,83.41759684,,,
"Q.(X.Y25,X.Y25)",26.97062652,18.76553694,-9.809150026,63.75040307,,,
"Q.(X.Y26,X.Y26)",141.08167,96.38494906,-47.82935877,329.9926988,,,
"Q.(X.Y27,X.Y27)",6.484344812,4.407220968,-2.153649556,15.12233918,,,
"Q.(X.Y28,X.Y28)",309.1737487,313.6478122,-305.5646671,923.9121644,,,
"Q.(X.Y29,X.Y29)",128.1544645,87.43605995,-43.21706394,299.525993,,,
"Q.(X.Y30,X.Y30)",0.000167074,0.311882236,-0.611110875,0.611445024,,,
"Q.(X.Y31,X.Y31)",36.3955927,24.89244095,-12.39269505,85.18388044,,,
"Q.(X.Y32,X.Y32)",789.7252226,720.1442771,-621.7316242,2201.182069,,,
"Q.(X.Y33,X.Y33)",14.05430551,9.61479395,-4.790344354,32.89895537,,,
"Q.(X.Y34,X.Y34)",0,0.008787708,-0.017223592,0.017223592,,,
"Q.(X.Y35,X.Y35)",7.07051663,13.16833281,-18.73894141,32.87997467,,,
"Q.(X.Y36,X.Y36)",133.4623597,90.76328875,-44.43041737,311.3551368,,,
"Q.(X.Y37,X.Y37)",0.027899248,40.77254618,-79.88482282,79.94062132,,,
"Q.(X.Y38,X.Y38)",114.6279899,79.26140079,-40.72150103,269.9774808,,,
"Q.(X.Y39,X.Y39)",27.28723226,18.56077677,-9.091221731,63.66568625,,,
"Q.(X.Y40,X.Y40)",4.086990134,2.963292621,-1.720956679,9.894936947,,,
"Q.(X.Y41,X.Y41)",429.6971434,291.9508956,-142.5160972,1001.910384,,,
"Q.(X.Y42,X.Y42)",177.1850783,120.5010631,-58.99266542,413.3628221,,,
"Q.(X.Y43,X.Y43)",126.1984753,86.93007277,-44.18133648,296.5782871,,,
"Q.(X.Y44,X.Y44)",135.7134146,93.45569673,-47.45638514,318.8832144,,,
"Q.(X.Y45,X.Y45)",1.241563562,1.128552693,-0.970359072,3.453486196,,,
"Q.(X.Y46,X.Y46)",571.0630274,466.6753138,-343.6037801,1485.729835,,,
"Q.(X.Y47,X.Y47)",34.35363591,23.4566038,-11.62046275,80.32773456,,,
"Q.(X.Y48,X.Y48)",28.68390939,19.70277186,-9.932813855,67.30063264,,,
"Q.(X.Y49,X.Y49)",1013.016094,769.4145431,-495.0087002,2521.040887,,,
"Q.(X.Y50,X.Y50)",221.041168,162.398026,-97.25311417,539.3354501,,,
"Q.(X.Y51,X.Y51)",266.6974497,203.1615599,-131.4918908,664.8867902,,,
"Q.(X.Y52,X.Y52)",83.97171228,62.93329028,-39.37527011,207.3186947,,,
x0.X.Y1,2.157590482,19.23519719,-35.54270325,39.85788422,,,
x0.X.Y2,41.39457899,15.97983613,10.0746757,72.71448228,,,
x0.X.Y3,16.64102231,4.918265215,7.001399618,26.28064499,,,
x0.X.Y4,11.22937293,8.611980378,-5.649798444,28.10854431,,,
x0.X.Y5,48.83520864,12.76423073,23.81777611,73.85264117,,,
x0.X.Y6,1.342188453,38.72960196,-74.56643653,77.25081344,,,
x0.X.Y7,9.586084694,5.09484781,-0.399633519,19.57180291,,,
x0.X.Y8,11.65332639,11.3781561,-10.64744978,33.95410256,,,
x0.X.Y9,27.78578092,2.963497573,21.97743241,33.59412943,,,
x0.X.Y10,45.83181975,2.576030318,40.78289311,50.8807464,,,
x0.X.Y11,27.25044958,10.4342054,6.799782792,47.70111636,,,
x0.X.Y12,19.78782844,16.39859389,-12.35282498,51.92848186,,,
x0.X.Y13,45.7381727,11.83316667,22.5455922,68.93075321,,,
x0.X.Y14,2.856298413,18.54864446,-33.49837668,39.21097351,,,
x0.X.Y15,26.04652923,7.690173055,10.97406701,41.11899145,,,
x0.X.Y16,41.38634576,6.234461857,29.16702506,53.60566646,,,
x0.X.Y17,12.07069458,2.873566576,6.438607582,17.70278158,,,
x0.X.Y18,6.532707459,32.87400831,-57.89916485,70.96457977,,,
x0.X.Y19,84.14768138,13.24980417,58.17854241,110.1168204,,,
x0.X.Y20,23.88842772,30.93120958,-36.73562905,84.5124845,,,
x0.X.Y21,51.39739282,11.59341698,28.67471307,74.12007256,,,
x0.X.Y22,26.20333947,7.312106788,11.87187352,40.53480543,,,
x0.X.Y23,8.265705362,3.467154087,1.470208222,15.0612025,,,
x0.X.Y24,18.89603183,5.967525245,7.199897272,30.59216639,,,
x0.X.Y25,16.8913897,5.193588185,6.712143906,27.07063549,,,
x0.X.Y26,69.22192621,11.87828309,45.94091915,92.50293326,,,
x0.X.Y27,6.840140262,2.54656341,1.848967694,11.83131283,,,
x0.X.Y28,5.966564795,17.58511841,-28.49963396,40.43276355,,,
x0.X.Y29,0.410931594,11.32092604,-21.77767572,22.59953891,,,
x0.X.Y30,-4.901540588,0.72990147,-6.332121182,-3.470959994,,,
x0.X.Y31,-15.81902516,6.033160873,-27.64380318,-3.994247136,,,
x0.X.Y32,19.95707555,28.10714476,-35.13191589,75.04606698,,,
x0.X.Y33,34.67597583,3.749096581,27.32788156,42.0240701,,,
x0.X.Y34,-0.6575,0.131337998,-0.914917746,-0.400082254,,,
x0.X.Y35,48.61183093,2.660985965,43.39639428,53.82726759,,,
x0.X.Y36,8.011857203,11.55311099,-14.63182424,30.65553865,,,
x0.X.Y37,77.06920604,7.576113823,62.22029581,91.91811628,,,
x0.X.Y38,9.395751254,10.70683061,-11.58925113,30.38075364,,,
x0.X.Y39,17.80641912,5.223967987,7.567630006,28.04520823,,,
x0.X.Y40,43.97178555,3.501771943,37.10843866,50.83513244,,,
x0.X.Y41,26.73281975,20.72993663,-13.89710944,67.36274894,,,
x0.X.Y42,0.671193397,13.31171877,-25.41929597,26.76168276,,,
x0.X.Y43,-14.18077505,11.23422366,-36.19944882,7.837898709,,,
x0.X.Y44,-27.36138852,11.65000866,-50.19498591,-4.527791125,,,
x0.X.Y45,-0.420446504,1.27230967,-2.914127634,2.073234627,,,
x0.X.Y46,1.899440082,23.89962979,-44.94297355,48.74185372,,,
x0.X.Y47,-0.633634092,5.861476987,-12.12191788,10.8546497,,,
x0.X.Y48,16.51141512,5.355991629,6.013864429,27.00896582,,,
x0.X.Y49,3.611227201,31.82964131,-58.77372341,65.99617781,,,
x0.X.Y50,12.81439143,14.86810906,-16.32656683,41.9553497,,,
x0.X.Y51,21.49003992,16.33825443,-10.53235034,53.51243018,,,
x0.X.Y52,22.27464491,9.164209065,4.313125199,40.23616463,,,
