"","timestamp","well_id","water_binary","ground_to_water","observation_period"
"360",2018-10-01,"KFR-XE1S",1,-65.0166666666667,"9"
"361",2018-10-01,"KFR-XE2S",1,-9.4025,"9"
"362",2018-10-01,"KHF-1",1,-69.3833333333333,"9"
"363",2018-10-01,"KHF-XD4S",0,-81.965,"9"
"364",2018-10-01,"KHR-XD2N",1,-55.7175,"9"
"365",2018-10-01,"KHR-XE2N",1,-65.89,"9"
"366",2018-10-01,"KHT-XD3S",0,-81.42,"9"
"367",2018-10-01,"KHT-XD6N",0,-95.3550000166667,"9"
"368",2018-10-01,"KHT-XE4S",1,-64.72,"9"
"369",2018-10-01,"KHT-XE5S",1,-86.8425,"9"
"370",2018-10-01,"KHT-XE6S",0,-102.376666666667,"9"
"371",2018-10-01,"KWF-1",1,-67.6,"9"
"372",2018-10-01,"KWR-1",1,-32.7166666666667,"9"
"373",2018-10-01,"KWR-XE1N",1,-48.9,"9"
"374",2018-10-01,"KWT-1",0,-81.1,"9"
"387",2018-10-14,"KEF-1",1,-5.96666666666667,"10"
"388",2018-10-14,"KER-1",0,-68.3,"10"
"389",2018-10-14,"KER-XE3S",1,NA,"10"
"390",2018-10-14,"KFR-XE1S",1,-58.8166666666667,"10"
"391",2018-10-14,"KFR-XE2S",1,-9.9025,"10"
"392",2018-10-14,"KHF-1",1,-55.1166666666667,"10"
"393",2018-10-14,"KHR-XD2N",1,-53.9508333333333,"10"
"394",2018-10-14,"KHR-XE2N",1,-64.19,"10"
"395",2018-10-14,"KHT-XE4S",1,-41.72,"10"
"396",2018-10-14,"KHT-XE5S",1,-82.6758333333333,"10"
"397",2018-10-14,"KHT-XE6S",0,-102.376666666667,"10"
"398",2018-10-14,"KWF-1",1,-35.0666666666667,"10"
"399",2018-10-14,"KWR-XE1N",1,-48.6333333333333,"10"
"400",2018-10-14,"KWT-1",0,-81.1,"10"
"435",2018-11-18,"EEF-1",1,-0.616999999999996,"11"
"436",2018-11-18,"EER-1",1,-25.72802,"11"
"437",2018-11-18,"EET-1",1,-72.1103125,"11"
"438",2018-11-18,"EFF-XA2N",1,-8.03533333333333,"11"
"439",2018-11-18,"EFR-XB1S",1,-45.5373333333333,"11"
"440",2018-11-18,"EHF-XA3S",1,-16.3774358966667,"11"
"441",2018-11-18,"EHR-1",1,-41.9047069590476,"11"
"442",2018-11-18,"EHT-XA5S",1,-22.962454546,"11"
"443",2018-11-18,"EHT-XB5S",1,-42.1014166666667,"11"
"444",2018-11-18,"EWF-XA2S",1,-32.5688333333333,"11"
"445",2018-11-18,"EWR-1",1,-15.6085333333333,"11"
"446",2018-11-18,"EWT-1",1,-48.9936666666667,"11"
"447",2018-11-18,"KEF-1",NA,NA,"11"
"448",2018-11-18,"KER-1",0,-68.3,"11"
"449",2018-11-18,"KER-XE3S",1,NA,"11"
"450",2018-11-18,"KFF-XD6S",1,-18.3,"11"
"451",2018-11-18,"KFF-XE8S",1,-27.8845833333333,"11"
"452",2018-11-18,"KFR-XE1S",1,-57.45,"11"
"453",2018-11-18,"KFR-XE2S",1,-9.46916666666666,"11"
"454",2018-11-18,"KHF-1",1,-30.0833333333333,"11"
"455",2018-11-18,"KHR-XD2N",1,-47.2508333333333,"11"
"456",2018-11-18,"KHR-XE2N",1,-58.0566666666667,"11"
"457",2018-11-18,"KHT-XD3S",0,-81.42,"11"
"458",2018-11-18,"KHT-XD6N",0,-95.3550000166667,"11"
"459",2018-11-18,"KHT-XE4S",1,-26.0866666666667,"11"
"460",2018-11-18,"KHT-XE5S",1,-47.8758333333333,"11"
"461",2018-11-18,"KWF-1",1,-28.9666666666667,"11"
"462",2018-11-18,"KWR-1",1,-36.8833333333333,"11"
"463",2018-11-18,"KWR-XE1N",1,-47.1333333333333,"11"
"659",2019-06-02,"EER-1",1,-2.76135333333333,"12"
"660",2019-06-02,"EET-1",1,1.8896875,"12"
"661",2019-06-02,"EHF-XA3S",1,0.0892307700000003,"12"
"662",2019-06-02,"EHR-1",1,-4.33804029238095,"12"
"663",2019-06-02,"EHT-XA5S",1,5.17087878733334,"12"
"664",2019-06-02,"EHT-XB5S",1,NA,"12"
"665",2019-06-02,"EWF-XA2S",NA,NA,"12"
"666",2019-06-02,"EWR-1",1,17.5914666666667,"12"
"667",2019-06-02,"EWT-1",1,35.4063333333333,"12"
"668",2019-06-03,"KEF-1",1,-0.333333333333336,"12"
"669",2019-06-03,"KER-1",1,NA,"12"
"670",2019-06-03,"KER-XD5N",1,1.425,"12"
"671",2019-06-03,"KER-XE3S",1,NA,"12"
"672",2019-06-03,"KFF-XD6S",1,-5.7,"12"
"673",2019-06-03,"KHF-1",1,-0.75,"12"
"674",2019-06-03,"KHF-XD4S",1,-14.4416666666667,"12"
"675",2019-06-03,"KHR-XD1N",1,NA,"12"
"676",2019-06-03,"KHR-XD2N",NA,NA,"12"
"677",2019-06-03,"KHT-XD3S",NA,NA,"12"
"678",2019-06-03,"KHT-XD6N",1,1.97833333333333,"12"
