#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,texture,sub-class,soil texture code,gravel size,gravel amount
,KER-1,6/18/18,black spiral p14,81.28,83.82,32.0,33.0,,,GR,saturated,"C/C, C/F-M/VF",brown gray,,"bottom of hole, pebbles and gravel",gr,,,,
,,,,,,,,,,,,,,,,,,,,
9.0,KWT-1,6/20/18,black spiral p14,0.0,12.7,0.0,5.0,,fibrous,"hummus, clay, HO",moist,M/C-F,dark brown,,,hummus,"clay, HO",,,0.0
,KWT-1,6/20/18,black spiral p14,12.7,19.05,5.0,7.5,,,XST,,,,,extracted big rock,xst,,,,
,KWT-1,6/20/18,black spiral p14,19.05,30.48,7.5,12.0,,,clay,moist,"M/C-VC, C/F",dark brown,,,clay,,C,,
,KWT-1,6/20/18,black spiral p14,30.48,44.45,12.0,17.5,,,silty clay,wet,"C/C, F/F",brown,,,silty clay,,SIC,,
,KWT-1,6/20/18,black spiral p14,44.45,71.12,17.5,28.0,,,sandy clay loam,wet-saturated,F/F-VF,tan brown,,"mottled at bottom, decomposed pebbles",sandy clay loam,,SCL,,
,KWT-1,6/20/18,black spiral p14,71.12,91.44,28.0,36.0,,,"sandy clay loam, VGR",saturated,"F/C, F/F",tan pink,,decomposed rock was pink; pebbles to 30 mm,sandy clay loam,VGR,SCL,"(5, 20)","(0.35, 0.6)"
,KWT-1,6/20/18,black spiral p14,91.44,104.14,36.0,41.0,,,GR,saturated,F/F-VF,"tan, mottled",,"decomposed rock was red,orange and gray",gr,,,,
,,,,,,,,,,,,,,,,,,,,
10.0,E4S,6/20/18,black spiral p16,0.0,5.08,0.0,2.0,,HO,silty clay,moist,M/C-F,dark brown,,,silty clay,,SIC,,
,E4S,6/20/18,black spiral p16,5.08,10.16,2.0,4.0,,,silty clay,moist,M/F,dark brown,,,silty clay,,SIC,,
,E4S,6/20/18,black spiral p16,10.16,27.94,4.0,11.0,,,clay,moist,"F/C, C/F",dark brown,,,clay,,C,,
,E4S,6/20/18,black spiral p16,27.94,40.64,11.0,16.0,,,clay,moist,"F/C-F, C/VF",dark brown,,water in hole,clay,,C,,
,E4S,6/20/18,black spiral p16,40.64,50.8,16.0,20.0,,,"sandy clay, FGR",saturated,F/F,brown,,small pebbles,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,E4S,6/20/18,black spiral p16,50.8,58.42,20.0,23.0,,,clay,saturated,F/F,tan; mottled orange,,"slight grit, few gravels ~16 mm",clay,,C,,
,E4S,6/20/18,black spiral p16,58.42,83.82,23.0,33.0,,few fibers,clay,saturated,F/F-VF,tan to gray-tan,,"angular gravels and decomposed pebbles, mottling",clay,,C,,
,E4S,6/20/18,black spiral p16,83.82,85.09,33.0,33.5,,,GR,,,,,"gravels stopped auger, bottom of hole",gr,,,,
,,,,,,,,,,,,,,,,,,,,
11.0,E1N,6/20/18,black spiral p16,0.0,5.08,0.0,2.0,,fibrous,HO,dry-moist,M/C-F,dark brown,,,ho,,,,
,E1N,6/20/18,black spiral p16,5.08,15.24,2.0,6.0,,,sandy clay,moist,M/C-F,dark brown,,,sandy clay,,SC,,
,E1N,6/20/18,black spiral p16,15.24,33.02,6.0,13.0,,grassy,sandy clay,moist,M/C-F,dark brown,,,sandy clay,,SC,,
,E1N,6/20/18,black spiral p16,33.02,58.42,13.0,23.0,,,"sandy clay loam, VGR",saturated,"C/F-VF, F/C",dark brown,,,sandy clay loam,VGR,SCL,"(5, 20)","(0.35, 0.6)"
,E1N,6/20/18,black spiral p16,58.42,60.96,23.0,24.0,,"fibrous, HO, HPM",silty clay,saturated,M/F-VF,dark brown,,,silty clay,,SIC,,
,E1N,6/20/18,black spiral p16,60.96,63.5,24.0,25.0,,,GR,,,,,22 mm gravels,gr,,,,
,E1N,6/20/18,black spiral p16,63.5,73.66,25.0,29.0,,,GR,,,,,"60 mm gravels, rounded to sub-angular",gr,,,,
,,,,,,,,,,,,,,,,,,,,
12.0,KWR-1,6/20/18,black spiral p17,0.0,10.16,0.0,4.0,,fibrous,clay loam,wet,"M/F-VF, C/C",dark brown,,,clay loam,,CL,,
,KWR-1,6/20/18,black spiral p17,10.16,25.4,4.0,10.0,,,clay loam,wet,"M/C, M/F-F/F",dark brown,,,clay loam,,CL,,
