well_id,2018_146,2018_160,2018_174,2018_188,2018_202,2018_216,2018_230,2018_244,2018_258,2018_272,2018_286,2018_300,2018_314,2019_146,2019_160,2019_174,2019_188,2019_202,2019_216,2019_230,2019_244,2019_258,2019_272,2019_286,2019_300,2019_314,2021_146,2021_160,2021_174,2021_188,2021_202,2021_216,2021_230,2021_244,2021_258,2021_272,2021_286,2021_300,2021_314,2024_146,2024_160,2024_174,2024_188,2024_202,2024_216,2024_230,2024_244,2024_258,2024_272,2024_286,2024_300,2024_314,2025_146,2025_160,2025_174,2025_188,2025_202,2025_216,2025_230,2025_244,2025_258,2025_272,2025_286,2025_300,2025_314
KEF-1,,,,7.2333,7.021912014332409,4.3667,,5.723608502036008,6.8444867360063615,5.947475530559338,5.196571063919558,3.3943108995266136,3.9428617965664974,,1.5119086685235383,3.497276989663285,4.704173047810726,6.591201314283292,7.364990981996974,7.369549560587468,7.08300908878067,7.15617706667345,7.031028772092441,6.378041854964487,6.6333,,,2.8438425646994188,3.1757084484466325,3.5348169845424815,3.628782748933367,4.212181112360491,6.1858917685157335,6.842461436320218,5.067180308417717,4.527315289148725,4.967945665745286,1.7326719355497393,0.5389629018176462,5.41,7.253322168211374,8.56131411775495,13.32085654943443,14.557352503813913,17.832946298058626,16.662924592083748,12.984741039951775,13.568881134287922,12.259957781969504,11.01977089890473,11.337861530270155,11.692795642521363,8.70776993022269,10.01097729085672,13.048634084561899,17.322077326149255,17.336364972312825,16.14379266149806,16.547556008913393,15.532724474852222,15.653292191085088,14.288086505079336,14.039413643439019,11.222617223881256,
KER-1,,,20.5067,39.345,68.5689798965298,75.125,,,,,,,,,-4.6,2.325,11.3583,13.9583,15.0917,26.025,43.825,27.3917,20.4917,,18.4917,,,27.201,74.445,74.7498,74.8514,,,,,,,,21.613,0.585,5.965,13.685,33.805,65.505,74.245,,,,,,,,9.390942325999085,13.385362904988497,30.07528745119253,58.57784021711244,74.55858314420017,74.06360509244378,71.84776556918062,71.70062701945989,72.67748824875505,73.04966848085061,74.97753588911044,74.54071161865402,
KER-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.82646499921355,44.6827513125484,49.41133351545738,50.63854927283035,53.06188201737302,48.887165587964766,51.74678743839081,49.82434911782878,48.02274033103847,45.31207409308152,
KER-XD5N,,,,,,,,,,,,,,,-0.55,-0.7167,7.85,25.05,,,42.9833,,,,12.7167,,,21.1332,41.8596,67.158,85.446,91.542,113.7924,,115.0116,114.7068,110.9533,,10.77,0.1,0.41,13.82,28.55,48.87,65.94,84.025,,85.45,80.57,83.92,74.17,69.6,4.37,,25.6,,57.51,,,,,,,,
KER-XE3S,,,,,-5.75,-9.0,,-7.5,-6.3333,-8.0,-6.6667,,,,-6.6667,-5.2667,-3.1667,-3.3333,-3.8333,-4.3333,-5.6667,,-10.1667,,-5.4,,,-5.588,-6.6333,-7.559,-6.3,-8.0,-5.6667,,-8.3333,-7.1667,-7.3667,,-6.2,-8.17,-5.1,-4.33,-12.17,-3.73,-4.0,-3.835,,-3.57,-5.67,-3.17,-4.5,,,,,,,,,,,,,,
KET-1,,,,,,,,,,,,,,,,,,-19.125,-14.158333333333333,-10.825,-7.3917,,,,-3.4917,,,4.0198,3.4102,5.2671806100045515,16.8214,30.2326,38.1574,,34.195,29.0134,28.7117,,1.9878,-19.75,-9.817235091418514,0.5343589677406607,11.553652281071336,15.816042874599976,17.929145806972084,20.695673460317096,20.8830701689328,22.700940284556992,20.36342421596577,19.76518120109905,19.24200572889583,18.12798286802639,-8.429738306636622,-1.2432210614736696,11.753329236232142,13.281388810839275,18.005104801628026,19.105295974924797,25.17723911355046,22.951855863307664,23.145696313759114,23.413409476891534,23.79657538925719,21.13719077988391,
KFF-XD6S,18.6791,,36.9883,85.8833,,,,,,,,,,,5.7,6.8666,22.7666,82.1333,,,,,,,,,,33.3533,84.0517,,,,,,,,,,31.7277,10.19,19.95,39.45,88.63,107.73,,,,,,,,28.48,,,,,,,,,,,,,
KFR-XE1S,43.5958,,52.2742,55.2375,59.17084912193443,59.7833,,60.65229038593908,60.7833,64.4167,58.2167,,,,,18.35,46.1167,56.0833,58.449999999999996,62.5167,63.05,60.0833,57.6833,,57.45,,,61.318,63.4516,63.35,66.398,66.1948,64.7724,,64.7724,63.1468,57.3533,,56.746,21.675,34.675,44.335,49.205,53.575,56.315,59.215,,59.465,57.235,58.145,55.205,53.275,,,,,,,,,,,,,
KFR-XE2S,2.3425,,4.7767,3.5067,5.65,5.8,,7.7,8.8333,8.2,8.7,,,,,-2.9667,2.9333,4.1333,6.5667,7.6333,7.3667,7.3333,7.2333,,7.2333,,,2.5048,2.4032,3.4192,2.4032,0.7776,1.0824,,-0.34,0.2696,-0.43,,-0.6448,-2.47,-1.25,-0.95,0.17,-0.95,-0.34,-0.5900000000000001,,-0.95,-1.05,0.0,-0.44,-0.95,,,,,,,,,,,,,
KFT-XD3S,38.9833,,,,,,,,,,,,,,,19.52,64.0867,,,,,,,,,,,63.0936,,,,,,,,,,,24.9936,87.93,48.61,,,,,,,,,59.89,,,,,,,,,,,,,,,
KHF-1,,,,63.7492,82.65,,,,76.7833,68.6733000696011,54.5167,,,,1.3284064412137395,8.38075374484724,31.350598596159664,56.62594518853804,65.63208695366667,65.05665315851121,65.04748660196664,,43.55,,36.2833,,,55.68176779273531,64.00076730715605,67.09700234699993,76.98053978248132,84.1763470652405,89.22881653799459,89.49866372394708,77.8140813346799,61.65950322963453,55.87746582056483,17.544726419854776,8.809686601595361,1.2,13.915000440340012,36.37950891515355,50.14402109182612,52.36208326186764,59.3269465053226,62.13806975848298,52.87551968287408,53.02222025439628,32.461857018487066,24.386714377385335,15.718445810815727,13.624251481052621,11.688273973593704,31.760733539237517,45.44926992560486,54.416053203848385,66.77838675977415,67.80064340806146,75.4043962933199,52.480312732389386,52.64034620486616,47.49071098683896,25.710115868345078,15.771161883720083,
KHF-XD4S,33.4242,,,,,,,,,,,,,,14.4417,14.7083,75.375,,,,,,,,,,,70.535,87.299,,,,,,,,,,21.0558,14.165,43.225,85.695,84.985,85.485,,,,,,,,85.995,,,,,,,,,,,,,
KHR-1,,,,,,,,,,,,,,,,,16.225,32.1583,36.4583,38.6583,46.3917,,17.025,,14.8917,,,35.6058,62.65061919768609,72.82933995751479,92.705,93.1114,93.6194,,92.5018,93.6194,,,11.2218,7.365,9.395,19.855,32.865,54.09647512969448,74.54668361481671,91.03539357715047,91.99758637761786,93.56193147664338,92.6032649513079,92.92498075542564,94.225,89.655,15.477233832373457,22.248084173304722,35.596738532185626,52.409805240915595,73.9415770522214,90.13565102955674,92.24219932038788,92.15371475100368,93.11218360432814,93.09866659921104,93.65263689143084,89.15443862221724,
KHR-XD1N,,,,,,,,,,,,,,,-11.0,-9.9,29.7667,41.7,,,47.0333,,,,46.6,,,54.132,51.3888,51.8968,52.9128,52.9128,53.116,,53.116,52.2016,50.9367,,43.8704,-5.555,17.805,32.645,40.975,46.255,48.695,50.47,,51.135,51.035,50.725,50.925,49.815,,,,,,,,,,,,,
KHR-XD1S,,,,,,,,,,,,,,,,,35.0167,,,,51.35,,,,49.45,,,51.9212,52.6324,53.3436,54.4612,54.766,55.0708,,54.766,53.5468,51.7867,,44.7076,,,,43.97,49.05,51.59,51.49,,51.08,50.17,,50.37,48.54,,,,,,,,,,,,,
KHR-XD2N,27.6075,,40.7308,54.8067,58.73415,58.9842,,60.2842,56.9842,55.1175,53.3508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHR-XE2N,54.7442,,60.0358,62.47,64.87335,65.0567,,65.89,65.1567,65.29,63.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHT-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.14390041253847,77.04852148091966,88.99444058697269,89.04302851381513,72.39136723114999,61.38159611148508,54.01362960219598,15.806343525730924,-2.454077217057321,-19.7125,-4.471074023958237,17.757076253109414,38.49341840669324,50.290185704437604,55.30801740284006,58.67964384345833,54.473613595117506,57.16337611759683,52.5341295426659,50.253497488958,45.87860449956037,41.580891754371905,-0.4296379192378197,11.409627515625756,34.5654206866109,47.12952200847646,54.15682081586204,55.28390307652334,60.20485224038045,49.03751228815236,48.398987877043886,46.72717659753571,42.10263303671995,33.29066005083646,
KHT-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1119,83.7687,86.5119,,88.3407,63.3471,55.7742,,-4.5217,-30.5625,-27.3625,-11.1225,13.3575,34.8975,44.1475,51.917500000000004,,53.0875,46.9875,47.1975,39.8775,31.5475,0.0,,16.7175,,43.2275,,,,,,,,
KHT-XD6N,27.03,,69.3633,96.3508,,,,,,,,,,,-1.9783,7.955,56.455,95.6217,,,,,,,,,,85.1001,76.816,141.2304,179.94,192.5384,192.8432,,193.7576,194.672,189.0367,,19.3104,1.02,26.73,63.3,94.09,121.32,146.51,182.78500000000003,,,189.49,188.88,,,50.2,,98.36,,134.93,,,,,,,,
KHT-XE4S,,,,47.1525,62.8042,63.3125,,68.23022019907859,65.6375,64.9375,41.9375,,,,-2.3625,-1.6625,3.0375,43.7708,54.8375,63.7042,62.8375,42.5708,35.2042,,31.6375,,,30.1063,55.2015,65.8695,65.8695,66.7839,,,67.3935,,54.4742,,4.5031,-1.56,0.67,13.27,41.31,65.29,68.14,68.64,,66.41,48.12,40.5,36.03,33.69,,,,,,,,,,,,,
KHT-XE5S,7.7433,,30.18,73.2542,90.80540718674047,90.5092,,92.6092,87.6758,86.2425,82.0758,,,,1.92330424312042,7.287684273936082,20.297338868187047,50.153231417519244,79.97520683045352,89.52446772027751,90.48689553360056,88.96370147328057,82.23033069306136,76.8373501008098,70.1425,,,65.56199410052659,86.10148017437182,91.78186785674201,94.1499707410945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHT-XE6S,4.5567,,23.9242,73.8775,,,,,,,,,,,-1.8566,-0.2233,4.5434,65.9434,87.4767,,,,,,,,,39.7583,80.0935,138.8183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWF-1,,,,54.6792,74.48695213349477,80.0,,82.54886260597175,78.7333,67.10068970953492,34.4667,,,,-3.0667,-0.8333,16.2,35.8,56.0,70.4333,73.6,45.0333,28.2,,21.8,,,10.9672,15.844,31.1856,75.28,76.296,77.7184,,76.1944,18.892,22.4367,,1.2136,-2.435,-0.705,0.505,0.205,1.425,2.035,3.965,,5.385,3.865,3.255,3.255,0.815,,,,,,,,,,,,,
KWF-2,,,60.43,82.1258,,,,,,,,,,,-1.345902412490929,2.854228714882314,5.131719360013569,26.202543985132312,51.81832249988435,62.09697614945401,70.41728073148104,46.45745283184759,14.977627445580728,8.687197787272158,9.1333,,,58.25600232464073,79.16916727714859,120.29693219356325,150.64843490994582,170.16881068071865,,,,,,,19.5312,,5.248681699789192,30.139433461543657,67.10890717039857,84.76,109.96,112.34194332859964,109.34612352584783,113.2050707613439,110.20707979307336,109.76301755212246,104.60816952929999,95.45607484661812,,,63.903570246427556,81.65489328206829,125.64028319735313,137.26689589948424,137.55181317600244,137.4614542306752,138.40040135718252,114.41980303941907,24.39224645005326,20.849805499582434,
KWF-XE8S,-2.2463,,5.9029,28.4454,,,,,,,,,,,,1.3512,15.6846,44.6512,,,,,,,,,,44.196,84.495,105.831,105.2214,,,,,,,,16.7278,-0.745,1.895,21.505,47.815,94.955,106.235,,,,,,,105.835,,,,,,,,,,,,,
KWR-1,,,,23.8242,31.08276605428251,32.1833,,36.85438329825311,37.67595973837582,36.483893105109125,37.14884578253426,36.42271048093103,36.307297868462626,,-8.7167,-8.05,5.1167,22.1833,24.2167,28.5833,30.25,29.5167,28.95,,30.15,,,,34.257,34.257,34.257,35.1714,34.0538,,34.8666,34.8666,33.4617,,16.5786,-9.995,-0.635,13.685,24.055,31.165,34.415,36.545,,36.855,36.245,36.245,35.125,34.715,2.208746318715011,9.77022542377048,22.601321740327954,28.081441231481175,32.35442423534981,33.55681945129274,35.50854977660857,34.28296457710653,36.1046994150812,35.221464419002004,34.962642621749886,33.06218017481674,
KWR-XE1N,,,,41.15,44.683350000000004,46.0833,,47.85,48.75,49.55,49.2833,,,,,-6.85,22.1167,38.0167,41.5833,44.8167,46.05,45.4833,45.7167,,46.6167,,,46.9892,50.342,50.7484,51.7644,51.6628,52.0692,,51.4596,50.4436,48.2867,,37.9468,,16.51,31.34,40.18,44.96,47.8,48.870000000000005,,49.83,49.83,49.43,48.21,44.75,,,,,,,,,,,,,
KWT-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.28576239060566,45.06338221377045,51.425173788656416,54.13676987472195,59.36947623038768,49.98996329799197,50.67501386502199,50.354862798886174,46.94815735803047,43.51080858721921,
LET-1,,,,,,,,,,,,,,,,,32.8292,54.8292,67.0625,81.1625,89.7958,64.6625,52.1958,43.9958,,,32.9281,45.2217,61.4777,78.0385,108.5185,108.5185,110.0425,,110.0425,110.3473,110.3473,,17.8913,3.5625,22.91148265684897,39.09258830249605,53.122152733977245,73.12834707941956,92.39887403514233,106.31287350207016,105.28062912199982,106.1896859649537,89.98062455777456,75.6497308795922,62.43857655351594,53.07273065390547,,,,,,,,,,,,,
LHT-1,,,,,,,,,,,,,,,,,38.7333,59.5,72.0333,84.7,89.1,,61.5333,99.10016271426308,92.88498867166113,,38.0296,51.7456,68.3064,84.664,93.4016,92.5888,98.0752,,94.1128,94.4176,98.6848,,16.592,6.8425,29.369865495487165,47.97534071129339,63.48522172113364,80.61036472667116,91.45071499973407,95.05742866313814,94.56230759889011,99.1984241054952,93.06798671429912,89.4197462150483,85.1547004872174,66.97469798061356,,,,,,,,,,,,,
LWT-1,,,,,,,,,,,,,,,,,28.3958,51.6625,62.5958,73.0292,78.3958,55.5292,48.9958,46.4292,,,37.6113,47.4665,60.1665,64.2305,71.1393,76.3209,79.9785,,81.5025,77.8449,47.3649,,28.1625,11.9025,28.43766353067912,41.84072422691726,53.85447622865341,68.08114834103404,70.65920301869764,73.04978822924373,72.0301350986491,73.31791106382795,71.99598417178815,67.37083713411063,56.41330499396293,49.879682199622295,,,,,,,,,,,,,
