well_id,2018_141,2018_154,2018_167,2018_180,2018_193,2018_206,2018_219,2018_232,2018_245,2018_258,2018_271,2018_284,2018_297,2018_310,2018_323,2019_141,2019_154,2019_167,2019_180,2019_193,2019_206,2019_219,2019_232,2019_245,2019_258,2019_271,2019_284,2019_297,2019_310,2019_323,2021_141,2021_154,2021_167,2021_180,2021_193,2021_206,2021_219,2021_232,2021_245,2021_258,2021_271,2021_284,2021_297,2021_310,2021_323,2024_141,2024_154,2024_167,2024_180,2024_193,2024_206,2024_219,2024_232,2024_245,2024_258,2024_271,2024_284,2024_297,2024_310,2024_323,2025_141,2025_154,2025_167,2025_180,2025_193,2025_206,2025_219,2025_232,2025_245,2025_258,2025_271,2025_284,2025_297,2025_310,2025_323
EWR-XB3N,,,,,37.8,36.6667,,,,,,,,,,,,,,28.3,33.1333,,,34.2,,,,21.5667,,,23.5568,31.888,35.2408,36.0536,,66.7368,68.1592,62.4696,66.5336,,44.8928,35.8367,,,30.872,11.995,18.895,28.145,32.615,39.525,47.145,45.625,47.755,40.745,,29.775,28.555,23.375,20.015,,,,,,,,,,,,,,,,
EWR-XB4N,,,,,36.0333,36.5,,,,,,,,,,,,,,26.6333,36.7667,,,36.2,,,,25.6,,,25.8944,34.4288,38.188,39.6104,,44.792,49.5672,47.2304,50.2784,,55.46,40.6367,,,11.1624,2.87,16.89,30.61,37.72,41.78,43.41,43.71,44.93,43.21,,39.45,37.92,33.35,28.47,,,,,,,,,,,,,,,,
EWT-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.42210278051851,120.69292973662687,125.40646639944212,125.24274262049451,122.89979893497296,116.31088475576072,117.1722131849257,114.66280186112539,91.1912041472815,73.4900113812348,68.76,
KEF-1,,,,7.2333,7.835596204050827,6.208227824613992,4.3667,4.4288969681333255,5.9429502721767244,6.9105527583099295,5.979431386031013,5.492850148587495,3.6269585082867426,3.504509879133565,4.642134285203414,,1.6990047971266382,2.377138956080544,3.816176404496079,5.838128931827773,6.707559033957712,7.334855009035284,7.355319243081656,7.161793641122729,7.139111227172193,7.133063014970518,6.306124931119816,6.550281826540886,,,,3.263466773839162,2.8014509402474608,3.535832397167265,3.5057003008695764,3.2587211328589825,4.817325373081997,6.6680351298784055,6.751101568352255,5.003671101372926,4.5218919154308,4.873144344032054,2.4842584121962825,0.6723176792666481,0.243827362994528,5.41,7.26851999724352,7.930017070768585,9.652025421239328,14.505582546640532,16.553841452049884,17.166875989142696,16.245542522180493,12.675628049073408,13.5941796830793,12.259957581806484,10.863302022871084,11.323778606523767,11.852466486415908,,8.738635027046415,9.141114303492195,12.056293011935349,14.866809095185035,17.799163079835317,16.571446983400314,16.243721764539266,16.596470587449637,15.367527575678746,15.653134421368934,14.210119465058968,14.32747833238555,11.441351296690453,11.53007054207742,
KER-1,,,20.5067,39.345,65.82906220004148,71.30889759301812,75.125,,,,,,,,,,-4.6,2.325,11.3583,,13.9583,15.0917,26.025,43.825,27.3917,,20.4917,18.4917,,,,27.201,74.445,74.7498,,74.8514,,,,,,,,,21.613,0.585,5.965,13.685,33.805,65.505,74.245,,,,,,,,,,,10.324130943136222,21.69242865064387,41.31305112367617,68.65075880264415,74.28494480403138,73.62561117552046,71.71526985763835,71.70001012357343,72.72394151669275,72.84381289419247,75.10666171720503,74.46685249236567,74.93346485763719,
KER-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.68195831833004,47.142793114536694,49.40800234642781,51.470411994728885,52.18230877861613,49.35953042649905,51.79305730214092,49.917725995041444,48.22898310466158,45.43625589484702,47.02559647196922,
KER-XD5N,,,,,,,,,,,,,,,,,-0.55,-0.7167,7.85,,25.05,,,42.9833,,,,12.7167,,,,21.1332,41.8596,67.158,,85.446,91.542,113.7924,115.0116,,114.7068,110.9533,,,10.77,0.1,0.41,13.82,28.55,48.87,65.94,82.6,85.45,85.45,,80.57,83.92,74.17,69.6,,,4.37,,25.6,57.51,,,,,,,,,,
KER-XE3S,,,,,-5.5,-6.0,-9.0,-7.5,,-6.3333,-8.0,-6.6667,,,-6.3333,,-6.6667,-5.2667,-3.1667,,-3.3333,-3.8333,-4.3333,-5.6667,,,-10.1667,-5.4,,,,-5.588,-6.6333,-7.559,,-6.3,-8.0,-5.6667,-8.3333,,-7.1667,-7.3667,,,-6.2,-8.17,-5.1,-4.33,-12.17,-3.73,-4.0,-4.5,-3.17,-3.57,,-5.67,-3.17,-4.5,,,,,,,,,,,,,,,,,
KET-1,,,,,,,,,,,,,,,,,,,,,-19.125,-14.158333333333333,-10.825,-7.3917,,,,-3.4917,,,,4.0198,3.4102,5.2671806100045515,,16.8214,30.2326,38.1574,34.195,,29.0134,28.7117,,,1.9878,-19.75,-11.685573581124515,-5.487752906791987,7.88077733284211,12.567103459561727,16.602197505708336,18.411276020688984,21.171687011428137,20.887267676506397,22.775627998753684,20.36397993752184,19.606056160328414,19.44818586220907,18.525048500626273,,-11.537071515292707,-5.657968253582629,6.6685864690661605,13.547583366547887,14.854968170444455,18.32525059455249,20.260864919149206,25.365448534925616,22.75411553751237,23.222095924016934,23.33111930714826,23.811198691977953,21.52934274112139,21.854487861470282,
KFF-XD6S,,18.6791,36.9883,85.8833,,,,,,,,,,,17.7,,5.7,6.8666,22.7666,,82.1333,,,,,,,,,,,33.3533,84.0517,,,,,,,,,,,,31.7277,10.19,19.95,39.45,88.63,107.73,,,,,,,,,28.48,,,,,,,,,,,,,,,,
