well_id,2018_146,2018_161,2018_176,2018_191,2018_206,2018_221,2018_236,2018_251,2018_266,2018_281,2018_296,2018_311,2019_146,2019_161,2019_176,2019_191,2019_206,2019_221,2019_236,2019_251,2019_266,2019_281,2019_296,2019_311,2021_146,2021_161,2021_176,2021_191,2021_206,2021_221,2021_236,2021_251,2021_266,2021_281,2021_296,2021_311,2024_146,2024_161,2024_176,2024_191,2024_206,2024_221,2024_236,2024_251,2024_266,2024_281,2024_296,2024_311,2025_146,2025_161,2025_176,2025_191,2025_206,2025_221,2025_236,2025_251,2025_266,2025_281,2025_296,2025_311
EWR-XB4N,,,,36.0333,36.5,,,,,,,,,,,26.6333,36.7667,,,36.2,,,25.6,,25.8944,34.4288,38.188,39.6104,44.792,49.5672,47.2304,50.2784,55.46,40.6367,,11.1624,9.88,30.61,37.72,41.78,43.41,43.71,44.93,43.21,39.45,37.92,33.35,28.47,,,,,,,,,,,,
EWT-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6417298,118.6415641,125.406514,124.9386836,120.3995018,116.7398519,116.5158497,97.95221698,74.52252575,68.76
KEF-1,,,7.2333,7.835596204,6.208227825,4.3667,5.500949564,6.509944801,6.166049981,5.968669265,3.604456416,3.505907767,,1.95266563,3.407468597,5.393670123,6.753304823,7.213943555,7.428523887,6.994614734,7.345339767,6.564930647,6.185493543,,,2.735121377,3.5016599,3.513897679,3.191281178,4.978077758,7.252273501,5.672870364,4.893474591,4.707605248,2.761206437,0.615185637,5.41,7.36172099,9.019884968,13.95950613,16.47855689,17.06529495,14.79007253,13.17547786,13.01588607,10.96652763,11.25727637,11.85246649,8.749680626,10.32345864,13.87662756,17.82112675,16.58317309,16.47860372,15.97850749,15.58909347,15.20179613,14.08710496,11.59791218,11.53007054
KER-1,,,29.92585,65.8290622,71.30889759,75.125,,,,,,,,-1.1375,,11.3583,13.9583,15.0917,26.025,43.825,27.3917,20.4917,18.4917,,,27.201,74.445,74.7498,74.8514,,,,,,,21.613,0.585,9.825,33.805,65.505,74.245,,,,,,,,9.474810917,14.77835889,34.25955902,64.88773298,74.35440907,73.28405507,71.49018549,72.35706796,72.60572788,74.77865925,74.4251975,74.93346486
KER-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.28411044,46.36339402,49.40390479,51.97394595,50.60154941,50.60762213,52.01363796,48.24959305,45.14878966,47.02559647
KER-XD5N,,,,,,,,,,,,,,-0.63335,,7.85,25.05,,,42.9833,,,12.7167,,,21.1332,41.8596,67.158,85.446,91.542,113.7924,115.0116,114.7068,110.9533,,10.77,0.1,7.115,28.55,48.87,65.94,82.6,85.45,85.45,80.57,83.92,74.17,69.6,4.37,,25.6,57.51,,,,,,,,
KER-XE3S,,,,-5.5,-6,-9,-7.5,,-6.3333,-7.33335,,,,-5.9667,,-3.1667,-3.3333,-3.8333,-4.3333,-5.6667,,-10.1667,-5.4,,,-5.588,-6.6333,-7.559,-6.3,-8,-5.6667,-8.3333,-7.1667,-7.3667,,-6.2,-8.17,-4.715,-12.17,-3.73,-4,-4.5,-3.17,-3.57,-5.67,-3.17,-4.5,,,,,,,,,,,,,
KET-1,,,,,,,,,,,,,,,,,-19.125,-14.15833333,-10.825,-7.3917,,,-3.4917,,,4.0198,3.4102,5.26718061,16.8214,30.2326,38.1574,34.195,29.0134,28.7117,,1.9878,-19.75,-9.330464182,3.602639337,12.17260543,16.62909676,18.89534781,21.0201696,21.6942807,21.7865975,19.6050239,19.44135419,18.5250485,-8.078269303,0.396665658,12.57195191,14.4845985,18.09452822,21.43488331,24.48859626,23.05653436,22.92484995,24.13116812,21.69453649,21.85448786
KFF-XD6S,18.6791,,61.4358,,,,,,,,,,,6.2833,,22.7666,82.1333,,,,,,,,,33.3533,84.0517,,,,,,,,,31.7277,10.19,29.7,88.63,107.73,,,,,,,,28.48,,,,,,,,,,,,
KFR-XE1S,43.5958,,53.75585,58.8833,59.31462368,59.7833,60.65229039,,60.7833,61.3167,,,,18.35,,46.1167,56.0833,58.45,62.5167,63.05,60.0833,57.6833,57.45,,,61.318,63.4516,63.35,66.398,66.1948,64.7724,64.7724,63.1468,57.3533,,56.746,21.675,39.505,49.205,53.575,56.315,58.755,59.675,59.465,57.235,58.145,55.205,53.275,,,,,,,,,,,,
