"Well.Name","Date","water.relative.to.ground"
"EHR-1",2018-07-16,-63.0904487143678
"EHR-1",2018-07-25,-62.7571153810345
"EHR-1",2018-08-10,-66.1904487143678
"EHR-1",2018-08-24,-62.8237820477012
"EHR-1",2018-09-16,-54.7571153810345
"EHR-1",2018-09-29,-54.1571153810345
"EHR-1",2018-11-18,-38.0904487143678
"EHR-1",2019-06-02,-4.12378204770115
"EHR-1",2019-06-18,-5.49044871436782
"EHR-1",2019-07-06,-33.0904487143678
"EHR-1",2019-07-26,-50.8237820477012
"EHR-1",2019-08-05,-57.7904487143678
"EHR-1",2019-08-20,-59.5904487143678
"EHR-1",2019-09-03,-59.4571153810345
"EHR-1",2019-09-21,-47.1237820477012
"EHR-1",2019-10-05,-38.6904487143678
"EHR-1",2019-10-20,-36.7237820477011
"EHR-XB1N",2018-07-16,-62.85
"EHR-XB1N",2018-07-25,-61.2833333333333
"EHR-XB1N",2019-07-06,-48.05
"EHR-XB1N",2019-07-26,-56.45
"EHR-XB1N",2019-10-20,-43.8833333333333
"EHT-XA5S",2018-06-01,4.05606060412281
"EHT-XA5S",2018-06-18,-32.7739393958772
"EHT-XA5S",2018-06-30,-64.3122727292105
"EHT-XA5S",2018-07-16,-102.193106062544
"EHT-XA5S",2018-07-25,NA
"EHT-XA5S",2018-08-10,NA
"EHT-XA5S",2018-08-24,NA
"EHT-XA5S",2018-09-16,NA
"EHT-XA5S",2018-09-29,NA
"EHT-XA5S",2018-11-18,-19.4597727292105
"EHT-XA5S",2019-06-02,5.07356060412281
"EHT-XA5S",2019-06-18,2.27356060412281
"EHT-XA5S",2019-07-06,-52.0597727292105
"EHT-XA5S",2019-07-26,-88.5264393958772
"EHT-XA5S",2019-09-03,NA
"EHT-XA5S",2019-09-21,NA
"EHT-XA5S",2019-10-05,NA
"EHT-XA5S",2019-10-20,-39.9597727292105
"EHT-XB4S",2018-07-16,-36.2
"EHT-XB4S",2019-07-06,-23.1333333333333
"EHT-XB4S",2019-07-26,NA
"EHT-XB4S",2019-08-20,NA
"EHT-XB4S",2019-10-20,-21.8
"EHT-XB5S",2018-06-01,-12.3737820492754
"EHT-XB5S",2018-06-18,-57.5646153826087
"EHT-XB5S",2018-06-30,-83.070448715942
"EHT-XB5S",2018-07-16,-102.927115382609
"EHT-XB5S",2018-07-25,-117.827115382609
"EHT-XB5S",2018-08-10,NA
"EHT-XB5S",2018-08-24,NA
"EHT-XB5S",2018-09-16,NA
"EHT-XB5S",2018-09-29,NA
"EHT-XB5S",2018-11-18,-36.9937820492754
"EHT-XB5S",2019-06-02,NA
"EHT-XC6S",2018-06-01,NA
"EHT-XC6S",2018-06-18,NA
"EWF-XA2S",2018-06-01,-7.63750000000001
"EWF-XA2S",2018-06-18,-17.1625
"EWF-XA2S",2018-06-30,-37.2708333333333
"EWF-XA2S",2018-07-16,-49.2691666666667
"EWF-XA2S",2018-07-25,NA
"EWF-XA2S",2018-08-10,NA
"EWF-XA2S",2018-08-24,NA
"EWF-XA2S",2018-09-16,NA
"EWF-XA2S",2018-09-29,NA
"EWF-XA2S",2018-11-18,-29.4358333333333
"EWF-XA2S",2019-06-02,NA
"EWF-XA2S",2019-06-18,-14.4025
"EWF-XA2S",2019-07-06,-18.6358333333333
"EWF-XA2S",2019-07-26,-44.2025
"EWF-XA2S",2019-08-05,NA
"EWF-XA2S",2019-09-21,NA
"EWF-XA2S",2019-10-05,-41.7691666666667
"EWF-XA2S",2019-10-21,-31.9025
"EWR-1",2018-06-01,-1.8385
"EWR-1",2018-06-18,-7.65933333333333
"EWR-1",2018-06-30,-15.1735
"EWR-1",2018-07-16,-16.2793333333333
"EWR-1",2018-07-25,-17.7793333333333
"EWR-1",2018-08-10,-21.2793333333333
"EWR-1",2018-08-24,-19.946
"EWR-1",2018-09-16,-18.8793333333333
"EWR-1",2018-09-29,-16.446
"EWR-1",2018-11-18,-11.8793333333333
"EWR-1",2019-06-02,17.7206666666667
"EWR-1",2019-06-18,10.7873333333333
"EWR-1",2019-07-06,5.054
"EWR-1",2019-07-26,-14.546
"EWR-1",2019-08-05,-17.1126666666667
"EWR-1",2019-08-20,-18.446
"EWR-1",2019-09-03,-18.346
"EWR-1",2019-09-21,-15.1126666666667
"EWR-1",2019-10-05,-13.0793333333333
"EWR-1",2019-10-20,-10.446
"EWR-XB4N",2018-07-16,-33.0333333333333
"EWR-XB4N",2018-07-25,-33.5
"EWR-XB4N",2019-07-06,-23.6333333333333
"EWR-XB4N",2019-07-26,-33.7666666666667
"EWR-XB4N",2019-09-03,-33.2
"EWR-XB4N",2019-10-20,-22.6
"EWT-1",2018-06-01,-32.6988333333333
"EWT-1",2018-06-18,-71.7725
"EWT-1",2018-06-30,-88.2825
"EWT-1",2018-07-16,-91.0183333333333
"EWT-1",2018-07-25,-91.185
"EWT-1",2018-08-10,-91.6516666666667
"EWT-1",2018-08-24,NA
"EWT-1",2018-09-16,NA
"EWT-1",2018-09-29,NA
"EWT-1",2018-11-18,-45.5516666666667
"EWT-1",2019-06-02,35.2483333333333
"EWT-1",2019-06-18,NA
"EWT-1",2019-07-06,-73.76
"EWT-1",2019-07-26,-88.385
"EWT-1",2019-08-05,-90.5516666666667
"EWT-1",2019-08-20,NA
"EWT-1",2019-09-21,-70.9516666666667
"EWT-1",2019-10-05,-56.785
"EWT-1",2019-10-20,-50.6516666666667
"KEF-1",2018-07-01,-4.23333333333334
"KEF-1",2018-07-17,-4.83333333333334
"KEF-1",2018-07-27,-3.56666666666667
"KEF-1",2018-08-10,-1.36666666666667
"KEF-1",2018-08-25,-1.6
"KEF-1",2018-09-16,-5.96666666666667
"KEF-1",2018-10-01,-2.56666666666667
"KEF-1",2018-10-14,-2.36666666666667
"KEF-1",2018-11-18,NA
"KEF-1",2019-06-03,-0.333333333333336
"KEF-1",2019-06-17,-14.2
"KEF-1",2019-07-05,0.499999999999995
"KEF-1",2019-07-26,-4.7
"KEF-1",2019-09-02,-6.46666666666667
"KEF-1",2019-10-20,-3.63333333333334
"KER-1",2018-06-19,-16.1816666666667
"KER-1",2018-07-01,-35.02
"KER-1",2018-07-17,-62.1
"KER-1",2018-07-27,-68.1
"KER-1",2018-08-10,-70.8
"KER-1",2018-08-25,NA
"KER-1",2018-09-16,NA
"KER-1",2018-10-01,NA
"KER-1",2018-10-14,NA
"KER-1",2018-11-18,NA
"KER-1",2019-06-03,NA
"KER-1",2019-06-17,2
"KER-1",2019-07-05,-7.03333333333333
"KER-1",2019-07-26,-9.63333333333333
"KER-1",2019-08-04,-10.7666666666667
"KER-1",2019-08-20,-21.7
"KER-1",2019-09-02,-39.5
"KER-1",2019-09-21,-23.0666666666667
"KER-1",2019-10-05,-16.1666666666667
"KER-1",2019-10-20,-14.1666666666667
"KER-XD5N",2019-06-03,NA
"KER-XD5N",2019-06-17,NA
"KER-XD5N",2019-07-05,NA
"KER-XD5N",2019-07-26,NA
"KER-XD5N",2019-09-02,NA
"KER-XD5N",2019-10-20,NA
"KER-XE3S",2018-07-17,NA
"KER-XE3S",2018-07-27,NA
"KER-XE3S",2018-08-10,NA
"KER-XE3S",2018-08-25,NA
"KER-XE3S",2018-09-16,NA
"KER-XE3S",2018-10-01,NA
"KER-XE3S",2018-10-14,NA
"KER-XE3S",2018-11-18,NA
"KER-XE3S",2019-06-03,NA
"KER-XE3S",2019-06-17,NA
"KER-XE3S",2019-07-05,NA
"KER-XE3S",2019-07-26,NA
"KER-XE3S",2019-08-04,NA
"KER-XE3S",2019-08-20,NA
"KER-XE3S",2019-09-02,NA
"KER-XE3S",2019-10-05,NA
"KER-XE3S",2019-10-20,NA
"KET-1",2019-07-26,NA
"KET-1",2019-08-04,NA
"KET-1",2019-08-05,NA
"KET-1",2019-08-06,NA
"KET-1",2019-08-20,NA
"KET-1",2019-09-02,NA
"KET-1",2019-10-20,NA
"KFF-XD6S",2018-06-01,-15.5458333333333
"KFF-XD6S",2018-06-19,-33.855
"KFF-XD6S",2018-07-01,-82.75
"KFF-XD6S",2018-07-17,NA
"KFF-XD6S",2018-07-27,NA
"KFF-XD6S",2018-08-10,NA
"KFF-XD6S",2018-10-01,NA
"KFF-XD6S",2018-11-18,-14.5666666666667
"KFF-XD6S",2019-06-03,-5.56666666666667
"KFF-XD6S",2019-06-17,-3.73333333333333
"KFF-XD6S",2019-07-05,-19.6333333333333
"KFF-XD6S",2019-07-26,-79
"KFF-XD6S",2019-08-04,NA
"KFF-XD6S",2019-08-20,NA
"KFF-XE8S",2018-06-01,5.22208333333333
"KFF-XE8S",2018-06-19,-2.92708333333333
"KFF-XE8S",2018-07-01,-25.4695833333333
"KFF-XE8S",2018-07-17,NA
"KFF-XE8S",2018-07-27,NA
"KFF-XE8S",2018-08-10,NA
"KFF-XE8S",2018-11-18,-24.30875
"KFF-XE8S",2019-06-17,1.62458333333333
"KFF-XE8S",2019-07-05,-12.70875
"KFF-XE8S",2019-07-26,-41.6754166666667
"KFF-XE8S",2019-08-04,NA
"KFF-XE8S",2019-09-21,NA
"KFR-XE1S",2018-06-01,-40.5958333333333
"KFR-XE1S",2018-06-19,-49.2741666666667
"KFR-XE1S",2018-07-01,-52.2375
"KFR-XE1S",2018-07-17,-55.8833333333333
"KFR-XE1S",2018-07-27,-56.85
"KFR-XE1S",2018-08-10,-56.7833333333333
"KFR-XE1S",2018-08-25,-57.85
"KFR-XE1S",2018-09-16,-57.7833333333333
"KFR-XE1S",2018-10-01,-61.4166666666667
"KFR-XE1S",2018-10-14,-55.2166666666667
"KFR-XE1S",2018-11-18,-53.85
"KFR-XE1S",2019-06-17,-15.35
"KFR-XE1S",2019-07-05,-43.1166666666667
"KFR-XE1S",2019-07-26,-53.0833333333333
"KFR-XE1S",2019-08-04,-55.85
"KFR-XE1S",2019-08-05,-55.65
"KFR-XE1S",2019-08-06,-54.85
"KFR-XE1S",2019-08-20,-59.5166666666667
"KFR-XE1S",2019-09-02,-60.05
"KFR-XE1S",2019-09-21,-57.0833333333333
"KFR-XE1S",2019-10-05,-54.6833333333333
"KFR-XE1S",2019-10-20,-54.45
"KFR-XE2S",2018-06-01,0.0549999999999973
"KFR-XE2S",2018-06-19,-2.37916666666667
"KFR-XE2S",2018-07-01,-1.10916666666667
"KFR-XE2S",2018-07-17,-2.8025
"KFR-XE2S",2018-07-27,-3.7025
"KFR-XE2S",2018-08-10,-3.4025
"KFR-XE2S",2018-08-25,-5.30250000000001
"KFR-XE2S",2018-09-16,-6.43583333333334
"KFR-XE2S",2018-10-01,-5.8025
"KFR-XE2S",2018-10-14,-6.3025
"KFR-XE2S",2018-11-18,-5.86916666666667
"KFR-XE2S",2019-06-17,5.36416666666666
"KFR-XE2S",2019-07-05,-0.535833333333336
"KFR-XE2S",2019-07-26,-1.73583333333333
"KFR-XE2S",2019-08-04,-4.16916666666667
"KFR-XE2S",2019-08-20,-5.23583333333334
"KFR-XE2S",2019-09-02,-4.96916666666667
"KFR-XE2S",2019-09-21,-4.93583333333334
"KFR-XE2S",2019-10-05,-4.83583333333334
"KFR-XE2S",2019-10-20,-4.83583333333333
"KHF-1",2018-07-01,-60.8491666666667
"KHF-1",2018-07-17,-79.75
"KHF-1",2018-07-27,NA
"KHF-1",2018-08-10,NA
"KHF-1",2018-08-25,NA
"KHF-1",2018-09-16,-73.8833333333333
"KHF-1",2018-10-01,-65.8833333333333
"KHF-1",2018-10-14,-51.6166666666667
"KHF-1",2018-11-18,-26.5833333333333
"KHF-1",2019-06-03,-0.849999999999999
"KHF-1",2019-06-17,19.95
"KHF-1",2019-07-05,-15.25
"KHF-1",2019-07-26,-61.75
"KHF-1",2019-10-05,-40.65
"KHF-1",2019-10-20,-33.3833333333333
"KHF-XD4S",2018-06-01,NA
"KHF-XD4S",2018-07-01,NA
"KHF-XD4S",2018-07-27,NA
"KHF-XD4S",2018-08-10,NA
"KHF-XD4S",2018-10-01,NA
"KHF-XD4S",2019-06-03,NA
"KHF-XD4S",2019-06-17,NA
"KHF-XD4S",2019-07-05,NA
"KHF-XD4S",2019-07-26,NA
"KHF-XD4S",2019-08-04,NA
"KHF-XE7S",2019-09-21,NA
"KHF-XE7S",2019-10-05,NA
"KHR-1",2019-07-05,NA
"KHR-1",2019-08-04,NA
"KHR-1",2019-08-20,NA
"KHR-1",2019-09-02,NA
"KHR-XD1N",2019-06-03,NA
"KHR-XD1N",2019-06-17,NA
"KHR-XD1N",2019-07-05,NA
"KHR-XD1N",2019-07-26,NA
"KHR-XD1N",2019-09-02,NA
"KHR-XD1N",2019-10-20,NA
"KHR-XD2N",2018-06-01,-24.6075
"KHR-XD2N",2018-06-19,-37.7308333333333
"KHR-XD2N",2018-07-01,-51.8066666666667
"KHR-XD2N",2018-07-17,-56.4175
"KHR-XD2N",2018-07-27,-55.0508333333333
"KHR-XD2N",2018-08-10,-55.9841666666667
"KHR-XD2N",2018-08-25,-57.2841666666667
"KHR-XD2N",2018-09-16,-53.9841666666667
"KHR-XD2N",2018-10-01,-52.1175
"KHR-XD2N",2018-10-14,-50.3508333333333
"KHR-XD2N",2018-11-18,-43.6508333333333
"KHR-XD2N",2019-06-03,NA
"KHR-XD2N",2019-09-03,20.3825
"KHR-XD2N",2019-09-04,20.5825
"KHR-XD2N",2019-09-05,20.3825
"KHR-XE2N",2018-06-01,-51.7441666666667
"KHR-XE2N",2018-06-19,-57.0358333333333
"KHR-XE2N",2018-07-01,-59.47
"KHR-XE2N",2018-07-17,-61.69
"KHR-XE2N",2018-07-27,-62.0566666666667
"KHR-XE2N",2018-08-10,-62.0566666666667
"KHR-XE2N",2018-08-25,-62.89
"KHR-XE2N",2018-09-16,-62.1566666666667
"KHR-XE2N",2018-10-01,-62.29
"KHR-XE2N",2018-10-14,-60.59
"KHR-XE2N",2018-11-18,-58.0566666666667
"KHT-XD3S",2018-06-01,-35.9833333333333
"KHT-XD3S",2018-10-01,NA
"KHT-XD3S",2018-11-18,NA
"KHT-XD3S",2019-06-03,NA
"KHT-XD3S",2019-06-17,-16.52
"KHT-XD3S",2019-07-05,-61.0866666666667
"KHT-XD3S",2019-07-26,NA
"KHT-XD3S",2019-08-05,NA
"KHT-XD6N",2018-06-01,-24.4933333333333
"KHT-XD6N",2018-06-19,-66.8266666666667
"KHT-XD6N",2018-07-01,-93.8141666666667
"KHT-XD6N",2018-07-17,NA
"KHT-XD6N",2018-07-27,NA
"KHT-XD6N",2018-08-10,NA
"KHT-XD6N",2018-08-25,NA
"KHT-XD6N",2018-09-16,NA
"KHT-XD6N",2018-10-01,NA
"KHT-XD6N",2018-10-01,NA
"KHT-XD6N",2018-11-18,NA
"KHT-XD6N",2019-06-03,1.515
"KHT-XD6N",2019-06-17,-5.41833333333333
"KHT-XD6N",2019-07-05,-53.9183333333333
"KHT-XD6N",2019-07-26,-93.085
"KHT-XD6N",2019-08-04,NA
"KHT-XD6N",2019-09-21,NA
"KHT-XE4S",2018-07-01,-45.515
"KHT-XE4S",2018-07-17,-60.2666666666667
"KHT-XE4S",2018-07-27,-62.0666666666667
"KHT-XE4S",2018-08-10,-61.675
"KHT-XE4S",2018-08-25,-66.7
"KHT-XE4S",2018-09-16,-64
"KHT-XE4S",2018-10-01,-63.3
"KHT-XE4S",2018-10-14,-40.3
"KHT-XE4S",2018-11-18,-24.6666666666667
"KHT-XE4S",2019-06-03,1
"KHT-XE4S",2019-06-17,3.3
"KHT-XE4S",2019-07-05,-1.4
"KHT-XE4S",2019-07-26,-42.1333333333333
"KHT-XE4S",2019-08-04,-53.2
"KHT-XE4S",2019-08-20,-62.0666666666667
"KHT-XE4S",2019-09-02,-61.2
"KHT-XE4S",2019-09-21,-40.9333333333333
"KHT-XE4S",2019-10-05,-33.5666666666667
"KHT-XE4S",2019-10-20,-30
"KHT-XE5S",2018-06-01,-4.74333333333333
"KHT-XE5S",2018-06-19,-27.18
"KHT-XE5S",2018-07-01,-70.2541666666667
"KHT-XE5S",2018-07-17,-88.0758333333333
"KHT-XE5S",2018-07-27,-87.9758333333333
"KHT-XE5S",2018-08-10,-87.5091666666667
"KHT-XE5S",2018-08-25,-89.6091666666667
"KHT-XE5S",2018-09-16,-84.6758333333333
"KHT-XE5S",2018-10-01,-83.2425
"KHT-XE5S",2018-10-14,-79.0758333333333
"KHT-XE5S",2018-11-18,-44.2758333333333
"KHT-XE5S",2019-06-03,-1.57583333333333
"KHT-XE5S",2019-06-17,0.390833333333336
"KHT-XE5S",2019-07-05,-13.6758333333333
"KHT-XE5S",2019-07-26,-64.7091666666667
"KHT-XE5S",2019-09-02,-87.9091666666667
"KHT-XE5S",2019-10-20,-67.1425
"KHT-XE6S",2018-06-01,-1.95
"KHT-XE6S",2018-06-19,-21.3175
"KHT-XE6S",2018-07-01,-71.2708333333333
"KHT-XE6S",2018-07-17,NA
"KHT-XE6S",2018-07-27,NA
"KHT-XE6S",2018-08-10,NA
"KHT-XE6S",2018-09-16,NA
"KHT-XE6S",2018-10-01,NA
"KHT-XE6S",2018-10-14,NA
"KHT-XE6S",2019-06-03,1.46333333333333
"KHT-XE6S",2019-06-17,2.83
"KHT-XE6S",2019-07-05,-1.93666666666667
"KHT-XE6S",2019-07-26,-63.3366666666667
"KHT-XE6S",2019-08-04,-84.87
"KHT-XE6S",2019-08-20,NA
"KHT-XE6S",2019-09-02,NA
"KHT-XE6S",2019-09-21,NA
"KHT-XE6S",2019-10-05,NA
"KRH-XD1S",2019-07-05,NA
"KRH-XD1S",2019-07-26,NA
"KRH-XD1S",2019-09-02,NA
"KRH-XD1S",2019-10-20,NA
"KWF-1",2018-07-01,-51.6791666666667
"KWF-1",2018-07-17,-71.1333333333333
"KWF-1",2018-07-27,-72.3
"KWF-1",2018-08-10,-77
"KWF-1",2018-08-25,-79.7666666666667
"KWF-1",2018-09-16,-75.7333333333333
"KWF-1",2018-10-01,-64
"KWF-1",2018-10-14,-31.4666666666667
"KWF-1",2018-11-18,-25.3666666666667
"KWF-1",2019-06-03,3.06666666666667
"KWF-1",2019-06-17,3.83333333333333
"KWF-1",2019-07-05,-21.8333333333333
"KWF-1",2019-07-26,-32.8
"KWF-1",2019-08-04,-53
"KWF-1",2019-08-20,-67.4333333333333
"KWF-1",2019-09-02,-70.6
"KWF-1",2019-09-21,-42.0333333333333
"KWF-1",2019-10-05,-25.2
"KWF-1",2019-10-20,-18.8
"KWR-1",2018-07-01,-20.8241666666667
"KWR-1",2018-07-17,-27.4166666666667
"KWR-1",2018-07-27,-29.35
"KWR-1",2018-08-10,-29.1833333333333
"KWR-1",2018-08-25,-30.9166666666667
"KWR-1",2018-09-16,-32.75
"KWR-1",2018-10-01,-29.1166666666667
"KWR-1",2018-11-18,-33.2833333333333
"KWR-1",2019-06-03,8.71666666666666
"KWR-1",2019-06-17,8.05
"KWR-1",2019-07-05,-2.11666666666667
"KWR-1",2019-07-26,-19.1833333333333
"KWR-1",2019-08-04,-21.2166666666667
"KWR-1",2019-08-20,-25.5833333333333
"KWR-1",2019-09-02,-27.25
"KWR-1",2019-09-21,-26.5166666666667
"KWR-1",2019-10-05,-25.95
"KWR-1",2019-10-20,-27.15
"KWR-XD1N",2019-09-03,NA
"KWR-XE1N",2018-07-01,-41.4
"KWR-XE1N",2018-07-17,-44.2
"KWR-XE1N",2018-07-27,-45.6666666666667
"KWR-XE1N",2018-08-10,-46.3333333333333
"KWR-XE1N",2018-08-25,-48.1
"KWR-XE1N",2018-09-16,-49
"KWR-XE1N",2018-10-01,-49.8
"KWR-XE1N",2018-10-14,-49.5333333333333
"KWR-XE1N",2018-11-18,-48.0333333333333
"KWR-XE1N",2019-06-17,3.59999999999999
"KWR-XE1N",2019-07-05,-22.3666666666667
"KWR-XE1N",2019-07-26,-38.2666666666667
"KWR-XE1N",2019-08-04,-41.8333333333333
"KWR-XE1N",2019-08-20,-45.0666666666667
"KWR-XE1N",2019-09-02,-46.3
"KWR-XE1N",2019-09-21,-45.7333333333333
"KWR-XE1N",2019-10-05,-45.9666666666667
"KWR-XE1N",2019-10-20,-46.8666666666667
"KWT-1",2018-06-19,-57.43
"KWT-1",2018-07-01,-79.1258333333333
"KWT-1",2018-07-17,NA
"KWT-1",2018-07-27,NA
"KWT-1",2018-08-10,NA
"KWT-1",2018-09-16,NA
"KWT-1",2018-10-01,NA
"KWT-1",2018-10-14,NA
"KWT-1",2019-06-03,-0.0666666666666653
"KWT-1",2019-06-17,1.3
"KWT-1",2019-07-05,-2.13333333333333
"KWT-1",2019-07-26,-41.3333333333333
"KWT-1",2019-08-20,-66.3333333333333
"KWT-1",2019-09-02,-74.3666666666667
"KWT-1",2019-10-20,-6.13333333333333
"LET-1",2019-07-07,NA
"LET-1",2019-07-26,NA
"LET-1",2019-08-05,NA
"LET-1",2019-08-20,NA
"LET-1",2019-09-03,NA
"LET-1",2019-09-21,NA
"LET-1",2019-10-05,NA
"LET-1",2019-10-19,NA
"LHT-1",2019-07-07,NA
"LHT-1",2019-07-26,NA
"LHT-1",2019-07-26,NA
"LHT-1",2019-08-05,NA
"LHT-1",2019-08-20,NA
"LHT-1",2019-09-03,NA
"LHT-1",2019-09-21,NA
"LHT-1",2019-10-05,NA
"LHT-1",2019-10-05,NA
"LHT-1",2019-10-19,NA
"LHT-1",2019-10-20,NA
"LWT-1",2019-07-07,NA
