well_id,Date,Temp_canopy_C
EWT-2,2025-08-10,26.793435725599636
EWT-2,2025-08-23,27.34355889544679
EWT-2,2025-09-04,24.10403424135717
EWT-2,2025-09-21,24.0846370968942
KEF-1,2025-07-11,24.194898527172654
KEF-1,2025-07-29,34.19919099019427
KEF-1,2025-08-10,32.09351255760021
KEF-1,2025-08-23,32.495457258876115
KEF-1,2025-09-04,26.7291072117452
KEF-1,2025-09-21,22.286997386727023
KEF-1,2025-10-19,15.346500618389996
KEF-1,2025-10-31,12.909312394359574
KER-1,2025-07-11,41.002408320556356
KER-1,2025-07-29,34.20242562056603
KER-1,2025-08-10,38.85236612937632
KER-1,2025-08-23,39.01622201673109
KER-1,2025-09-04,30.56649530646331
KER-1,2025-09-21,19.729893451867383
KER-1,2025-10-19,25.141403603675485
KER-1,2025-10-31,26.506950228109133
KER-2,2025-07-11,33.98213502202759
KER-2,2025-07-29,35.09549005868723
KER-2,2025-08-10,33.18229166272994
KER-2,2025-08-23,33.048485801876666
KER-2,2025-09-04,29.990974730948892
KER-2,2025-09-21,20.915375751810757
KER-2,2025-10-19,19.920714573799557
KER-2,2025-10-31,28.402405089100682
KET-1,2025-07-11,34.05658310982358
KET-1,2025-07-29,31.07208618562214
KET-1,2025-08-10,35.779294282728756
KET-1,2025-08-23,40.75454304837058
KET-1,2025-09-04,31.443722536275857
KET-1,2025-09-21,19.406387989690757
KET-1,2025-10-19,21.313758052889
KET-1,2025-10-31,25.4271946105992
KHF-1,2025-07-11,33.85459000887096
KHF-1,2025-07-29,41.61180907855305
KHF-1,2025-08-10,42.37101802152762
KHF-1,2025-08-23,42.339659397148125
KHF-1,2025-09-04,33.62702684682819
KHF-1,2025-09-21,19.273109861127807
KHF-1,2025-10-19,23.356429141572903
KHF-1,2025-10-31,19.366956987382935
KHR-1,2025-07-11,33.47752107220094
KHR-1,2025-07-29,33.34855704848633
KHR-1,2025-08-10,33.98375552940479
KHR-1,2025-08-23,37.38435437360596
KHR-1,2025-09-04,35.014497400387484
KHR-1,2025-09-21,17.15009714749027
KHR-1,2025-10-19,25.477164884146475
KHR-1,2025-10-31,27.065205915657998
KHT-XE5S,2025-07-11,32.16524129476619
KHT-XE5S,2025-07-29,37.32151880619335
KHT-XE5S,2025-08-10,40.958017434980775
KHT-XE5S,2025-08-23,44.575868355652176
KHT-XE5S,2025-09-04,34.685052414920904
KHT-XE5S,2025-09-21,22.135338453646398
KHT-XE5S,2025-10-19,26.925183998394232
KHT-XE5S,2025-10-31,27.30748181600478
KWR-1,2025-07-11,29.230674331823423
KWR-1,2025-07-29,21.941731264573377
KWR-1,2025-08-10,26.909549887345918
KWR-1,2025-08-23,28.2918357457512
KWR-1,2025-09-04,24.808041423943962
KWR-1,2025-09-21,20.565743180344384
KWT-1,2025-07-11,26.203258711991225
KWT-1,2025-07-29,27.883530053321806
KWT-1,2025-08-10,28.151605307425882
KWT-1,2025-08-23,33.43809130351855
KWT-1,2025-09-04,26.17857143722017
KWT-1,2025-09-21,18.00600866787562
KWT-2,2025-07-11,27.626706822412757
KWT-2,2025-07-29,25.014178488875757
KWT-2,2025-08-10,27.58730794716587
KWT-2,2025-08-23,28.448188485967876
KWT-2,2025-09-04,21.658986395154727
