"","observation_period","EER-1","EFF-XA2N","EHR-1","EEF-1","EET-1","EFR-XB1S","EHF-XA3S","EHT-XA5S","EHT-XB5S","EHT-XC6S","EWF-XA2S","EWR-1","EWT-1","KFF-XD6S","KFF-XE8S","KFR-XE1S","KFR-XE2S","KHF-XD4S","KHR-XD2N","KHR-XE2N","KHT-XD3S","KHT-XD6N","KHT-XE5S","KHT-XE6S","KER-1","KWT-1","KEF-1","KHF-1","KHT-XE4S","KWF-1","KWR-1","KWR-XE1N","EFR-XB2N","EFR-XB2S","EFR-XB3N","EFR-XB3S","EHR-XB1N","EHT-XB4S","EWR-XB4N","KER-XE3S","KER-XD5N","KHR-XD1N","KRH-XD1S","EFF-XB7S","LET-1","LHT-1","LWT-1","KET-1"
"11","11",-25.72802,-8.03533333333333,-41.9047069590476,-0.616999999999996,-72.1103125,-45.5373333333333,-16.3774358966667,-22.962454546,-42.1014166666667,NA,-32.5688333333333,-15.6085333333333,-48.9936666666667,-18.3,-27.8845833333333,-57.45,-9.46916666666666,NA,-47.2508333333333,-58.0566666666667,-81.42,-95.3550000166667,-47.8758333333333,NA,-68.3,NA,NA,-30.0833333333333,-26.0866666666667,-28.9666666666667,-36.8833333333333,-47.1333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","12",-2.76135333333333,NA,-4.33804029238095,NA,1.8896875,NA,0.0892307700000003,5.17087878733334,NA,NA,NA,17.5914666666667,35.4063333333333,-5.7,NA,NA,NA,-14.4416666666667,NA,NA,NA,1.97833333333333,-1.57583333333333,1.85666666666667,NA,-0.0666666666666629,-0.333333333333336,-0.75,3.17999999999999,3.06666666666666,8.71666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.425,NA,NA,NA,NA,NA,NA,NA
"13","13",-14.6201033333333,-5.22741666666667,-9.16345695904761,-1.65033333333333,-28.0769791666667,NA,-4.27347756333334,-1.22912121266667,NA,NA,-17.5355,10.6581333333333,-93.387,-7.32541666666667,-1.80999999999999,-18.80875,1.90541666666666,-15.1670833333333,NA,NA,-19.97875,-8.41375000000001,-3.06791666666667,-0.235416666666664,-1.45875,-2.15875,-17.65875,16.59125,2.02124999999999,0.374583333333328,8.05,6.37062499999999,NA,NA,NA,NA,NA,NA,NA,NA,1.13291666666667,9.90000000000001,NA,NA,NA,NA,NA,NA
"14","14",-33.6284366666667,-17.56075,-36.7634569590476,-18.5090833333333,NA,-35.7294166666667,-6.90285256333333,-55.421204546,NA,NA,-21.6275833333333,1.46605,-77.06075,-23.2254166666667,-16.1433333333333,-46.5754166666667,-3.99458333333334,-75.83375,NA,NA,-64.5454166666667,-56.91375,-17.1345833333333,-5.00208333333333,-10.4920833333333,-5.59208333333333,-2.95875000000001,-18.60875,-2.67875,-25.2920833333333,-5.57541666666667,-21.3254166666667,-17.40875,-19.39,-28.75875,-51.15875,-51.50875,-26.5920833333333,-27.0920833333333,NA,-7.43374999999999,-30.2254166666667,-35.4754166666667,-4.97541666666667,-30.6504166666667,-38.3670833333333,-29.6670833333333,NA
"15","15",-38.1013533333333,-25.6753333333333,-54.0780402923809,-49.057,-87.6503125,-41.044,-40.0841025633333,-91.4691212126667,NA,NA,-46.7755,-17.7152,-91.267,-82.1733333333333,-44.69125,-56.1233333333333,-4.77583333333333,NA,NA,NA,-81.42,-95.6616666666667,-67.7491666666667,-65.9833333333333,-12.6733333333333,-44.3733333333333,-7.74,-64.69,-42.9933333333333,-35.84,-22.2233333333333,-36.8066666666667,-24.6566666666667,-19.39,-33.1733333333333,-55.3233333333333,-59.49,-44.2,-36.8066666666667,NA,-24.215,-41.74,-45.395,-3.59,-52.2316666666667,-47.8816666666667,-52.515,19.085
"16","16",-38.8446866666667,-28.5853333333333,-60.6547069590476,-55.8003333333333,-87.2603125,NA,-63.36076923,NA,NA,NA,-52.7855,-19.8918666666667,-93.0436666666667,-97.4333333333333,-50.3845833333333,-58.1,-6.81916666666666,-81.965,NA,NA,-81.42,-95.3550000166667,NA,-87.1266666666667,-13.4166666666667,NA,NA,NA,-53.67,-55.65,-23.8666666666667,-39.9833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.5,-64.075,-70.8583333333333,-63.0583333333333,14.5083333333333
"17","17",-39.41802,-28.9586666666667,-62.7947069590476,-39.4736666666667,-88.6803125,NA,-67.1441025633333,NA,NA,NA,NA,-21.5652,-93.387,-97.4333333333333,NA,-62.5066666666667,-8.22583333333334,NA,NA,NA,NA,NA,NA,-102.376666666667,-24.69,-69.3233333333333,NA,NA,-62.8766666666667,-70.4233333333333,-28.5733333333333,-43.5566666666667,NA,-19.39,NA,NA,NA,-44.2,NA,NA,NA,NA,NA,-5.60666666666667,-78.515,-83.865,-73.8316666666667,10.835
"18","18",-39.2513533333333,-28.992,-62.6613736257143,-20.007,NA,NA,NA,-106.940232312667,NA,NA,NA,-21.4652,NA,NA,NA,-63.04,-7.95916666666667,NA,17.4591666666667,NA,NA,NA,-90.8991666666667,-102.376666666667,-42.49,-77.3566666666667,-9.45666666666667,NA,-62.01,-73.59,-30.24,-44.79,NA,NA,-34.19,NA,NA,NA,-36.19,NA,-42.0983333333333,-47.0233333333333,-51.34,-5.10666666666667,-87.1483333333333,-88.265,-79.1983333333333,7.40166666666667
"19","19",-25.0846866666667,-14.4586666666667,-50.328040292381,-1.707,-88.6803125,NA,-22.4674358966667,-106.940232312667,NA,NA,-52.7855,-18.2318666666667,-73.7836666666667,NA,-50.3845833333333,-60.0733333333333,-7.92583333333334,NA,NA,NA,NA,-95.3550000166667,NA,-102.376666666667,-26.0566666666667,NA,NA,NA,-41.7433333333333,-45.0233333333333,-29.5066666666667,-44.2233333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.27333333333333,-62.015,-103.765,-56.3316666666667,NA
"20","20",-23.91802,-82.9586666666667,-41.8947069590476,-3.24033333333333,NA,NA,-18.5341025633333,-106.940232312667,NA,NA,-44.2921666666667,-16.1985333333333,-59.617,NA,NA,-57.6733333333333,-7.82583333333333,NA,NA,NA,NA,NA,NA,-102.376666666667,-19.1566666666667,NA,NA,-43.54,-34.3766666666667,-28.19,-28.94,-44.4566666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.44,-49.5483333333333,-41.2816666666667,-49.7983333333333,NA
"21","21",-22.41802,-8.12533333333334,-39.9280402923809,-5.007,-84.0336458333333,-45.594,-13.40076923,-42.852454546,NA,NA,-34.4255,-13.5652,-53.4836666666667,NA,NA,-57.44,-7.82583333333333,NA,NA,NA,NA,NA,-70.1325,NA,-17.1566666666667,-9.12333333333333,-6.62333333333334,-36.2733333333333,-30.81,-21.79,-30.14,-45.3566666666667,-15.94,-19.39,-21.5566666666667,-50.34,-46.8733333333333,-24.79,-25.59,NA,-11.8316666666667,-46.59,-49.44,-3.44,-41.3483333333333,-55.965,-47.2316666666667,3.50166666666667
