well_id,timestamp,welltop_to_ground,total_well_length,meter_id
EFR-XB3N,7/25/18 8:52,50.3,,
EFR-XB3N,7/6/19 9:27,49.9,,
EFR-XB3N,8/7/20 0:00,,155.1,
EFR-XB3N,8/7/20 0:00,,154.9,
EFR-XB3N,8/7/20 0:00,,154.7,
EFR-XB3S,7/6/19 9:17,,147,
EFR-XB3S,8/7/20 0:00,84.4,152.9,
EFR-XB3S,8/7/20 0:00,86.4,152.9,
EFR-XB3S,8/7/20 0:00,87.7,152.7,
EFR-XB3S,8/7/20 0:00,86.9,,
EHF-XA3S,6/1/18 6:40,64.4525,132.8,
EHF-XA3S,6/18/18 8:07,64.77,,
EHF-XA3S,6/30/18 8:45,65.51288462,,
EHF-XA3S,7/16/18 8:19,66.4,,
EHF-XA3S,7/25/18 7:45,66,,
EHF-XA3S,8/24/18 8:19,66.8,,
EHR-1,5/31/18 8:30,53.975,,
EHR-1,6/18/18 7:17,54.9275,,
EHR-1,6/18/18 7:17,54.9275,,
EHR-1,6/18/18 7:17,54.9275,,
EHR-1,6/30/18 8:15,55.04288462,,
EHR-1,7/16/18 7:52,54.4,,
EHR-1,7/25/18 7:21,55.6,,
EHR-XB1N,7/16/18 9:16,74.6,,
EHR-XB1N,7/25/18 8:45,74.7,,
EHR-XB1N,7/6/19 9:24,74.65,,
EHR-XB1N,8/7/20 0:00,,155.4,
EHR-XB1N,8/7/20 0:00,,155.1,
EHR-XB1N,8/7/20 0:00,,155,
EHT-XA5S,6/1/18 6:43,37.7825,145.3333333,
EHT-XA5S,6/18/18 8:13,37.465,,
EHT-XA5S,6/30/18 8:47,38.24022727,,
EHT-XA5S,7/25/18 7:51,38.7,145.5,v3
EHT-XA5S,8/24/18 8:25,39.5,145,
EHT-XB4S,7/16/18 9:11,102.3,146.5,
EHT-XB5S,6/1/18 7:41,24.765,152.95,
EHT-XB5S,6/18/18 8:27,25.7175,,
EHT-XB5S,6/30/18 9:05,26.57,,
EHT-XB5S,7/16/18 8:52,28.1,,
EHT-XB5S,7/25/18 8:08,27.4,,
EHT-XB5S,8/10/18 0:00,,152.9,v3
EHT-XB5S,8/24/18 8:35,27.5,153,
EHT-XB5S,8/7/20 0:00,22.4,154,
EHT-XB5S,8/7/20 0:00,22.9,153.7,
EHT-XB5S,8/7/20 0:00,23.1,153.3,
EHT-XB5S,8/7/20 0:00,22.2,,
EHT-XC6S,6/1/18 8:00,33.655,154.305,
EHT-XC6S,6/18/18 8:42,34.29,149.86,
EWF-XA2S,6/1/18 6:24,90.17,147.7,
EWF-XA2S,6/18/18 8:10,97.155,,
EWF-XA2S,6/30/18 8:40,94.5975,,
EWF-XA2S,7/16/18 8:16,95.3,,
EWF-XA2S,7/25/18 7:42,98.1,148,
EWR-1,6/1/18 6:10,90.17,,
EWR-1,6/18/18 7:26,88.9,,
EWR-1,6/30/18 8:25,90.554,,
EWR-1,7/16/18 8:01,91.2,,
EWR-1,8/24/18 8:04,91.3,,
EWR-XB4N,7/16/18 9:24,43,,
EWR-XB4N,7/25/18 8:55,44.2,,
EWR-XB4N,7/6/19 9:28,43.6,,
EWR-XB4N,8/7/20,,154.8,
EWR-XB4N,8/7/20,,154.8,
EWR-XB4N,8/7/20,,154.8,
EWT-1,6/1/18 6:50,57.15,149.66,
EWT-1,6/18/18 8:19,56.515,,
EWT-1,7/16/18 8:29,56.7,,
EWT-1,7/25/18 8:00,56.5,151,
EWT-1,8/24/18 8:27,58,147.8,
EWT-1,8/7/20 0:00,,151.3,
EWT-1,8/7/20 0:00,,151.2,
EWT-1,8/7/20 0:00,,151.2,
KEF-1,7/1/18 8:14,50.8,,
KEF-1,7/17/18 8:38,50.6,,
KEF-1,8/25/18 8:33,51,,
KER-1,6/19/18 8:56,74.2,142.5,
KER-XD5N,10/18/20,36.2,,
KER-XD5N,10/18/20,37.1,,
KER-XD5N,10/18/20,35,,
KER-XD5N,10/18/20,35,,
KER-XE3S,10/18/20,0,,
KET-1,10/18/20,50,,
KET-1,10/18/20,49.6,,
KET-1,10/18/20,49.4,,
KET-1,10/18/20,49.5,,
KFF-XD6S,6/1/18 8:50,50.8,147.9,
KFF-XD6S,7/1/18 6:47,50.6,,
KFF-XD6S,7/17/18 7:45,50,,
KFF-XE8S,6/1/18 9:13,97.155,147.6,nm
KFF-XE8S,7/1/18 7:04,97.19125,,
KFF-XE8S,7/17/18 7:59,97.3,,
KFR-XE1S,6/1/18 9:23,63.5,,
KFR-XE1S,7/1/18 7:50,63.65,,
KFR-XE1S,7/17/18 8:17,63.8,,
KFR-XE2S,6/1/18 9:15,61.595,,
KFR-XE2S,7/1/18 7:45,60.6975,,
KFR-XE2S,7/17/18 8:15,59.8,,
KHF-1,7/1/18 8:18,67.95,148.9666667,
KHF-1,7/17/18 8:41,67.8,,
KHF-1,8/10/18 0:00,,149,v3
KHF-1,8/25/18 8:30,68.4,149.3,
KHF-XD4S,10/18/20 0:00,67.2,148.59,
KHF-XD4S,10/18/20 0:00,67.1,,
KHF-XD4S,10/18/20 0:00,66.1,,
KHF-XD4S,10/18/20 0:00,66.1,,
KHR-XD1N,8/7/20,73.5,137,
KHR-XD1N,8/7/20,76.3,136.8,
KHR-XD1N,8/7/20,75.4,136.8,
KHR-XD1N,8/7/20,74.4,,
KHR-XD2N,6/1/18 8:40,75.565,,
KHR-XD2N,7/1/18 6:37,73.1825,,
KHR-XD2N,7/17/18 7:41,70.8,,
KHR-XE2N,6/1/18 9:30,45.72,,
KHR-XE2N,7/1/18 8:04,47.21,,
KHR-XE2N,7/17/18 8:24,48.7,,
KHT-XD3S,6/1/18 8:41,68.58,150,
KHT-XD6N,6/1/18 8:32,45.72,142.1666667,
KHT-XD6N,7/1/18 6:22,46.415,,
KHT-XD6N,7/17/18 7:29,48.5,142.3,
KHT-XE4S,8/25/18 7:01,74.5,142,
KHT-XE4S,10/18/20 0:00,76.5,142.25,
KHT-XE4S,10/18/20 0:00,77,,
KHT-XE4S,10/18/20 0:00,75.6,,
KHT-XE4S,10/18/20 0:00,79.8,,
KHT-XE5S,6/1/18 9:15,56.515,,
KHT-XE5S,7/1/18 7:30,56.9575,,
KHT-XE5S,7/17/18 8:07,57.4,,
KHT-XE6S,6/1/18 9:14,40.64,144,
KHT-XE6S,7/1/18 7:10,41.23,,
KHT-XE6S,7/17/18 8:03,43,143.3,nm
KRH-XD1S,8/7/20,73.8,147.5,
KRH-XD1S,8/7/20,73.1,147,
KRH-XD1S,8/7/20,74,146.7,
KRH-XD1S,8/7/20,72.1,,
KWF-1,7/1/18 8:25,69.5,,
KWR-1,7/1/18 8:30,73.05,,
KWR-1,7/17/18 8:51,72.6,,
KWR-1,8/25/18 8:20,73.5,,
KWR-XE1N,10/18/20 0:00,91.2,,
KWR-XE1N,10/18/20 0:00,91.3,,
KWR-XE1N,10/18/20 0:00,87.6,,
KWR-XE1N,10/18/20 0:00,90.3,,
KWT-1,6/19/18 8:34,55.6,136.7,nm
LET-1,10/18/20,38.1,,
LET-1,10/18/20,34.6,,
LET-1,10/18/20,38.6,,
LET-1,10/18/20,38.2,,
LHT-1,7/26/19 6:50,49.7,148,
LHT-1,10/18/20 0:00,44.9,,
LHT-1,10/18/20 0:00,47.6,,
LHT-1,10/18/20 0:00,46.7,,
LWT-1,10/18/20,44.9,,
LWT-1,10/18/20,47.6,,
LWT-1,10/18/20,46.7,,
LWT-1,10/18/20,49.7,,
EET-2,8/7/20,,148.2,
EET-2,8/7/20,,147.6,
EET-2,8/7/20,,147.7,
KER-XE3S,8/7/20,0,0,
KER-1,7/27/18,,152.9,nm
KWR-1,7/27/18,,150.4,nm
KHT-XE5S,7/27/18,,153.8,nm
KWF-1,7/27/18,,156.4,nm
KEF-1,7/27/18,,154.8,nm
KFR-XE1S,7/27/18,,150.8,nm
EER-1,7/16/18,,154.4,nm
EWR-1,7/16/18,,131.5,nm
EHT-XA5S,7/17/18,,151.8,nm
EER-1,7/18/18,,155,nm
EWF-XA2S,7/19/18,,152.9,nm
EET-1,7/20/18,,151.2,nm
KHT-XD6N,7/27/18,,142.3,nm
KFF-XD6S,7/27/18,,147.9,nm
KHF-1,7/17/18,,148.6,nm
=======,,,,
well_id,timestamp,welltop_to_ground,total_well_length,
EEF-1,6/1/18 7:45,59.3725,,
EEF-1,6/18/18 8:32,59.69,,
EEF-1,6/30/18 8:55,59.4525,,
EEF-1,7/16/18 8:40,59.8,,
EEF-1,8/24/18 8:39,58.6,,
EEF-1,8/7/20 0:00,,154.3,
EEF-1,8/7/20 0:00,,154.4,
EEF-1,8/7/20 0:00,,154.3,
EER-1,5/31/18 8:40,78.4352,,
EER-1,5/31/18 8:40,77.47,,
EER-1,5/31/18 8:40,78.105,,
EER-1,6/30/18 8:20,78.42168,,
EER-1,7/25/18 7:25,78.9,,
EER-1,8/24/18 8:00,78.5,,
EET-1,6/1/18 7:56,57.4675,147.85,
EET-1,6/18/18 8:38,57.15,,
EET-1,7/16/18 8:47,58.5,,
EET-1,7/25/18 8:25,58,149,
EET-1,8/7/20 0:00,62.1,148.2,
EET-1,8/7/20 0:00,60.9,147.6,
EET-1,8/7/20 0:00,62,147.7,
EET-1,8/7/20 0:00,59,,
EFF-XA2N,5/31/18 8:55,45.72,,
EFF-XA2N,5/31/18 8:55,43.815,,
EFF-XA2N,6/30/18 8:31,44.353,,
EFF-XA2N,7/16/18 8:10,44.2,,
EFF-XA2N,7/25/18 7:36,44.8,,
EFF-XA2N,8/24/18 8:13,44.5,,
EFR-XB1S,6/1/18 7:40,86.6775,,
EFR-XB1S,6/18/18 7:56,96.2025,,
EFR-XB1S,6/30/18 9:10,90.896,,
EFR-XB1S,7/16/18 8:54,88,,
EFR-XB1S,7/25/18 8:41,87.5,,
EFR-XB1S,8/24/18 8:51,96.1,,
EFR-XB1S,8/7/20 0:00,,153.2,
EFR-XB1S,8/7/20 0:00,,153.1,
EFR-XB1S,8/7/20 0:00,,153,
EFR-XB2N,7/16/18 9:19,34,,
EFR-XB2N,7/25/18 8:50,34.5,,
EFR-XB2N,7/6/19 9:26,34.25,,
EFR-XB2N,8/7/20 0:00,,156.2,
EFR-XB2N,8/7/20 0:00,,156,
EFR-XB2N,8/7/20 0:00,,156.3,
EFR-XB2S,7/16/18 7:57,,116,
EFR-XB2S,7/6/19 9:19,,117,
EFR-XB2S,7/26/19 8:05,,116.66,
EFR-XB2S,10/20/19 15:07,,116.3,
EFR-XB2S,8/7/20 0:00,96.9,,
EFR-XB2S,8/7/20 0:00,98,,
EFR-XB2S,8/7/20 0:00,96.6,,
EFR-XB2S,8/7/20 0:00,96.9,,
EFR-XB3N,7/16/18 9:21,49.5,,
EFR-XB3N,7/25/18 8:52,50.3,,
EFR-XB3N,7/6/19 9:27,49.9,,
EFR-XB3N,8/7/20 0:00,,154.9,
EFR-XB3N,8/7/20 0:00,,154.7,
EFR-XB3N,8/7/20 0:00,,155.1,
EFR-XB3S,7/6/19 9:17,,147,
EFR-XB3S,8/7/20 0:00,87.7,152.7,
EFR-XB3S,8/7/20 0:00,84.4,152.9,
EFR-XB3S,8/7/20 0:00,86.4,152.9,
EFR-XB3S,8/7/20 0:00,86.9,,
EHF-XA3S,6/1/18 6:40,64.4525,132.8,
EHF-XA3S,6/18/18 8:07,64.77,,
EHF-XA3S,6/30/18 8:45,65.51288462,,
EHF-XA3S,7/16/18 8:19,66.4,,
EHF-XA3S,7/25/18 7:45,66,,
EHF-XA3S,8/24/18 8:19,66.8,,
EHR-1,5/31/18 8:30,53.975,,
EHR-1,6/18/18 7:17,54.9275,,
EHR-1,6/18/18 7:17,54.9275,,
EHR-1,6/18/18 7:17,54.9275,,
EHR-1,6/30/18 8:15,55.04288462,,
EHR-1,7/16/18 7:52,54.4,,
EHR-1,7/25/18 7:21,55.6,,
EHR-XB1N,7/16/18 9:16,74.6,,
EHR-XB1N,7/25/18 8:45,74.7,,
EHR-XB1N,7/6/19 9:24,74.65,,
EHR-XB1N,8/7/20 0:00,,155.4,
EHR-XB1N,8/7/20 0:00,,155,
EHR-XB1N,8/7/20 0:00,,155.1,
EHT-XA5S,6/1/18 6:43,37.7825,145.3333333,
EHT-XA5S,6/18/18 8:13,37.465,,
EHT-XA5S,6/30/18 8:47,38.24022727,,
EHT-XA5S,7/25/18 7:51,38.7,145.5,
EHT-XA5S,8/24/18 8:25,39.5,145,
EHT-XB4S,7/16/18 9:11,102.3,146.5,
EHT-XB5S,6/1/18 7:41,24.765,152.95,
EHT-XB5S,6/18/18 8:27,25.7175,,
EHT-XB5S,6/30/18 9:05,26.57,,
EHT-XB5S,7/16/18 8:52,28.1,,
EHT-XB5S,7/25/18 8:08,27.4,,
EHT-XB5S,8/24/18 8:35,27.5,153,
EHT-XB5S,8/7/20 0:00,22.4,154,
EHT-XB5S,8/7/20 0:00,23.1,153.3,
EHT-XB5S,8/7/20 0:00,22.9,153.7,
EHT-XB5S,8/7/20 0:00,22.2,,
EHT-XC6S,6/1/18 8:00,33.655,154.305,
EHT-XC6S,6/18/18 8:42,34.29,149.86,
EWF-XA2S,6/1/18 6:24,90.17,147.7,
EWF-XA2S,6/18/18 8:10,97.155,,
EWF-XA2S,6/30/18 8:40,94.5975,,
EWF-XA2S,7/16/18 8:16,95.3,,
EWF-XA2S,7/25/18 7:42,98.1,148,
EWR-1,6/1/18 6:10,90.17,,
EWR-1,6/18/18 7:26,88.9,,
EWR-1,6/30/18 8:25,90.554,,
EWR-1,7/16/18 8:01,91.2,,
EWR-1,8/24/18 8:04,91.3,,
EWR-XB4N,7/16/18 9:24,43,,
EWR-XB4N,7/25/18 8:55,44.2,,
EWR-XB4N,7/6/19 9:28,43.6,,
EWT-1,6/1/18 6:50,57.15,149.66,
EWT-1,6/18/18 8:19,56.515,,
EWT-1,7/16/18 8:29,56.7,,
EWT-1,7/25/18 8:00,56.5,151,
EWT-1,8/24/18 8:27,58,147.8,
EWT-1,8/7/20 0:00,,151.2,
EWT-1,8/7/20 0:00,,151.2,
EWT-1,8/7/20 0:00,,151.3,
KEF-1,7/1/18 8:14,50.8,,
KEF-1,7/17/18 8:38,50.6,,
KEF-1,8/25/18 8:33,51,,
KER-1,6/19/18 8:56,74.2,142.5,
KFF-XD6S,6/1/18 8:50,50.8,147.9,
KFF-XD6S,7/1/18 6:47,50.6,,
KFF-XD6S,7/17/18 7:45,50,,
KFF-XE8S,6/1/18 9:13,97.155,147.6,
KFF-XE8S,7/1/18 7:04,97.19125,,
KFF-XE8S,7/17/18 7:59,97.3,,
KFR-XE1S,6/1/18 9:23,63.5,,
KFR-XE1S,7/1/18 7:50,63.65,,
KFR-XE1S,7/17/18 8:17,63.8,,
KFR-XE2S,6/1/18 9:15,61.595,,
KFR-XE2S,7/1/18 7:45,60.6975,,
KFR-XE2S,7/17/18 8:15,59.8,,
KHF-1,7/1/18 8:18,67.95,148.9666667,
KHF-1,7/17/18 8:41,67.8,,
KHF-1,8/25/18 8:30,68.4,149.3,
KHF-XD4S,10/18/20 0:00,67.1,,
KHF-XD4S,10/18/20 0:00,67.2,148.59,
KHF-XD4S,10/18/20 0:00,66.1,,
KHF-XD4S,10/18/20 0:00,66.1,,
KHR-XD2N,6/1/18 8:40,75.565,,
KHR-XD2N,7/1/18 6:37,73.1825,,
KHR-XD2N,7/17/18 7:41,70.8,,
KHR-XE2N,6/1/18 9:30,45.72,,
KHR-XE2N,7/1/18 8:04,47.21,,
KHR-XE2N,7/17/18 8:24,48.7,,
KHT-XD3S,6/1/18 8:41,68.58,150,
KHT-XD6N,6/1/18 8:32,45.72,142.1666667,
KHT-XD6N,7/1/18 6:22,46.415,,
KHT-XD6N,7/17/18 7:29,48.5,142.3,
KHT-XE4S,10/18/20 0:00,77,,
KHT-XE4S,10/18/20 0:00,75.6,,
KHT-XE4S,10/18/20 0:00,79.8,,
KHT-XE4S,10/18/20 0:00,76.5,142.25,
KHT-XE4S,8/25/18 7:01,74.5,142,
KHT-XE5S,6/1/18 9:15,56.515,148.8,
KHT-XE5S,7/1/18 7:30,56.9575,,
KHT-XE5S,7/17/18 8:07,57.4,,
KHT-XE6S,6/1/18 9:14,40.64,144,
KHT-XE6S,7/1/18 7:10,41.23,,
KHT-XE6S,7/17/18 8:03,43,,
KWF-1,7/1/18 8:25,69.5,150.5,
KWR-1,7/1/18 8:30,73.05,,
KWR-1,7/17/18 8:51,72.6,,
KWR-1,8/25/18 8:20,73.5,,
KWR-XE1N,10/18/20 0:00,91.2,,
KWR-XE1N,10/18/20 0:00,91.3,,
KWR-XE1N,10/18/20 0:00,87.6,,
KWR-XE1N,10/18/20 0:00,90.3,,
KWT-1,6/19/18 8:34,55.6,136.7,
LHT-1,10/18/20 0:00,44.9,,
LHT-1,10/18/20 0:00,47.6,,
LHT-1,10/18/20 0:00,46.7,,
LHT-1,7/26/19 6:50,49.7,148,
EFF-XB7S,8/7/20,51.5,153,
EFF-XB7S,8/7/20,49.8,153.3,
EFF-XB7S,8/7/20,51.3,153.1,
EFF-XB7S,8/7/20,50,,
B6S,8/7/20,19.7,153.5,
B6S,8/7/20,23,152.5,
B6S,8/7/20,20.5,152.7,
B6S,8/7/20,22.2,,
KHR-XD1N,8/7/20,76.3,136.8,
KHR-XD1N,8/7/20,73.5,137,
KHR-XD1N,8/7/20,75.4,136.8,
KHR-XD1N,8/7/20,74.4,,
KRH-XD1S,8/7/20,73.1,147,
KRH-XD1S,8/7/20,74,146.7,
KRH-XD1S,8/7/20,73.8,147.5,
KRH-XD1S,8/7/20,72.1,,
EWR-XB4N,8/7/20,,154.8,
EWR-XB4N,8/7/20,,154.8,
EWR-XB4N,8/7/20,,154.8,
KER-XD5N,10/18/20,36.2,,
KER-XD5N,10/18/20,37.1,,
KER-XD5N,10/18/20,35,,
KER-XD5N,10/18/20,35,,
KET-1,10/18/20,50,,
KET-1,10/18/20,49.6,,
KET-1,10/18/20,49.4,,
KET-1,10/18/20,49.5,,
LET-1,10/18/20,38.1,,
LET-1,10/18/20,34.6,,
LET-1,10/18/20,38.6,,
LET-1,10/18/20,38.2,,
LWT-1,10/18/20,44.9,,
LWT-1,10/18/20,47.6,,
LWT-1,10/18/20,46.7,,
LWT-1,10/18/20,49.7,,
KER-XE3S,10/18/20,0,,
