well_id,timestamp,welltop_to_water_cm,water_level_1_cm,water_level_2_cm,water_level_3_cm,water_binary,logger?,meter_id,soil moisture,notes,vegetation,HGMZ
EHR-XB1N,7/26/19 13:04,131.1,,,,TRUE,NaN,v.070919,,,,
EHR-XB1N,7/26/19 13:04,131.2,,,,TRUE,NaN,v.070919,,,,
EHR-XB2N,7/26/19 13:05,55.8,,,,TRUE,NaN,v.070919,,,,
EHR-XB2N,7/26/19 13:05,55.8,,,,TRUE,NaN,v.070919,,,,
EHR-XB2N,7/26/19 13:05,56,,,,TRUE,NaN,v.070919,,,,
EWR-XB3N,7/26/19 13:07,80.2,,,,TRUE,NaN,v.070919,,,,
EWR-XB3N,7/26/19 13:07,80,,,,TRUE,NaN,v.070919,,,,
EWR-XB3N,7/26/19 13:07,79.9,,,,TRUE,NaN,v.070919,,,,
EWR-XB4N,7/26/19 13:09,77.4,,,,TRUE,NaN,v.070919,,,,
EWR-XB4N,7/26/19 13:09,77,,,,TRUE,NaN,v.070919,,,,
EWR-XB4N,7/26/19 13:09,77.7,,,,TRUE,NaN,v.070919,,,,
KHR-XD1N,7/26/19 15:03,113.5,,,,TRUE,NaN,v.070919,,,,
KHR-XD1N,7/26/19 15:03,113.5,,,,TRUE,NaN,v.070919,,,,
KHR-XD1N,7/26/19 15:03,113.8,,,,TRUE,NaN,v.070919,,,,
KHR-XD1S,7/26/19 15:06,117,,,,FALSE,NaN,v.070919,,"no water, but readings of 117, 117.1, 117.4",,
KHR-XD1S,7/26/19 15:06,117.1,,,,FALSE,NaN,v.070919,,,,
KHR-XD1S,7/26/19 15:06,117.4,,,,FALSE,NaN,v.070919,,,,
KWT-1,7/26/19 15:15,97,,,,TRUE,NaN,v.070919,,barometer,,
KWT-1,7/26/19 15:15,96.9,,,,TRUE,NaN,v.070919,,,,
KWT-1,7/26/19 15:15,96.9,,,,TRUE,NaN,v.070919,,,,
KHT-XE5S,7/26/19 15:52,121.6,,,,TRUE,TRUE,v.070919,,,,
KHT-XE5S,7/26/19 15:52,121.6,,,,TRUE,TRUE,v.070919,,,,
KHT-XE5S,7/26/19 15:52,121.8,,,,TRUE,TRUE,v.070919,,,,
KHF-1,7/26/19 16:44,129.5,,,,TRUE,NaN,v.070919,,,,
KHF-1,7/26/19 16:44,129.7,,,,TRUE,NaN,v.070919,,,,
KHF-1,7/26/19 16:44,129.9,,,,TRUE,NaN,v.070919,,,,
KEF-1,7/26/19 16:48,55.4,,,,TRUE,NaN,v.070919,,,,
KEF-1,7/26/19 16:48,55.5,,,,TRUE,NaN,v.070919,,,,
KEF-1,7/26/19 16:48,55.6,,,,TRUE,NaN,v.070919,,,,
KHT-XD6N,8/4/19 7:58,NaN,,,,FALSE,NaN,nw,,,,
KWF-1,8/4/19 8:00,123,,,,TRUE,NaN,bamboo speaker wire,,,,
KWF-1,8/4/19 8:00,122,,,,TRUE,NaN,bamboo speaker wire,,,,
KWF-1,8/4/19 8:00,122.5,,,,TRUE,NaN,bamboo speaker wire,,,,
KHR-1,8/4/19 8:01,85.2,,,,TRUE,NaN,bamboo speaker wire,,,,
KHR-1,8/4/19 8:01,85.4,,,,TRUE,NaN,bamboo speaker wire,,,,
KHR-1,8/4/19 8:01,86,,,,TRUE,NaN,bamboo speaker wire,,,,
KER-1,8/4/19 8:04,84.6,,,,TRUE,NaN,bamboo speaker wire,,,,
KER-1,8/4/19 8:04,85.5,,,,TRUE,NaN,bamboo speaker wire,,,,
KER-1,8/4/19 8:04,84.8,,,,TRUE,NaN,bamboo speaker wire,,,,
KWR-XE1N,8/4/19 8:12,127,,,,TRUE,NaN,bamboo speaker wire,,,,
KWR-XE1N,8/4/19 8:12,127.8,,,,TRUE,NaN,bamboo speaker wire,,,,
KWR-XE1N,8/4/19 8:12,127.5,,,,TRUE,NaN,bamboo speaker wire,,,,
KFR-XE2S,8/4/19 8:15,65,,,,TRUE,NaN,bamboo speaker wire,,,,
KFR-XE2S,8/4/19 8:15,64.6,,,,TRUE,NaN,bamboo speaker wire,,,,
KFR-XE2S,8/4/19 8:15,65,,,,TRUE,NaN,bamboo speaker wire,,,,
KFR-XE1S,8/4/19 8:16,119.5,,,,TRUE,NaN,bamboo speaker wire,,,,
KHT-XE4S,8/4/19 8:19,127.3,,,,TRUE,NaN,bamboo speaker wire,,,,
KHT-XE4S,8/4/19 8:19,127.8,,,,TRUE,NaN,bamboo speaker wire,,,,
KHT-XE4S,8/4/19 8:19,128,,,,TRUE,NaN,bamboo speaker wire,,,,
KER-XE3S,8/4/19 8:22,-2.5,,,,TRUE,NaN,nm,,,,
KER-XE3S,8/4/19 8:22,-5,,,,TRUE,NaN,nm,,,,
KER-XE3S,8/4/19 8:22,-4,,,,TRUE,NaN,nm,,,,
KHT-XE6S,8/4/19 8:24,127.8,,,,TRUE,NaN,bamboo speaker wire,,,,
KHT-XE6S,8/4/19 8:24,125.5,,,,TRUE,NaN,bamboo speaker wire,,,,
KHT-XE6S,8/4/19 8:24,125,,,,TRUE,NaN,bamboo speaker wire,,,,
KET-1,8/4/19 8:27,32.5,,,,TRUE,NaN,bamboo speaker wire,,,,
KWF-XE8S,8/4/19 8:30,,,,,FALSE,NaN,nw,,,,
KFF-XD6S,8/4/19 8:40,NaN,,,,FALSE,NaN,nw,,,,
KHF-XD4S,8/4/19 8:42,NaN,,,,FALSE,NaN,nw,,,,
KWR-1,8/4/19 8:51,94,,,,TRUE,NaN,bamboo speaker wire,,,,
KWR-1,8/4/19 8:51,94.3,,,,TRUE,NaN,bamboo speaker wire,,,,
KWR-1,8/4/19 8:51,94.5,,,,TRUE,NaN,bamboo speaker wire,,,,
EHR-1,8/5/19 6:39,112,,,,TRUE,NaN,bamboo speaker wire,,,,
EHR-1,8/5/19 6:39,113,,,,TRUE,NaN,bamboo speaker wire,,,,
EHR-1,8/5/19 6:39,113.5,,,,TRUE,NaN,bamboo speaker wire,,,,
EER-1,8/5/19 6:42,114,,,,TRUE,NaN,bamboo speaker wire,,,,
EER-1,8/5/19 6:42,114.5,,,,TRUE,NaN,bamboo speaker wire,,,,
EER-1,8/5/19 6:42,115,,,,TRUE,NaN,bamboo speaker wire,,,,
EWR-1,8/5/19 6:44,108,,,,TRUE,NaN,bamboo speaker wire,,,,
EWR-1,8/5/19 6:44,107.5,,,,TRUE,NaN,bamboo speaker wire,,,,
EWR-1,8/5/19 6:44,107.5,,,,TRUE,NaN,bamboo speaker wire,,,,
EFF-XA2N,8/5/19 6:52,70.5,,,,TRUE,NaN,bamboo speaker wire,,,,
EFF-XA2N,8/5/19 6:52,70.5,,,,TRUE,NaN,bamboo speaker wire,,,,
EFF-XA2N,8/5/19 6:52,70.5,,,,TRUE,NaN,bamboo speaker wire,,,,
EWF-XA1N,8/5/19 6:55,NaN,,,,FALSE,NaN,bamboo speaker wire,,,,
EFF-XA2S,8/5/19 6:58,NaN,,,,FALSE,NaN,bamboo speaker wire,,,willow leaves yellow dots,
EEF-XA3S,8/5/19 6:59,126.8,,,,TRUE,NaN,bamboo speaker wire,,,,
EEF-XA3S,8/5/19 6:59,126.5,,,,TRUE,NaN,bamboo speaker wire,,,,
EEF-XA3S,8/5/19 6:59,125.8,,,,TRUE,NaN,bamboo speaker wire,,,,
EWT-1,8/5/19 7:03,NaN,,,,FALSE,NaN,bamboo speaker wire,,,"mud at bottom; if this is the gw level, welltop_to_water = 147.3 cm but it doesn't look right on the plot.",
EWT-1,8/5/19 7:03,NaN,,,,FALSE,NaN,bamboo speaker wire,,,,
EWT-1,8/5/19 7:03,NaN,,,,FALSE,NaN,bamboo speaker wire,,,,
EHF-XB7S,8/5/19 7:12,53.4,,,,TRUE,NaN,bamboo speaker wire,,,,
EHF-XB7S,8/5/19 7:12,53.5,,,,TRUE,NaN,bamboo speaker wire,,,,
EHF-XB7S,8/5/19 7:12,53.6,,,,TRUE,NaN,bamboo speaker wire,,,,
EEF-1,8/5/19 7:14,112.5,,,,TRUE,NaN,bamboo speaker wire,,,,
EEF-1,8/5/19 7:14,112.5,,,,TRUE,NaN,bamboo speaker wire,,,,
EEF-1,8/5/19 7:14,112.6,,,,TRUE,NaN,bamboo speaker wire,,,,
EET-1,8/5/19 7:18,144,,,,TRUE,NaN,bamboo speaker wire,,,mud at bottom,
KFR-XE1S,8/5/19 8:16,119.3,,,,TRUE,NaN,bamboo speaker wire,,,,
LHT-1,8/5/19 8:23,115.5,,,,TRUE,NaN,bamboo speaker wire,,,,
LHT-1,8/5/19 8:23,115.6,,,,TRUE,NaN,bamboo speaker wire,,,,
LHT-1,8/5/19 8:23,115.2,,,,TRUE,NaN,bamboo speaker wire,,,,
LET-1,8/5/19 8:24,99,,,,TRUE,NaN,bamboo speaker wire,,,,
LET-1,8/5/19 8:24,98.6,,,,TRUE,NaN,bamboo speaker wire,,,,
LET-1,8/5/19 8:24,98.8,,,,TRUE,NaN,bamboo speaker wire,,,,
KET-1,8/5/19 8:26,32.4,,,,TRUE,NaN,bamboo speaker wire,,,,
LWT-1,8/5/19 8:27,107.9,,,,TRUE,NaN,bamboo speaker wire,,,,
LWT-1,8/5/19 8:27,107.5,,,,TRUE,NaN,bamboo speaker wire,,,,
LWT-1,8/5/19 8:27,107.5,,,,TRUE,NaN,bamboo speaker wire,,,,
KFT-XD3S,8/5/19 8:42,NaN,,,,FALSE,NaN,nw,,,,
KFR-XE1S,8/6/19 8:16,118.5,,,,TRUE,NaN,bamboo speaker wire,,,,
KET-1,8/6/19 8:26,32.5,,,,TRUE,NaN,bamboo speaker wire,,,,
KER-1,8/20/19 6:26,96.5,,,,TRUE,NaN,v6,,,,
KER-1,8/20/19 6:26,95.5,,,,TRUE,NaN,v6,,,,
KER-1,8/20/19 6:26,95.7,,,,TRUE,NaN,v6,,,,
KWR-XE1N,8/20/19 6:31,130.4,,,,TRUE,NaN,v6,,,,
KWR-XE1N,8/20/19 6:31,131,,,,TRUE,NaN,v6,,,,
KWR-XE1N,8/20/19 6:31,130.6,,,,TRUE,NaN,v6,,,,
KFR-XE1S,8/20/19 6:34,123,,,,TRUE,NaN,v6,,,,
KFR-XE1S,8/20/19 6:34,124,,,,TRUE,NaN,v6,,,,
KFR-XE1S,8/20/19 6:34,122.5,,,,TRUE,NaN,v6,,,,
KFR-XE2S,8/20/19 6:45,66.2,,,,TRUE,NaN,v6,,,,
KFR-XE2S,8/20/19 6:45,65.7,,,,TRUE,NaN,v6,,,,
KFR-XE2S,8/20/19 6:45,65.9,,,,TRUE,NaN,v6,,sensor change at 6:38 am,,
KHT-XE4S,8/20/19 6:48,136.5,,,,TRUE,NaN,v6,,,,
KHT-XE4S,8/20/19 6:48,136.6,,,,TRUE,NaN,v6,,mud at bottom,,
KHT-XE4S,8/20/19 6:48,136.6,,,,TRUE,NaN,v6,,,,
KER-XE3S,8/20/19 6:51,-5,,,,TRUE,NaN,nm,,,,
KER-XE3S,8/20/19 6:51,-3.5,,,,TRUE,NaN,nm,,,,
KER-XE3S,8/20/19 6:51,-4.5,,,,TRUE,NaN,nm,,,,
KHT-XE6S,8/20/19 6:53,NaN,,,,FALSE,NaN,nw,,,,
KET-1,8/20/19 6:55,36.3,,,,TRUE,NaN,v6,,,,
KET-1,8/20/19 6:55,35.5,,,,TRUE,NaN,v6,,,,
KET-1,8/20/19 6:55,35.6,,,,TRUE,NaN,v6,,,,
KFF-XD6S,8/20/19 7:06,NaN,,,,FALSE,NaN,nw,,,,
KWF-1,8/20/19 7:15,136,,,,TRUE,NaN,v6,,,,
KWF-1,8/20/19 7:15,137.3,,,,TRUE,NaN,v6,,,,
KWF-1,8/20/19 7:15,137.5,,,,TRUE,NaN,v6,,,,
KWR-1,8/20/19 7:18,98.5,,,,TRUE,NaN,v6,,overgrown,,
KWR-1,8/20/19 7:18,99.4,,,,TRUE,NaN,v6,,,,
KWR-1,8/20/19 7:18,98,,,,TRUE,NaN,v6,,,,
KHR-1,8/20/19 7:28,87.5,,,,TRUE,NaN,v6,,,,
KHR-1,8/20/19 7:28,87.6,,,,TRUE,NaN,v6,,,,
KHR-1,8/20/19 7:28,88.1,,,,TRUE,NaN,v6,,,,
LHT-1,8/20/19 8:11,128.5,,,,TRUE,NaN,v6,,,,
LHT-1,8/20/19 8:11,128.8,,,,TRUE,NaN,v6,,,,
LHT-1,8/20/19 8:11,127,,,,TRUE,NaN,v6,,,,
LET-1,8/20/19 8:14,117,,,,TRUE,NaN,v6,,,,
LET-1,8/20/19 8:14,110.6,,,,TRUE,NaN,v6,,,,
LET-1,8/20/19 8:14,111.1,,,,TRUE,NaN,v6,,,,
LWT-1,8/20/19 8:15,117.8,,,,TRUE,NaN,v6,,,,
LWT-1,8/20/19 8:15,118.2,,,,TRUE,NaN,v6,,,,
LWT-1,8/20/19 8:15,118.2,,,,TRUE,NaN,v6,,,,
EHR-1,8/20/19 8:49,114.5,,,,TRUE,NaN,v6,,,,
EHR-1,8/20/19 8:49,114.4,,,,TRUE,NaN,v6,,,,
EHR-1,8/20/19 8:49,115,,,,TRUE,NaN,v6,,,,
EER-1,8/20/19 8:51,114.8,,,,TRUE,NaN,v6,,,,
EER-1,8/20/19 8:51,115.4,,,,TRUE,NaN,v6,,,,
EER-1,8/20/19 8:51,114,,,,TRUE,NaN,v6,,,,
EWR-1,8/20/19 8:53,108,,,,TRUE,NaN,v6,,,,
EWR-1,8/20/19 8:53,109,,,,TRUE,NaN,v6,,,,
EWR-1,8/20/19 8:53,110,,,,TRUE,NaN,v6,,,,
EFF-XA2N,8/20/19 8:58,70.3,,,,TRUE,NaN,v6,,,,
EFF-XA2N,8/20/19 8:58,70.8,,,,TRUE,NaN,v6,,,,
EFF-XA2N,8/20/19 8:58,70.5,,,,TRUE,NaN,v6,,,,
EEF-XA3S,8/20/19 9:01,NaN,,,,FALSE,NaN,nw,,,,
EWT-1,8/20/19 9:04,NaN,,,,FALSE,NaN,nw,,"mud at bottom, need clay backfill",,
EHF-XB7S,8/20/19 9:11,53.6,,,,TRUE,NaN,v6,saturated,,,
EHF-XB7S,8/20/19 9:11,53.2,,,,TRUE,NaN,v6,,,,
EHF-XB7S,8/20/19 9:11,53,,,,TRUE,NaN,v6,,,,
EEF-1,8/20/19 9:12,95.7,,,,TRUE,NaN,v6,,,,
EEF-1,8/20/19 9:12,95.8,,,,TRUE,NaN,v6,,,,
EEF-1,8/20/19 9:12,96.1,,,,TRUE,NaN,v6,,,,
EET-1,8/20/19 9:15,NaN,,,,FALSE,NaN,nw,,mud at bottom,,
EER-XB4S,8/20/19 9:20,NaN,,,,FALSE,NaN,nw,,depth 146.5,sedge,
EFR-XB2S,8/20/19 9:22,NaN,,,,FALSE,NaN,nw,,,"mixed herbaceous, pine",
KWT-1,8/20/19 17:45,121.8,,,,TRUE,NaN,v6,,logger removed 6:58a; jammed no water,,
KWT-1,8/20/19 17:45,121.9,,,,TRUE,NaN,v6,,,,
KWT-1,8/20/19 17:45,122.1,,,,TRUE,NaN,v6,,,,
KHR-1,9/2/19 8:21,95.5,,,,TRUE,NaN,v6,,gray board down,,
KHR-1,9/2/19 8:21,95.2,,,,TRUE,NaN,v6,,,,
KHR-1,9/2/19 8:21,95.7,,,,TRUE,NaN,v6,,,,
KER-1,9/2/19 8:25,113.2,,,,TRUE,NaN,v6,,,,
KER-1,9/2/19 8:25,114.2,,,,TRUE,NaN,v6,,,,
KER-1,9/2/19 8:25,113.7,,,,TRUE,NaN,v6,,,,
KWR-XE1N,9/2/19 8:31,131.7,,,,TRUE,NaN,v6,,,,
KWR-XE1N,9/2/19 8:31,132,,,,TRUE,NaN,v6,,,,
KWR-XE1N,9/2/19 8:31,132,,,,TRUE,NaN,v6,,,,
KFR-XE1S,9/2/19 8:34,124.6,,,,TRUE,NaN,v6,,,,
KFR-XE1S,9/2/19 8:34,123.5,,,,TRUE,NaN,v6,,,,
KFR-XE1S,9/2/19 8:34,123,,,,TRUE,NaN,v6,,,,
KFR-XE2S,9/2/19 8:35,65.5,,,,TRUE,NaN,v6,,,,
KFR-XE2S,9/2/19 8:35,65.8,,,,TRUE,NaN,v6,,,,
KFR-XE2S,9/2/19 8:35,65.7,,,,TRUE,NaN,v6,,,,
KHT-XE4S,9/2/19 8:37,135.7,,,,TRUE,NaN,v6,,MUCK!,,
KHT-XE4S,9/2/19 8:37,135.7,,,,TRUE,NaN,v6,,,,
KHT-XE4S,9/2/19 8:37,135.7,,,,TRUE,NaN,v6,,,,
KHT-XE6S,9/2/19 8:40,NaN,,,,FALSE,NaN,nw,,gray board down,,
KET-1,9/2/19 8:41,39,,,,TRUE,NaN,v6,,,,
KET-1,9/2/19 8:41,39.3,,,,TRUE,NaN,v6,,,,
KET-1,9/2/19 8:41,39.4,,,,TRUE,NaN,v6,,,,
KWF-1,9/2/19 8:56,139.8,,,,TRUE,NaN,v6,,,,
KWF-1,9/2/19 8:56,140.2,,,,TRUE,NaN,v6,,,,
KWF-1,9/2/19 8:56,140.3,,,,TRUE,NaN,v6,,,,
KWR-1,9/2/19 9:00,100,,,,TRUE,NaN,v6,,woot,,
KWR-1,9/2/19 9:00,100.4,,,,TRUE,NaN,v6,,,,
KWR-1,9/2/19 9:00,100.5,,,,TRUE,NaN,v6,,,,
KWT-1,9/2/19 12:35,130,,,,TRUE,NaN,v6,,clear,,
KWT-1,9/2/19 12:35,129.9,,,,TRUE,NaN,v6,,,,
KWT-1,9/2/19 12:35,130,,,,TRUE,NaN,v6,,,,
KHT-XE5S,9/2/19 12:48,144.8,,,,TRUE,NaN,v6,,,,
KHT-XE5S,9/2/19 12:48,145,,,,TRUE,NaN,v6,,,,
KHT-XE5S,9/2/19 12:48,144.8,,,,TRUE,NaN,v6,,,,
KER-XE3S,9/2/19 12:51,-6.5,,,,TRUE,NaN,nm,,,,
KER-XE3S,9/2/19 12:51,-6.3,,,,TRUE,NaN,nm,,,,
KER-XE3S,9/2/19 12:51,-4.2,,,,TRUE,NaN,nm,,,,
KEF-1,9/2/19 12:52,56.9,,,,TRUE,NaN,v6,,,,
