term,estimate,std.error,conf.low,conf.up,,Rmin,Rmax,Ravg,Umin,Umax,Uavg
x0.X.Y29,95.41892736,28.25109144,40.04780561,150.7900491,,,,,,,
x0.X.Y30,154.4191165,49.65939226,57.08849615,251.7497368,,,,,,,
x0.X.Y31,53.32403903,45.45866927,-35.77331552,142.4213936,,,,,,,
x0.X.Y32,144.6076246,47.99384323,50.54142039,238.6738288,,,,,,,
x0.X.Y33,51.21801529,10.02768001,31.56412362,70.87190696,,,,,,,
x0.X.Y34,57.72408445,7.437666287,43.1465264,72.30164251,,,,,,,
x0.X.Y35,157.1721764,80.1787049,0.024802423,314.3195503,,,,,,,
x0.X.Y36,44.70960136,43.50198838,-40.55272912,129.9719318,,,,,,,
x0.X.Y37,63.003178,35.35925831,-6.299694816,132.3060508,,,,,,,
x0.X.Y38,59.57622124,23.30770754,13.8939539,105.2584886,,,,,,,
EEF-1,1,NA,NA,NA,,,,,,,
EEF-XA3S,2,NA,NA,NA,,,,,,,
EER-1,3,NA,NA,NA,,,,,,,
EER-XB4S,4,NA,NA,NA,,,,,,,
EFF-XA2N,5,NA,NA,NA,,,,,,,
EFR-XB1S,6,NA,NA,NA,,,,,,,
EHF-XB7S,7,NA,NA,NA,,,,,,,
EHR-1,8,NA,NA,NA,,,,,,,
EHR-XB1N,9,NA,NA,NA,,,,,,,
EHR-XB2N,10,NA,NA,NA,,,,,,,
EWF-XA1N,11,NA,NA,NA,,,,,,,
EWR-1,12,NA,NA,NA,,,,,,,
EWR-XB3N,13,NA,NA,NA,,,,,,,
EWR-XB4N,14,NA,NA,NA,,,,,,,
EWT-1,15,NA,NA,NA,,,,,,,
KEF-1,16,NA,NA,NA,,,,,,,
KER-1,17,NA,NA,NA,,,,,,,
KER-XD5N,18,NA,NA,NA,,,,,,,
KER-XE3S,19,NA,NA,NA,,,,,,,
KET-1,20,NA,NA,NA,,,,,,,
KFR-XE1S,21,NA,NA,NA,,,,,,,
KFR-XE2S,22,NA,NA,NA,,,,,,,
KHF-1,23,NA,NA,NA,,,,,,,
KHR-1,24,NA,NA,NA,,,,,,,
KHR-XD1N,25,NA,NA,NA,,,,,,,
KHR-XD1S,26,NA,NA,NA,,,,,,,
KHT-XD6N,27,NA,NA,NA,,,,,,,
