term,estimate,std.error,conf.low,conf.up,CI Range,,
"Q.(X.Y23,X.Y23)",60.42105817,37.44528349,-12.97034886,133.8124652,146.7828141,,
"Q.(X.Y24,X.Y24)",30.13021164,20.37793933,-9.809815528,70.07023881,79.88005434,,
"Q.(X.Y25,X.Y25)",24.14874718,15.10423968,-5.4550186,53.75251296,59.20753156,,
"Q.(X.Y26,X.Y26)",1.920174687,1.391224603,-0.806575429,4.646924804,5.453500233,,
"Q.(X.Y27,X.Y27)",105.436885,71.48060289,-34.66252221,245.5362923,280.1988145,,
"Q.(X.Y28,X.Y28)",76.99916158,47.77632874,-16.64072207,170.6390452,187.2797673,,
"Q.(X.Y29,X.Y29)",48.4799224,31.25016476,-12.76927504,109.7291198,122.4983949,,
"Q.(X.Y30,X.Y30)",50.47531753,32.7189618,-13.6526692,114.6033043,128.2559735,,
"Q.(X.Y31,X.Y31)",0.546522147,0.47267164,-0.379897244,1.472941538,1.852838781,,
"Q.(X.Y32,X.Y32)",180.2797619,140.1258068,-94.36177265,454.9212965,549.2830692,,
"Q.(X.Y33,X.Y33)",12.71630608,8.057590449,-3.076280999,28.50889317,31.58517417,,
"Q.(X.Y34,X.Y34)",11.43130611,7.582488504,-3.43009827,26.29271049,29.72280876,,
"Q.(X.Y35,X.Y35)",438.1134792,330.0795991,-208.8306471,1085.057605,1293.888253,,
"Q.(X.Y36,X.Y36)",87.33182097,59.97814221,-30.22317761,204.8868196,235.1099972,,
"Q.(X.Y37,X.Y37)",96.23958963,65.87093817,-32.86507681,225.3442561,258.2093329,,
"Q.(X.Y38,X.Y38)",32.98791741,23.23893896,-12.559566,78.53540082,91.09496682,,
x0.X.Y1,-4.683532525,78.26565926,-158.0814059,148.7143408,,,
x0.X.Y2,-18.27422791,66.44043926,-148.495096,111.9466402,,,
x0.X.Y3,-32.67004642,34.63834356,-100.5599523,35.21985944,,,
x0.X.Y4,-10.10158997,34.00508753,-76.75033683,56.54715688,,,
x0.X.Y5,-1.146004684,21.63131538,-43.54260377,41.25059441,,,
x0.X.Y6,-5.636378703,15.68152633,-36.37160554,25.09884813,,,
x0.X.Y7,0.611185421,75.58286048,-147.528499,148.7508698,,,
x0.X.Y8,-17.11369915,36.32247266,-88.30443739,54.07703909,,,
x0.X.Y9,20.32855541,27.70627689,-33.97474944,74.63186025,,,
x0.X.Y10,0.718786945,12.5471419,-23.87315928,25.31073317,,,
x0.X.Y11,5.763463791,31.37767896,-55.73565689,67.26258447,,,
x0.X.Y12,-27.27401488,23.41193421,-73.16056274,18.61253299,,,
x0.X.Y13,5.580655933,25.2937477,-43.99417859,55.15549046,,,
x0.X.Y14,-17.60734903,25.35064126,-67.29369289,32.07899482,,,
x0.X.Y15,-39.31024715,84.77019669,-205.4567796,126.8362853,,,
x0.X.Y16,0.610347103,10.32253891,-19.62145739,20.84215159,,,
x0.X.Y17,-164.9449835,27.18781896,-218.2321294,-111.6578375,,,
x0.X.Y18,-55.50303932,39.54738761,-133.0144947,22.00841608,,,
x0.X.Y19,-9.092616693,3.173218991,-15.31201163,-2.873221756,,,
x0.X.Y20,-49.11872467,21.90155368,-92.04498108,-6.192468261,,,
x0.X.Y21,-3.60210063,18.84571822,-40.53902961,33.33482835,,,
x0.X.Y22,-1.895070591,0.952896103,-3.762712634,-0.027428547,,,
x0.X.Y23,-8.798700645,46.67356152,-100.2772003,82.67979897,,,
x0.X.Y24,-58.47043956,33.34880506,-123.8328964,6.892017289,,,
x0.X.Y25,-49.84487842,29.53233728,-107.7271959,8.037439034,,,
x0.X.Y26,37.72292871,10.95577138,16.25001139,59.19584604,,,
x0.X.Y27,-150.1628218,62.28172445,-272.2327586,-28.09288498,,,
x0.X.Y28,-29.76109955,52.71649717,-133.0835354,73.5613363,,,
x0.X.Y29,-66.83392297,41.94921507,-149.0528737,15.38502774,,,
x0.X.Y30,-80.25271496,42.8321674,-164.2022205,3.696790527,,,
x0.X.Y31,-4.821789875,4.716771655,-14.06649244,4.422912692,,,
x0.X.Y32,-86.01975683,82.91944072,-248.5388743,76.49936059,,,
x0.X.Y33,-45.76180142,21.4869985,-87.87554461,-3.648058228,,,
x0.X.Y34,-10.49747761,22.28329331,-54.17192995,33.17697473,,,
x0.X.Y35,-10.8797437,139.2462325,-283.7973444,262.037857,,,
x0.X.Y36,-49.80402262,57.53207806,-162.5648236,62.95677833,,,
x0.X.Y37,-67.43372407,60.10370546,-185.2348221,50.36737397,,,
x0.X.Y38,-28.47984123,35.50224171,-98.06295635,41.1032739,,,
EEF-1,1,NA,NA,NA,,,
EEF-XA3S,2,NA,NA,NA,,,
EER-1,3,NA,NA,NA,,,
EER-XB4S,4,NA,NA,NA,,,
EFF-XA2N,5,NA,NA,NA,,,
EFR-XB1S,6,NA,NA,NA,,,
EHF-XB7S,7,NA,NA,NA,,,
EHR-1,8,NA,NA,NA,,,
EHR-XB1N,9,NA,NA,NA,,,
EHR-XB2N,10,NA,NA,NA,,,
EWF-XA1N,11,NA,NA,NA,,,
EWR-1,12,NA,NA,NA,,,
EWR-XB3N,13,NA,NA,NA,,,
EWR-XB4N,14,NA,NA,NA,,,
EWT-1,15,NA,NA,NA,,,
KEF-1,16,NA,NA,NA,,,
KER-1,17,NA,NA,NA,,,
KER-XD5N,18,NA,NA,NA,,,
KER-XE3S,19,NA,NA,NA,,,
KET-1,20,NA,NA,NA,,,
KFR-XE1S,21,NA,NA,NA,,,
KFR-XE2S,22,NA,NA,NA,,,
KHF-1,23,NA,NA,NA,,,
KHR-1,24,NA,NA,NA,,,
KHR-XD1N,25,NA,NA,NA,,,
KHR-XD1S,26,NA,NA,NA,,,
KHT-XD6N,27,NA,NA,NA,,,
KHT-XE4S,28,NA,NA,NA,,,
KHT-XE5S,29,NA,NA,NA,,,
KHT-XE6S,30,NA,NA,NA,,,
KWF-1,31,NA,NA,NA,,,
KWF-XE8S,32,NA,NA,NA,,,
KWR-1,33,NA,NA,NA,,,
KWR-XE1N,34,NA,NA,NA,,,
KWT-1,35,NA,NA,NA,,,
LET-1,36,NA,NA,NA,,,
LHT-1,37,NA,NA,NA,,,
LWT-1,38,NA,NA,NA,,,
