term,estimate,std.error,conf.low,conf.up,,Rmin,Rmax,Ravg,Umin,Umax,Uavg,Qmin,Qmax,Qaverage
"Q.(X.Y19,X.Y19)",6.98E-06,0.014440405,-0.028295691,0.028309657,,,,,,,,,,
"Q.(X.Y20,X.Y20)",33.61257758,25.73668873,-16.83040541,84.05556057,,,,,,,,,,
"Q.(X.Y21,X.Y21)",2.241752538,1.641056755,-0.974659598,5.458164674,,,,,,,,,,
"Q.(X.Y22,X.Y22)",0,0.003768726,-0.007386567,0.007386567,,,,,,,,,,
"Q.(X.Y23,X.Y23)",139.0029881,114.2016077,-84.82805001,362.8340262,,,,,,,,,,
"Q.(X.Y24,X.Y24)",172.4627518,171.5272296,-163.7244406,508.6499442,,,,,,,,,,
"Q.(X.Y25,X.Y25)",1.088040735,0.849634556,-0.577212395,2.753293864,,,,,,,,,,
"Q.(X.Y26,X.Y26)",1.110029586,0.95501213,-0.761759794,2.981818966,,,,,,,,,,
"Q.(X.Y27,X.Y27)",827.6814762,751.8158934,-645.8505978,2301.21355,,,,,,,,,,
"Q.(X.Y28,X.Y28)",110.5593739,83.28669412,-52.67954698,273.7982948,,,,,,,,,,
"Q.(X.Y29,X.Y29)",0.003212572,3.894031145,-7.628948227,7.635373372,,,,,,,,,,
"Q.(X.Y30,X.Y30)",457.6052479,341.0868758,-210.9127443,1126.12324,,,,,,,,,,
"Q.(X.Y31,X.Y31)",236.9718309,158.1116045,-72.92121941,546.8648812,,,,,,,,,,
"Q.(X.Y32,X.Y32)",298.7774855,245.5929522,-182.5758557,780.1308267,,,,,,,,,,
"Q.(X.Y33,X.Y33)",4.930574363,5.03099609,-4.929996779,14.79114551,,,,,,,,,,
"Q.(X.Y34,X.Y34)",2.692804098,2.183276185,-1.586338592,6.971946788,,,,,,,,,,
"Q.(X.Y35,X.Y35)",607.632104,556.784928,-483.646302,1698.91051,,,,,,,,,,
"Q.(X.Y36,X.Y36)",235.5675547,211.4774899,-178.9207092,650.0558185,,,,,,,,,,
"Q.(X.Y37,X.Y37)",172.9777395,157.411318,-135.5427746,481.4982536,,,,,,,,,,
"Q.(X.Y38,X.Y38)",71.32886091,51.08169905,-28.7894295,171.4471513,,,,,,,,,,
x0.X.Y1,17.55737765,80.66357575,-140.5403257,175.655081,,,,,,,,,,
x0.X.Y2,75.68007756,57.74043975,-37.48910479,188.8492599,,,,,,,,,,
x0.X.Y3,38.08375722,22.49806394,-6.011637815,82.17915226,,,,,,,,,,
x0.X.Y4,46.5667283,65.23928134,-81.29991351,174.4333701,,,,,,,,,,
x0.X.Y5,13.85204036,22.85182241,-30.93670855,58.64078927,,,,,,,,,,
x0.X.Y6,48.27648787,7.235140511,34.09587304,62.45710269,,,,,,,,,,
x0.X.Y7,-30.06883677,98.57007091,-223.2626257,163.1249522,,,,,,,,,,
x0.X.Y8,58.48211531,29.32237849,1.011309532,115.9529211,,,,,,,,,,
x0.X.Y9,65.79346652,28.04777028,10.82084692,120.7660861,,,,,,,,,,
x0.X.Y10,15.66265884,15.28501854,-14.295427,45.62074469,,,,,,,,,,
x0.X.Y11,43.14651351,24.12641521,-4.140391379,90.4334184,,,,,,,,,,
x0.X.Y12,28.95717558,18.84509843,-7.978538636,65.8928898,,,,,,,,,,
x0.X.Y13,19.03422423,48.97822339,-76.96132964,115.0297781,,,,,,,,,,
x0.X.Y14,37.68348922,32.41248209,-25.84380832,101.2107868,,,,,,,,,,
x0.X.Y15,131.99102,95.58154976,-55.34537509,319.3274151,,,,,,,,,,
x0.X.Y16,3.663977779,6.671435573,-9.41179567,16.73975123,,,,,,,,,,
x0.X.Y17,92.50835393,54.56092298,-14.42909007,199.4457979,,,,,,,,,,
x0.X.Y18,31.04733441,121.7027247,-207.4856228,269.5802916,,,,,,,,,,
x0.X.Y19,-5.62010658,1.997199689,-9.534546039,-1.70566712,,,,,,,,,,
x0.X.Y20,5.960156429,39.0597147,-70.59547763,82.51579049,,,,,,,,,,
