term,estimate,std.error,conf.low,conf.up,,Umin,Umax,Uaverage
x0.X.Y5,58.30139267,132.9985364,-202.3709486,318.9737339,,,,
x0.X.Y6,-55.11303874,54.34521201,-161.627697,51.40161952,,,,
x0.X.Y7,-42.01273445,48.49427798,-137.0597728,53.03430384,,,,
x0.X.Y8,25.14410157,65.33674861,-102.9135726,153.2017757,,,,
x0.X.Y9,15.34474425,65.33674855,-112.7129298,143.4024183,,,,
x0.X.Y10,9.204788867,51.29180117,-91.32529413,109.7348719,,,,
x0.X.Y11,-57.56331467,48.5565281,-152.732361,37.60573162,,,,
x0.X.Y12,22.79419254,65.3367486,-105.2634816,150.8518667,,,,
x0.X.Y13,10.12840696,65.33674851,-117.929267,138.1860809,,,,
x0.X.Y14,-91.47498371,49.65476823,-188.7965411,5.846573686,,,,
x0.X.Y15,-23.71932119,49.34377632,-120.4313456,72.99270326,,,,
x0.X.Y16,-61.48860594,48.6280354,-156.797804,33.82059208,,,,
x0.X.Y17,-44.96576837,49.50687394,-141.9974583,52.06592154,,,,
x0.X.Y18,-31.74707721,49.05785678,-127.8987096,64.40455523,,,,
x0.X.Y19,-171.8855955,56.48597764,-282.5960774,-61.17511374,,,,
x0.X.Y20,-50.94439942,49.74101173,-148.434991,46.54619213,,,,
x0.X.Y21,-54.52724537,50.14658565,-152.8127472,43.75825645,,,,
x0.X.Y22,-83.82417309,48.88160222,-179.6303529,11.98200677,,,,
x0.X.Y23,-37.06909594,51.91594242,-138.8224733,64.68428142,,,,
x0.X.Y24,-101.1235186,49.52022168,-198.1813696,-4.065667623,,,,
x0.X.Y25,-47.88169835,55.29534962,-156.2585921,60.49519542,,,,
x0.X.Y26,-281.7627012,66.45621489,-412.014489,-151.5109135,,,,
x0.X.Y27,-76.9712483,48.65226863,-172.3279426,18.38544599,,,,
x0.X.Y28,-121.9872444,49.29228746,-218.5983525,-25.37613625,,,,
x0.X.Y29,-213.0611913,60.3549974,-331.3548125,-94.76757008,,,,
x0.X.Y30,-55.35540549,50.17651646,-153.6995706,42.98875964,,,,
x0.X.Y31,-90.58242671,49.86315981,-188.3124241,7.14757067,,,,
x0.X.Y32,-94.24972243,49.78433271,-191.8252215,3.325776677,,,,
x0.X.Y33,-55.50298865,49.31901104,-152.166474,41.16049674,,,,
x0.X.Y34,-43.654449,52.18228741,-145.929853,58.62095495,,,,
x0.X.Y35,-110.0664545,51.89777793,-211.7842301,-8.34867891,,,,
x0.X.Y36,-56.63768754,52.19636995,-158.9406928,45.66531769,,,,
EEF-1,1,NA,NA,NA,,,,
EEF-XA3S,2,NA,NA,NA,,,,
EER-1,3,NA,NA,NA,,,,
EFF-XA2N,4,NA,NA,NA,,,,
EFR-XB1S,5,NA,NA,NA,,,,
EHF-XB7S,6,NA,NA,NA,,,,
EHR-1,7,NA,NA,NA,,,,
EHR-XB1N,8,NA,NA,NA,,,,
EHR-XB2N,9,NA,NA,NA,,,,
EWF-XA1N,10,NA,NA,NA,,,,
EWR-1,11,NA,NA,NA,,,,
EWR-XB3N,12,NA,NA,NA,,,,
EWR-XB4N,13,NA,NA,NA,,,,
EWT-1,14,NA,NA,NA,,,,
